Hireling	SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Share	Dmg-Min	Dmg-Max	Dmg/Lvl	Resist	Resist/Lvl	WType1	WType2	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	Head	Torso	Weapon	Shield
Desert Mercenary	Off-Normal	0	8	338	2	1	40	198	merca201	merca221	350	1	1640	49	627	34	138	20	109	17	720	60	4	72	86	11	104	3	pole	spea	off	75	Jab	14	116	4	36	2	Conviction	1	10	0	72	2																									2	2	2	0
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	120	198	merca201	merca221	7900	1	1000	28	219	22	92	20	69	17	216	40	3	32	46	8	59	5	pole	spea	comb	75	Jab	14	120	4	18	2	Thorns	1	10	0	20	2																									2	2	2	0
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	120	198	merca201	merca221	7900	1	1572	49	603	34	134	20	105	17	696	60	4	68	82	11	101	3	pole	spea	comb	75	Jab	14	144	4	34	2	Thorns	1	10	0	52	2																									2	2	2	0
Desert Mercenary	Def-Nightmare	0	10	338	2	2	120	198	merca201	merca221	7900	1	612	28	219	22	92	20	69	17	216	40	3	32	46	8	59	5	pole	spea	def	75	Jab	14	120	4	18	2	Holy Freeze	1	10	0	24	2																									2	2	2	0
Desert Mercenary	Def-Nightmare	0	10	338	2	2	120	198	merca201	merca221	7900	1	1572	49	603	34	134	20	105	17	696	60	4	68	82	11	101	3	pole	spea	def	75	Jab	14	144	4	34	2	Holy Freeze	1	10	0	56	2																									2	2	2	0
Desert Mercenary	Off-Nightmare	0	11	338	2	2	120	198	merca201	merca221	7900	1	612	28	219	22	92	20	69	17	216	40	3	32	46	8	59	5	pole	spea	off	75	Jab	14	120	4	18	2	Might	1	10	0	28	2																									2	2	2	0
Desert Mercenary	Off-Nightmare	0	11	338	2	2	120	198	merca201	merca221	7900	1	1572	49	603	34	134	20	105	17	696	60	4	68	82	11	101	3	pole	spea	off	75	Jab	14	144	4	34	2	Might	1	10	0	52	2																									2	2	2	0
Desert Mercenary	Comb-Hell	0	12	338	2	3	200	198	merca201	merca221	15000	1	1414	49	543	34	130	20	101	17	626	60	4	64	78	11	98	3	pole	spea	comb	75	Jab	14	104	4	32	2	Prayer	1	10	0	64	2																									2	2	2	0
Desert Mercenary	Def-Hell	0	13	338	2	3	200	198	merca201	merca221	15000	1	1414	49	543	34	130	20	101	17	626	60	4	64	78	11	98	3	pole	spea	def	75	Jab	14	104	4	32	2	Defiance	1	10	0	64	2																									2	2	2	0
Desert Mercenary	Off-Hell	0	14	338	2	3	200	198	merca201	merca221	15000	1	1414	49	543	34	130	20	101	17	626	60	4	64	78	11	98	3	pole	spea	off	75	Jab	14	104	4	32	2	Conviction	1	10	0	64	2																									2	2	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	40	198	merca201	merca221	350	1	1000	21	45	15	57	20	40	17	20	24	1	14	28	6	18	6	pole	spea	comb	75	Jab	14	70	4	6	2	Prayer	1	10	0	12	2																									2	2	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	40	198	merca201	merca221	350	1	1260	35	419	27	117	20	91	17	428	48	3	48	62	8	86	5	pole	spea	comb	75	Jab	14	104	4	28	2	Prayer	1	10	0	44	2																									2	2	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	40	198	merca201	merca221	350	1	2860	56	1027	39	173	20	139	17	1196	72	4	96	110	11	142	3	pole	spea	comb	75	Jab	14	136	4	48	2	Prayer	1	10	0	72	2																									2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	40	198	merca201	merca221	350	1	1000	21	45	15	57	20	40	17	20	24	1	14	28	6	18	6	pole	spea	def	75	Jab	14	70	4	6	2	Defiance	1	10	0	12	2																									2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	40	198	merca201	merca221	350	1	1260	35	419	27	117	20	91	17	428	48	3	48	62	8	86	5	pole	spea	def	75	Jab	14	104	4	28	2	Defiance	1	10	0	44	2																									2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	40	198	merca201	merca221	350	1	2860	56	1027	39	173	20	139	17	1196	72	4	96	110	11	142	3	pole	spea	def	75	Jab	14	136	4	48	2	Defiance	1	10	0	72	2																									2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	40	198	merca201	merca221	350	1	1000	21	45	15	57	20	40	17	20	24	1	14	28	6	18	6	pole	spea	off	75	Jab	14	70	4	6	2	Conviction	1	10	0	12	2																									2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	40	198	merca201	merca221	350	1	1260	35	419	27	117	20	91	17	428	48	3	48	62	8	86	5	pole	spea	off	75	Jab	14	104	4	28	2	Conviction	1	10	0	44	2																									2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	40	198	merca201	merca221	350	1	2860	56	1027	39	173	20	139	17	1196	72	4	96	110	11	142	3	pole	spea	off	75	Jab	14	136	4	48	2	Conviction	1	10	0	72	2																									2	2	2	0
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	120	198	merca201	merca221	7900	1	1134	35	377	27	113	20	87	17	385	48	3	44	58	8	83	5	pole	spea	comb	75	Jab	14	120	4	26	2	Thorns	1	10	0	20	2																									2	2	2	0
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	120	198	merca201	merca221	7900	1	2734	56	985	39	169	20	135	17	1153	72	4	92	106	11	139	3	pole	spea	comb	75	Jab	14	152	4	46	2	Thorns	1	10	0	60	2																									2	2	2	0
Desert Mercenary	Def-Nightmare	100	10	338	2	2	120	198	merca201	merca221	7900	1	1134	35	377	27	113	20	87	17	385	48	3	44	58	8	83	5	pole	spea	def	75	Jab	14	120	4	26	2	Holy Freeze	1	10	0	24	2																									2	2	2	0
Desert Mercenary	Def-Nightmare	100	10	338	2	2	120	198	merca201	merca221	7900	1	2734	56	985	39	169	20	135	17	1153	72	4	92	106	11	139	3	pole	spea	def	75	Jab	14	152	4	46	2	Holy Freeze	1	10	0	64	2																									2	2	2	0
Desert Mercenary	Off-Nightmare	100	11	338	2	2	120	198	merca201	merca221	7900	1	1134	35	377	27	113	20	87	17	385	48	3	44	58	8	83	5	pole	spea	off	75	Jab	14	120	4	26	2	Might	1	10	0	28	2																									2	2	2	0
Desert Mercenary	Off-Nightmare	100	11	338	2	2	120	198	merca201	merca221	7900	1	2734	56	985	39	169	20	135	17	1153	72	4	92	106	11	139	3	pole	spea	off	75	Jab	14	152	4	46	2	Might	1	10	0	60	2																									2	2	2	0
Desert Mercenary	Comb-Hell	100	12	338	2	3	200	198	merca201	merca221	15000	1	2460	56	887	39	165	20	131	17	1038	72	4	88	102	11	136	3	pole	spea	comb	75	Jab	14	104	4	44	2	Prayer	1	10	0	64	2																									2	2	2	0
Desert Mercenary	Def-Hell	100	13	338	2	3	200	198	merca201	merca221	15000	1	2460	56	887	39	165	20	131	17	1038	72	4	88	102	11	136	3	pole	spea	def	75	Jab	14	104	4	44	2	Defiance	1	10	0	64	2																									2	2	2	0
Desert Mercenary	Off-Hell	100	14	338	2	3	200	198	merca201	merca221	15000	1	2460	56	887	39	165	20	131	17	1038	72	4	88	102	11	136	3	pole	spea	off	75	Jab	14	104	4	44	2	Blessed Aim	1	10	0	64	2																									2	2	2	0
Eastern Sorceror	Fire-Normal	0	15	359	3	1	60	252	merca222	merca241	1000	1	320	11	80	6	49	14	40	11	15	20		2	14	6	25	5	swor	shie	fire	75	Meteor	7	60	4	12	2	Fire Ball	7	30	0	16	2																									2	2	2	1
Eastern Sorceror	Fire-Normal	0	15	359	3	1	60	252	merca222	merca241	1000	1	672	20	168	14	77	14	62	11	235	40	3	24	36	6	64	5	swor	shie	fire	75	Meteor	7	60	4	26	2	Fire Ball	7	30	0	44	2																									2	2	2	1
Eastern Sorceror	Fire-Normal	0	15	359	3	1	60	252	merca222	merca241	1000	1	1344	28	408	25	107	14	86	11	715	60	5	48	60	6	106	4	swor	shie	fire	75	Meteor	7	60	4	42	2	Fire Ball	7	30	0	76	2																									2	2	2	1
Eastern Sorceror	Cold-Normal	0	16	359	3	1	60	252	merca222	merca241	1500	1	320	11	80	6	49	14	40	11	15	20		2	14	6	25	5	swor	shie	cold	75	Glacial Spike	7	60	4	2	2	Frozen Armor	7	1000	0	8	2	Ice Blast	7	240	0	12	10																			2	2	2	1
Eastern Sorceror	Cold-Normal	0	16	359	3	1	60	252	merca222	merca241	1500	1	672	20	168	14	77	14	62	11	235	40	3	24	36	6	64	5	swor	shie	cold	75	Glacial Spike	7	60	4	10	2	Frozen Armor	7	1000	0	36	2	Ice Blast	7	240	0	26	10																			2	2	2	1
Eastern Sorceror	Cold-Normal	0	16	359	3	1	60	252	merca222	merca241	1500	1	1344	28	408	22	107	14	86	11	715	60	5	48	60	6	106	3	swor	shie	cold	75	Glacial Spike	7	60	4	18	2	Frozen Armor	7	1000	0	68	2	Ice Blast	7	240	0	42	10																			2	2	2	1
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	60	252	merca222	merca241	1000	1	320	11	80	6	49	14	40	11	15	20		2	14	6	25	5	swor	shie	ltng	75	Charged Bolt	7	60	4	8	2	Lightning	7	30	0	12	2																									2	2	2	1
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	60	252	merca222	merca241	1000	1	672	20	168	14	77	14	62	11	235	40	3	24	36	6	64	5	swor	shie	ltng	75	Charged Bolt	7	60	4	16	2	Lightning	7	30	0	40	2																									2	2	2	1
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	60	252	merca222	merca241	1000	1	1344	28	408	22	107	14	86	11	715	60	5	48	60	6	106	3	swor	shie	ltng	75	Charged Bolt	7	60	4	24	2	Lightning	7	30	0	72	2																									2	2	2	1
Eastern Sorceror	Fire-Nightmare	0	18	359	3	2	140	252	merca222	merca241	9500	1	604	20	151	14	73	14	58	11	212	40	3	20	32	6	61	5	swor	shie	fire	75	Meteor	7	60	4	24	2	Fire Ball	7	30	0	40	2																									2	2	2	1
Eastern Sorceror	Fire-Nightmare	0	18	359	3	2	140	252	merca222	merca241	9500	1	1276	28	391	22	103	14	82	11	692	60	5	44	56	6	103	3	swor	shie	fire	75	Meteor	7	60	4	40	2	Fire Ball	7	30	0	72	2																									2	2	2	1
Eastern Sorceror	Cold-Nightmare	0	19	359	3	2	140	252	merca222	merca241	12000	1	604	20	151	14	73	14	58	11	212	40	3	20	32	6	61	5	swor	shie	cold	75	Glacial Spike	7	60	4	8	2	Frozen Armor	7	1000	0	32	2	Ice Blast	7	240	0	24	10																			2	2	2	1
Eastern Sorceror	Cold-Nightmare	0	19	359	3	2	140	252	merca222	merca241	12000	1	1276	28	391	22	103	14	82	11	692	60	5	44	56	6	103	3	swor	shie	cold	75	Glacial Spike	7	60	4	16	2	Frozen Armor	7	1000	0	64	2	Ice Blast	7	240	0	40	10																			2	2	2	1
Eastern Sorceror	Ltng-Nightmare	0	20	359	3	2	140	252	merca222	merca241	10000	1	604	20	151	14	73	14	58	11	212	40	3	20	32	6	61	5	swor	shie	ltng	75	Charged Bolt	7	60	4	14	2	Lightning	7	30	0	36	2																									2	2	2	1
Eastern Sorceror	Ltng-Nightmare	0	20	359	3	2	140	252	merca222	merca241	10000	1	1276	28	391	22	103	14	82	11	692	60	5	44	56	6	103	3	swor	shie	ltng	75	Charged Bolt	7	60	4	22	2	Lightning	7	30	0	68	2																									2	2	2	1
Eastern Sorceror	Fire-Hell	0	21	359	3	3	220	252	merca222	merca241	21000	1	1148	28	352	22	99	14	78	11	623	60	5	40	52	6	100	3	swor	shie	fire	75	Meteor	7	60	4	38	2	Fire Ball	7	30	0	68	2																									2	2	2	1
Eastern Sorceror	Cold-Hell	0	22	359	3	3	220	252	merca222	merca241	27000	1	1148	28	352	22	99	14	78	11	623	60	5	40	52	6	100	3	swor	shie	cold	75	Glacial Spike	7	60	4	14	2	Frozen Armor	7	1000	0	60	2	Ice Blast	7	240	0	38	10																			2	2	2	1
Eastern Sorceror	Ltng-Hell	0	23	359	3	3	220	252	merca222	merca241	21000	1	1148	28	352	22	99	14	78	11	623	60	5	40	54	6	100	3	swor	shie	ltng	75	Charged Bolt	7	60	4	20	2	Lightning	7	30	0	64	2																									2	2	2	1
Eastern Sorceror	Fire-Normal	100	15	359	3	1	60	252	merca222	merca241	1000	1	320	13	80	7	49	14	40	11	15	24		2	14	6	25	5	swor	shie	fire	75	Meteor	7	60	4	12	2	Fire Ball	7	30	0	16	2																									2	2	2	1
Eastern Sorceror	Fire-Normal	100	15	359	3	1	60	252	merca222	merca241	1000	1	932	25	250	18	92	14	74	11	423	48	3	36	48	6	85	5	swor	shie	fire	75	Meteor	7	60	4	34	2	Fire Ball	7	30	0	60	2																									2	2	2	1
Eastern Sorceror	Fire-Normal	100	15	359	3	1	60	252	merca222	merca241	1000	1	2012	38	640	35	130	14	104	11	1143	72	5	66	78	6	138	4	swor	shie	fire	75	Meteor	7	60	4	54	2	Fire Ball	7	30	0	100	2																									2	2	2	1
Eastern Sorceror	Cold-Normal	100	16	359	3	1	60	252	merca222	merca241	1500	1	320	13	80	7	49	14	40	11	15	24		2	14	6	25	5	swor	shie	cold	75	Glacial Spike	7	60	4	2	2	Frozen Armor	7	1000	0	8	2	Ice Blast	7	240	0	12	10																			2	2	2	1
Eastern Sorceror	Cold-Normal	100	16	359	3	1	60	252	merca222	merca241	1500	1	932	25	250	18	92	14	74	11	423	48	3	36	48	6	85	5	swor	shie	cold	75	Glacial Spike	7	60	4	14	2	Frozen Armor	7	1000	0	52	2	Ice Blast	7	240	0	34	10																			2	2	2	1
Eastern Sorceror	Cold-Normal	100	16	359	3	1	60	252	merca222	merca241	1500	1	2012	38	640	35	130	14	104	11	1143	72	5	66	78	6	138	3	swor	shie	cold	75	Glacial Spike	7	60	4	24	2	Frozen Armor	7	1000	0	92	2	Ice Blast	7	240	0	54	10																			2	2	2	1
Eastern Sorceror	Ltng-Normal	100	17	359	3	1	60	252	merca222	merca241	1000	1	320	13	80	7	49	14	40	11	15	24		2	14	6	25	5	swor	shie	ltng	75	Charged Bolt	7	60	4	8	2	Lightning	7	30	0	12	2																									2	2	2	1
Eastern Sorceror	Ltng-Normal	100	17	359	3	1	60	252	merca222	merca241	1000	1	932	25	250	18	92	14	74	11	423	48	3	36	48	6	85	5	swor	shie	ltng	75	Charged Bolt	7	60	4	20	2	Lightning	7	30	0	56	2																									2	2	2	1
Eastern Sorceror	Ltng-Normal	100	17	359	3	1	60	252	merca222	merca241	1000	1	2012	38	640	35	130	14	104	11	1143	72	5	66	78	6	138	3	swor	shie	ltng	75	Charged Bolt	7	60	4	30	2	Lightning	7	30	0	96	2																									2	2	2	1
Eastern Sorceror	Fire-Nightmare	100	18	359	3	2	140	252	merca222	merca241	9500	1	838	25	225	18	88	14	70	11	381	48	3	32	44	6	82	5	swor	shie	fire	75	Meteor	7	60	4	32	2	Fire Ball	7	30	0	56	2																									2	2	2	1
Eastern Sorceror	Fire-Nightmare	100	18	359	3	2	140	252	merca222	merca241	9500	1	1918	38	615	35	126	14	100	11	1101	72	5	62	74	6	135	3	swor	shie	fire	75	Meteor	7	60	4	52	2	Fire Ball	7	30	0	96	2																									2	2	2	1
Eastern Sorceror	Cold-Nightmare	100	19	359	3	2	140	252	merca222	merca241	12000	1	838	25	225	18	88	14	70	11	381	48	3	32	44	6	82	5	swor	shie	cold	75	Glacial Spike	7	60	4	12	2	Frozen Armor	7	1000	0	48	2	Ice Blast	7	240	0	32	10																			2	2	2	1
Eastern Sorceror	Cold-Nightmare	100	19	359	3	2	140	252	merca222	merca241	12000	1	1918	38	615	35	126	14	100	11	1101	72	5	62	74	6	135	3	swor	shie	cold	75	Glacial Spike	7	60	4	22	2	Frozen Armor	7	1000	0	88	2	Ice Blast	7	240	0	52	10																			2	2	2	1
Eastern Sorceror	Ltng-Nightmare	100	20	359	3	2	140	252	merca222	merca241	10000	1	838	25	225	18	88	14	70	11	381	48	3	32	44	6	82	5	swor	shie	ltng	75	Charged Bolt	7	60	4	18	2	Lightning	7	30	0	52	2																									2	2	2	1
Eastern Sorceror	Ltng-Nightmare	100	20	359	3	2	140	252	merca222	merca241	10000	1	1918	38	615	35	126	14	100	11	1101	72	5	62	74	6	135	3	swor	shie	ltng	75	Charged Bolt	7	60	4	28	2	Lightning	7	30	0	92	2																									2	2	2	1
Eastern Sorceror	Fire-Hell	100	21	359	3	3	240	252	merca222	merca241	21000	1	1726	38	554	35	122	14	96	11	991	72	5	58	70	6	132	3	swor	shie	fire	75	Meteor	7	60	4	50	2	Fire Ball	7	30	0	92	2																									2	2	2	1
Eastern Sorceror	Cold-Hell	100	22	359	3	3	240	252	merca222	merca241	27000	1	1726	38	554	35	122	14	96	11	991	72	5	58	70	6	132	3	swor	shie	cold	75	Glacial Spike	7	60	4	20	2	Frozen Armor	7	1000	0	84	2	Ice Blast	7	240	0	50	10																			2	2	2	1
Eastern Sorceror	Ltng-Hell	100	23	359	3	3	240	252	merca222	merca241	21000	1	1726	38	554	35	122	14	96	11	991	72	5	58	72	6	132	3	swor	shie	ltng	75	Charged Bolt	7	60	4	26	2	Lightning	7	30	0	88	2																									2	2	2	1
Barbarian	1hs-Normal-Bear	0	24	561	5	1	80	515	MercX101	MercX167	9000	1	576	20	180	10	101	21	63	14	150	34	1	32	40	8	56	5	swor		def	75	Bash	5	15	4	8	2	Stun	5	15	0	12	2	barwearbear	5	30	0	6																				0	0	0	0
Barbarian	1hs-Normal-Bear	0	24	561	5	1	80	515	MercX101	MercX167	9000	1	968	29	278	28	128	21	81	14	388	54	1	54	62	11	81	5	swor		def	75	Bash	5	50	4	18	2	Stun	5	50	0	28	2	barwearbear	5	30	0	24																				0	0	0	0
Barbarian	1hs-Normal-Bear	0	24	561	5	1	80	515	MercX101	MercX167	9000	1	2354	49	938	56	190	21	123	14	1279	74	1	120	128	11	139	3	swor		def	75	Bash	5	75	4	40	2	Stun	5	75	0	64	2	barwearbear	5	30	0	32																				0	0	0	0
Barbarian	1hs-Normal-Wolf	0	25	561	5	1	80	515	MercX101	MercX167	9000	1	576	20	180	10	101	21	63	14	150	34	1	32	40	8	56	5	swor		off	75	Bash	5	15	4	8	2	Stun	5	15	0	12	2	barwearwolf	5	30	0	6																				0	0	0	0
