Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
65	979841	979841	979841	979841	979841	979841	979841	1024
66	1049830	1049830	1049830	1049830	1049830	1049830	1049830	1024
67	1137316	1137316	1137316	1137316	1137316	1137316	1137316	1024
68	1224801	1224801	1224801	1224801	1224801	1224801	1224801	1024
69	1312287	1312287	1312287	1312287	1312287	1312287	1312287	1024
70	1421644	1421644	1421644	1421644	1421644	1421644	1421644	1024
71	1531002	1531002	1531002	1531002	1531002	1531002	1531002	1024
72	1640359	1640359	1640359	1640359	1640359	1640359	1640359	1024
73	1777056	1777056	1777056	1777056	1777056	1777056	1777056	1024
74	1913752	1913752	1913752	1913752	1913752	1913752	1913752	1024
75	2050449	2050449	2050449	2050449	2050449	2050449	2050449	1024
76	2221320	2221320	2221320	2221320	2221320	2221320	2221320	1024
77	2392190	2392190	2392190	2392190	2392190	2392190	2392190	1024
78	2563061	2563061	2563061	2563061	2563061	2563061	2563061	1024
79	2776649	2776649	2776649	2776649	2776649	2776649	2776649	1024
80	2990238	2990238	2990238	2990238	2990238	2990238	2990238	1024
81	3203826	3203826	3203826	3203826	3203826	3203826	3203826	1024
82	3436637	3436637	3436637	3436637	3436637	3436637	3436637	1024
83	3669449	3669449	3669449	3669449	3669449	3669449	3669449	1024
84	3902260	3902260	3902260	3902260	3902260	3902260	3902260	1024
85	4156024	4156024	4156024	4156024	4156024	4156024	4156024	1024
86	4409789	4409789	4409789	4409789	4409789	4409789	4409789	1024
87	4663553	4663553	4663553	4663553	4663553	4663553	4663553	1024
88	4940156	4940156	4940156	4940156	4940156	4940156	4940156	1024
89	5216760	5216760	5216760	5216760	5216760	5216760	5216760	1024
90	5493363	5493363	5493363	5493363	5493363	5493363	5493363	1024
91	5794860	5794860	5794860	5794860	5794860	5794860	5794860	1024
92	6096358	6096358	6096358	6096358	6096358	6096358	6096358	1024
93	6397855	6397855	6397855	6397855	6397855	6397855	6397855	1024
94	6726487	6726487	6726487	6726487	6726487	6726487	6726487	1024
95	7055120	7055120	7055120	7055120	7055120	7055120	7055120	1024
96	7383752	7383752	7383752	7383752	7383752	7383752	7383752	1024
97	7741961	7741961	7741961	7741961	7741961	7741961	7741961	1024
98	8100170	8100170	8100170	8100170	8100170	8100170	8100170	1024
99	8458379	8458379	8458379	8458379	8458379	8458379	8458379	1024
100	8848827	8848827	8848827	8848827	8848827	8848827	8848827	1024
101	9239275	9239275	9239275	9239275	9239275	9239275	9239275	1024
102	9629723	9629723	9629723	9629723	9629723	9629723	9629723	1024
103	10055311	10055311	10055311	10055311	10055311	10055311	10055311	1024
104	10480900	10480900	10480900	10480900	10480900	10480900	10480900	1024
105	10906488	10906488	10906488	10906488	10906488	10906488	10906488	1024
106	11370379	11370379	11370379	11370379	11370379	11370379	11370379	1024
107	11834271	11834271	11834271	11834271	11834271	11834271	11834271	1024
108	12298162	12298162	12298162	12298162	12298162	12298162	12298162	1024
109	12803803	12803803	12803803	12803803	12803803	12803803	12803803	1024
110	13309445	13309445	13309445	13309445	13309445	13309445	13309445	1024
111	13815086	13815086	13815086	13815086	13815086	13815086	13815086	1024
112	14366235	14366235	14366235	14366235	14366235	14366235	14366235	1024
113	14917385	14917385	14917385	14917385	14917385	14917385	14917385	1024
114	15468534	15468534	15468534	15468534	15468534	15468534	15468534	1024
115	16069286	16069286	16069286	16069286	16069286	16069286	16069286	1024
116	16670039	16670039	16670039	16670039	16670039	16670039	16670039	1024
117	17270791	17270791	17270791	17270791	17270791	17270791	17270791	1024
118	17925611	17925611	17925611	17925611	17925611	17925611	17925611	1024
119	18580432	18580432	18580432	18580432	18580432	18580432	18580432	1024
120	19235252	19235252	19235252	19235252	19235252	19235252	19235252	1024
121	19949006	19949006	19949006	19949006	19949006	19949006	19949006	1024
122	20662761	20662761	20662761	20662761	20662761	20662761	20662761	1024
123	21376515	21376515	21376515	21376515	21376515	21376515	21376515	1024
124	22154507	22154507	22154507	22154507	22154507	22154507	22154507	1024
125	22932499	22932499	22932499	22932499	22932499	22932499	22932499	1024
126	23710491	23710491	23710491	23710491	23710491	23710491	23710491	1024
127	24558502	24558502	24558502	24558502	24558502	24558502	24558502	1024
128	25406514	25406514	25406514	25406514	25406514	25406514	25406514	1024
129	26254525	26254525	26254525	26254525	26254525	26254525	26254525	1024
130	27178857	27178857	27178857	27178857	27178857	27178857	27178857	1024
131	28103190	28103190	28103190	28103190	28103190	28103190	28103190	1024
132	29027522	29027522	29027522	29027522	29027522	29027522	29027522	1024
133	30035044	30035044	30035044	30035044	30035044	30035044	30035044	1024
134	31042566	31042566	31042566	31042566	31042566	31042566	31042566	1024
135	32050088	32050088	32050088	32050088	32050088	32050088	32050088	1024
136	33148287	33148287	33148287	33148287	33148287	33148287	33148287	1024
137	34246487	34246487	34246487	34246487	34246487	34246487	34246487	1024
138	35344686	35344686	35344686	35344686	35344686	35344686	35344686	1024
139	36541723	36541723	36541723	36541723	36541723	36541723	36541723	1024
140	37738761	37738761	37738761	37738761	37738761	37738761	37738761	1024
141	38935798	38935798	38935798	38935798	38935798	38935798	38935798	1024
142	40240568	40240568	40240568	40240568	40240568	40240568	40240568	1024
143	41545339	41545339	41545339	41545339	41545339	41545339	41545339	1024
144	42850109	42850109	42850109	42850109	42850109	42850109	42850109	1024
145	44272309	44272309	44272309	44272309	44272309	44272309	44272309	1024
146	45694509	45694509	45694509	45694509	45694509	45694509	45694509	1024
147	47116709	47116709	47116709	47116709	47116709	47116709	47116709	1024
148	48666907	48666907	48666907	48666907	48666907	48666907	48666907	1024
149	50217104	50217104	50217104	50217104	50217104	50217104	50217104	1024
150	51767302	51767302	51767302	51767302	51767302	51767302	51767302	1024
151	53457018	53457018	53457018	53457018	53457018	53457018	53457018	1024
152	55146733	55146733	55146733	55146733	55146733	55146733	55146733	1024
153	56836449	56836449	56836449	56836449	56836449	56836449	56836449	1024
154	58678239	58678239	58678239	58678239	58678239	58678239	58678239	1024
155	60520029	60520029	60520029	60520029	60520029	60520029	60520029	1024
156	62361819	62361819	62361819	62361819	62361819	62361819	62361819	1024
157	64369370	64369370	64369370	64369370	64369370	64369370	64369370	1024
158	66376922	66376922	66376922	66376922	66376922	66376922	66376922	1024
159	68384473	68384473	68384473	68384473	68384473	68384473	68384473	1024
160	70572704	70572704	70572704	70572704	70572704	70572704	70572704	1024
161	72760934	72760934	72760934	72760934	72760934	72760934	72760934	1024
162	74949165	74949165	74949165	74949165	74949165	74949165	74949165	1024
163	77334337	77334337	77334337	77334337	77334337	77334337	77334337	1024
164	79719508	79719508	79719508	79719508	79719508	79719508	79719508	1024
165	82104680	82104680	82104680	82104680	82104680	82104680	82104680	1024
166	84704517	84704517	84704517	84704517	84704517	84704517	84704517	1024
167	87304354	87304354	87304354	87304354	87304354	87304354	87304354	1024
168	89904191	89904191	89904191	89904191	89904191	89904191	89904191	1024
169	92738013	92738013	92738013	92738013	92738013	92738013	92738013	1024
170	95571836	95571836	95571836	95571836	95571836	95571836	95571836	1024
171	98405658	98405658	98405658	98405658	98405658	98405658	98405658	1024
172	101494524	101494524	101494524	101494524	101494524	101494524	101494524	1024
173	104583390	104583390	104583390	104583390	104583390	104583390	104583390	1024
174	107672256	107672256	107672256	107672256	107672256	107672256	107672256	1024
175	111039120	111039120	111039120	111039120	111039120	111039120	111039120	1024
176	114405985	114405985	114405985	114405985	114405985	114405985	114405985	1024
177	117772849	117772849	117772849	117772849	117772849	117772849	117772849	1024
178	121442731	121442731	121442731	121442731	121442731	121442731	121442731	1024
179	125112613	125112613	125112613	125112613	125112613	125112613	125112613	1024
180	128782495	128782495	128782495	128782495	128782495	128782495	128782495	1024
181	132782667	132782667	132782667	132782667	132782667	132782667	132782667	1024
182	136782838	136782838	136782838	136782838	136782838	136782838	136782838	1024
183	140783010	140783010	140783010	140783010	140783010	140783010	140783010	1024
184	145143197	145143197	145143197	145143197	145143197	145143197	145143197	1024
185	149503383	149503383	149503383	149503383	149503383	149503383	149503383	1024
186	153863570	153863570	153863570	153863570	153863570	153863570	153863570	1024
187	158616174	158616174	158616174	158616174	158616174	158616174	158616174	1024
188	163368777	163368777	163368777	163368777	163368777	163368777	163368777	1024
189	168121381	168121381	168121381	168121381	168121381	168121381	168121381	1024
190	173301719	173301719	173301719	173301719	173301719	173301719	173301719	1024
191	178482058	178482058	178482058	178482058	178482058	178482058	178482058	1024
192	183662396	183662396	183662396	183662396	183662396	183662396	183662396	1024
193	189308964	189308964	189308964	189308964	189308964	189308964	189308964	1024
194	194955533	194955533	194955533	194955533	194955533	194955533	194955533	1024
195	200602101	200602101	200602101	200602101	200602101	200602101	200602101	1024
196	206756861	206756861	206756861	206756861	206756861	206756861	206756861	1024
197	212911620	212911620	212911620	212911620	212911620	212911620	212911620	1024
198	219066380	219066380	219066380	219066380	219066380	219066380	219066380	1024
199	225775068	225775068	225775068	225775068	225775068	225775068	225775068	1024
200	232483756	232483756	232483756	232483756	232483756	232483756	232483756	1024
201	239192444	239192444	239192444	239192444	239192444	239192444	239192444	1024
202	246504914	246504914	246504914	246504914	246504914	246504914	246504914	1024
203	253817383	253817383	253817383	253817383	253817383	253817383	253817383	1024
204	261129853	261129853	261129853	261129853	261129853	261129853	261129853	1024
205	269100445	269100445	269100445	269100445	269100445	269100445	269100445	1024
206	277071038	277071038	277071038	277071038	277071038	277071038	277071038	1024
207	285041630	285041630	285041630	285041630	285041630	285041630	285041630	1024
208	293729575	293729575	293729575	293729575	293729575	293729575	293729575	1024
209	302417521	302417521	302417521	302417521	302417521	302417521	302417521	1024
210	311105466	311105466	311105466	311105466	311105466	311105466	311105466	1024
211	320575327	320575327	320575327	320575327	320575327	320575327	320575327	1024
212	330045187	330045187	330045187	330045187	330045187	330045187	330045187	1024
213	339515048	339515048	339515048	339515048	339515048	339515048	339515048	1024
214	349837196	349837196	349837196	349837196	349837196	349837196	349837196	1024
215	360159344	360159344	360159344	360159344	360159344	360159344	360159344	1024
216	370481492	370481492	370481492	370481492	370481492	370481492	370481492	1024
217	381732633	381732633	381732633	381732633	381732633	381732633	381732633	1024
218	392983775	392983775	392983775	392983775	392983775	392983775	392983775	1024
219	404234916	404234916	404234916	404234916	404234916	404234916	404234916	1024
220	416498660	416498660	416498660	416498660	416498660	416498660	416498660	1024
221	428762404	428762404	428762404	428762404	428762404	428762404	428762404	1024
222	441026148	441026148	441026148	441026148	441026148	441026148	441026148	1024
223	454393629	454393629	454393629	454393629	454393629	454393629	454393629	1024
224	467761110	467761110	467761110	467761110	467761110	467761110	467761110	1024
225	481128591	481128591	481128591	481128591	481128591	481128591	481128591	1024
226	495699145	495699145	495699145	495699145	495699145	495699145	495699145	1024
227	510269700	510269700	510269700	510269700	510269700	510269700	510269700	1024
228	524840254	524840254	524840254	524840254	524840254	524840254	524840254	1024
229	540722158	540722158	540722158	540722158	540722158	540722158	540722158	1024
230	556604063	556604063	556604063	556604063	556604063	556604063	556604063	1024
231	572485967	572485967	572485967	572485967	572485967	572485967	572485967	1024
232	589797242	589797242	589797242	589797242	589797242	589797242	589797242	1024
233	607108518	607108518	607108518	607108518	607108518	607108518	607108518	1024
234	624419793	624419793	624419793	624419793	624419793	624419793	624419793	1024
235	643289084	643289084	643289084	643289084	643289084	643289084	643289084	1024
236	662158374	662158374	662158374	662158374	662158374	662158374	662158374	1024
237	681027665	681027665	681027665	681027665	681027665	681027665	681027665	1024
238	701595191	701595191	701595191	701595191	701595191	701595191	701595191	1024
239	722162718	722162718	722162718	722162718	722162718	722162718	722162718	1024
240	742730244	742730244	742730244	742730244	742730244	742730244	742730244	1024
241	765148848	765148848	765148848	765148848	765148848	765148848	765148848	1024
242	787567452	787567452	787567452	787567452	787567452	787567452	787567452	1024
243	809986056	809986056	809986056	809986056	809986056	809986056	809986056	1024
244	834422334	834422334	834422334	834422334	834422334	834422334	834422334	1024
245	858858613	858858613	858858613	858858613	858858613	858858613	858858613	1024
246	883294891	883294891	883294891	883294891	883294891	883294891	883294891	1024
247	909930434	909930434	909930434	909930434	909930434	909930434	909930434	1024
248	936565978	936565978	936565978	936565978	936565978	936565978	936565978	1024
249	963201521	963201521	963201521	963201521	963201521	963201521	963201521	1024
250	992234263	992234263	992234263	992234263	992234263	992234263	992234263	1024
251	1021267005	1021267005	1021267005	1021267005	1021267005	1021267005	1021267005	1024
252	1050299747	1050299747	1050299747	1050299747	1050299747	1050299747	1050299747	1024
253	1081945436	1081945436	1081945436	1081945436	1081945436	1081945436	1081945436	1024
254	1113591125	1113591125	1113591125	1113591125	1113591125	1113591125	1113591125	1024
255	1145236814	1145236814	1145236814	1145236814	1145236814	1145236814	1145236814	1024
256	1179730615	1179730615	1179730615	1179730615	1179730615	1179730615	1179730615	1024
257	1214224416	1214224416	1214224416	1214224416	1214224416	1214224416	1214224416	1024
258	1248718217	1248718217	1248718217	1248718217	1248718217	1248718217	1248718217	1024
259	1286316460	1286316460	1286316460	1286316460	1286316460	1286316460	1286316460	1024
260	1323914703	1323914703	1323914703	1323914703	1323914703	1323914703	1323914703	1024
261	1361512946	1361512946	1361512946	1361512946	1361512946	1361512946	1361512946	1024
262	1402495031	1402495031	1402495031	1402495031	1402495031	1402495031	1402495031	1024
263	1443477116	1443477116	1443477116	1443477116	1443477116	1443477116	1443477116	1024
264	1484459201	1484459201	1484459201	1484459201	1484459201	1484459201	1484459201	1024
265	1529129674	1529129674	1529129674	1529129674	1529129674	1529129674	1529129674	1024
266	1573800146	1573800146	1573800146	1573800146	1573800146	1573800146	1573800146	1024
267	1618470619	1618470619	1618470619	1618470619	1618470619	1618470619	1618470619	1024
268	1667161434	1667161434	1667161434	1667161434	1667161434	1667161434	1667161434	1024
269	1715852250	1715852250	1715852250	1715852250	1715852250	1715852250	1715852250	1024
270	1764543065	1764543065	1764543065	1764543065	1764543065	1764543065	1764543065	1024
271	1817616053	1817616053	1817616053	1817616053	1817616053	1817616053	1817616053	1024
272	1870689042	1870689042	1870689042	1870689042	1870689042	1870689042	1870689042	1024
273	1923762030	1923762030	1923762030	1923762030	1923762030	1923762030	1923762030	1024
274	1981611588	1981611588	1981611588	1981611588	1981611588	1981611588	1981611588	1024
275	2039461145	2039461145	2039461145	2039461145	2039461145	2039461145	2039461145	1024
276	2097310703	2097310703	2097310703	2097310703	2097310703	2097310703	2097310703	1024
277	2160366721	2160366721	2160366721	2160366721	2160366721	2160366721	2160366721	1024
278	2223422738	2223422738	2223422738	2223422738	2223422738	2223422738	2223422738	1024
279	2286478756	2286478756	2286478756	2286478756	2286478756	2286478756	2286478756	1024
280	2355209815	2355209815	2355209815	2355209815	2355209815	2355209815	2355209815	1024
281	2423940874	2423940874	2423940874	2423940874	2423940874	2423940874	2423940874	1024
282	2492671933	2492671933	2492671933	2492671933	2492671933	2492671933	2492671933	1024
283	2567588788	2567588788	2567588788	2567588788	2567588788	2567588788	2567588788	1024
284	2642505642	2642505642	2642505642	2642505642	2642505642	2642505642	2642505642	1024
285	2717422497	2717422497	2717422497	2717422497	2717422497	2717422497	2717422497	1024
286	2799081869	2799081869	2799081869	2799081869	2799081869	2799081869	2799081869	1024
287	2880741240	2880741240	2880741240	2880741240	2880741240	2880741240	2880741240	1024
288	2962400612	2962400612	2962400612	2962400612	2962400612	2962400612	2962400612	1024
289	3051409327	3051409327	3051409327	3051409327	3051409327	3051409327	3051409327	1024
290	3140418041	3140418041	3140418041	3140418041	3140418041	3140418041	3140418041	1024
291	3229426756	3229426756	3229426756	3229426756	3229426756	3229426756	3229426756	1024
292	3326446255	3326446255	3326446255	3326446255	3326446255	3326446255	3326446255	1024
293	3423465755	3423465755	3423465755	3423465755	3423465755	3423465755	3423465755	1024
294	3520485254	3520485254	3520485254	3520485254	3520485254	3520485254	3520485254	1024
295	3626236508	3626236508	3626236508	3626236508	3626236508	3626236508	3626236508	1024
296	3731987763	3731987763	3731987763	3731987763	3731987763	3731987763	3731987763	1024
297	3837739017	3837739017	3837739017	3837739017	3837739017	3837739017	3837739017	1024
298	3990148443	3990148443	3990148443	3990148443	3990148443	3990148443	3990148443	1024
299	4142557869	4142557869	4142557869	4142557869	4142557869	4142557869	4142557869	1024
300	4294967295	4294967295	4294967295	4294967295	4294967295	4294967295	4294967295	1024
