index	name	version	level	PCode2a	PParam2a	PMin2a	PMax2a	PCode2b	PParam2b	PMin2b	PMax2b	PCode3a	PParam3a	PMin3a	PMax3a	PCode3b	PParam3b	PMin3b	PMax3b	PCode4a	PParam4a	PMin4a	PMax4a	PCode4b	PParam4b	PMin4b	PMax4b	PCode5a	PParam5a	PMin5a	PMax5a	PCode5b	PParam5b	PMin5b	PMax5b	FCode1	FParam1	FMin1	FMax1	FCode2	FParam2	FMin2	FMax2	FCode3	FParam3	FMin3	FMax3	FCode4	FParam4	FMin4	FMax4	FCode5	FParam5	FMin5	FMax5	FCode6	FParam6	FMin6	FMax6	FCode7	FParam7	FMin7	FMax7	FCode8	FParam8	FMin8	FMax8	*eol
Infernal Tools	Infernal Tools	0	7	dmg-pois	80	25	25					mana		10	10																					att%	0	20	20	nec	0	1	1	openwounds	0	20	20	manasteal		6	6																	0
Berserker's Garb	Berserker's Garb	0	5	hp		50	50																													res-pois-len	0	75	75	pois-min	0	16	16	pois-max	0	32	32	pois-len	0	75	75	ac		75	75													0
Death's Disguise	Death's Disguise	0	8	lifesteal		8	8																													att%	0	40	40	dmg-min	0	10	10	res-all	0	25	25																					0
Angelical Raiment	Angelical Raiment	0	17	dex		10	10					mana		50	50																					res-all	0	25	25	half-freeze	0	1	1	mag%	0	40	40	regen-mana		8	8																	0
Arctic Gear	Arctic Gear	0	3	str		5	5					hp		50	50																					cold-min	0	6	6	cold-max	0	14	14	cold-len	0	100	100	nofreeze	0	1	1																	0
Arcanna's Tricks	Arcanna's Tricks	0	20	mana		25	25					hp		50	50																					cast3	0	20	20	manasteal	0	5	5	mana	0	25	25																					0
Expansion																																																																				
Natalya's Odium	Natalya's Odium	100	22	red-mag		15	15					ac		200	200					res-pois		20	20													res-all		50	50	ass		3	3	ac		150	150	lifesteal		14	14	manasteal		14	14	red-dmg%		30	30	fade		1	1					0
Aldur's Watchtower	Aldur's Watchtower	100	29	att%		150	150					mag%		50	50					lifesteal		10	10													res-all		50	50	dru		3	3	ac		150	150	manasteal		10	10	mana		150	150	dmg%		350	350	state	fullsetgeneric	1	1					0
Immortal King	Immortal King	100	37	att		50	50					att		75	75					att		125	125					att		200	200					res-all		50	50	bar		3	3	hp		150	150	red-mag		10	10	state	fullsetgeneric	1	1													0
Tal Rasha's Wrappings	Tal Rasha's Wrappings	100	26	regen		10	10					mag%		65	65					balance2		25	25													res-all		50	50	sor		3	3	ac		150	150	hp		150	150	ac-miss		50	50	state	fullsetgeneric	1	1									0
Griswold's Legacy	Griswold's Legacy	100	44	str		20	20					dex		30	30																					res-all		50	50	pal		3	3	att		200	200	hp		150	150	state	fullsetgeneric	1	1	balance2		30	30									0
Trang-Oul's Avatar	Trang-Oul's Avatar	100	32	regen-mana		15	15	oskill	Fire Ball	18	18	regen-mana		15	15	oskill	Fire Wall	13	13	regen-mana		15	15	oskill	Meteor	10	10									res-all		50	50	nec		3	3	mana		100	100	ac		200	200	state	monsterset	1	1	regen-mana		15	15	oskill	Fire Mastery	3	3	lifesteal		20	20	0
M'avina's Battle Hymn	M'avina's Battle Hymn	100	21	str		20	20					dex		30	30																					res-all		50	50	ama		3	3	ac		100	100	att		100	100	mag%		100	100	state	fullsetgeneric	1	1									0
The Disciple	The Disciple	100	39	ac		150	150					dmg-pois	75	75	75					str		10	10					dex		10	10					res-all		50	50	allskills		2	2	mana		100	100																					0
Heaven's Brethren	Heaven's Brethren	100	55	regen-stam		50	50					regen		20	20					dmg-fire		30	30													res-all		50	50	allskills		2	2	nofreeze		1	1	light		5	5																	0
Orphan's Call	Orphan's Call	100	41	hp		35	35					thorns		5	5					ac		100	100													hp		50	50	dex		10	10	str		20	20	ac		100	100	res-all		15	15	mag%	0	80	80									0
Hwanin's Majesty	Hwanin's Majesty	100	28	ac		100	100					ac		200	200																					allskills		2	2	lifesteal		20	20	move3		30	30	res-all		30	30																	0
Sazabi's Grand Tribute	Sazabi's Grand Tribute	100	34	move3		40	40																													res-all		30	30	lifesteal		15	15	hp%		27	27																					0
Bul-Kathos' Children	Bul-Kathos' Children	100	50																																	dmg-fire		20	20	allskills		2	2	att		200	200	ac		25	25	dmg-undead		200	200	dmg-demon		200	200									0
Cow King's Leathers	Cow King's Leathers	100	20	res-pois		25	25																													stam		100	100	str		20	20	gold%		100	100	mag%		100	100	gethit-skill	42	25	5	swing3		30	30									0
Naj's Ancient Set	Naj's Ancient Set	100	43	ac		175	175																													allskills		1	1	regen		10	10	dex		15	15	res-all		50	50	str		20	20	mana		100	100									0
McAuley's Folly	McAuley's Folly	100	20	ac		50	50					att		75	75																					allskills		1	1	mag%		50	50	mana		50	50	lifesteal		4	4																	0
Thor's Thunder	Thor's Thunder	100	100	hp%		10	10					abs-cold%		10	15					abs-ltng%		10	15													allskills		2	2	all-stats		10	10	move3		20	20	gold%		300	300	lifesteal		10	10	manasteal		10	10	dmg-elem	24	100	200					0
Rogue's Gear	Rogue's Gear	100	20																																	hp%		10	10	all-stats		10	10	lifesteal		10	10	manasteal		10	10	regen		20	20													0
Skadhi's Armaments	Skadhi's Armaments	100	100	hp%		10	10					abs-cold%		10	15					abs-ltng%		10	15													allskills		2	2	all-stats		10	10	move3		20	20	gold%		300	300	lifesteal		10	10	manasteal		10	10	dmg-elem	24	100	200					0
Idun's Sheath	Idun's Sheath	100	100	red-dmg%		15	15																													fade		1	1	cheap		15	15	addxp		15	15	mana%		25	25	sor		3	3													0
Slayer's Gear	Slayer's Gear	100	15	dmg		10	20	dmg-cold	24	10	12																									all-stats		10	10	cheap		15	15	ass		4	4	aura	98	2	2																	0
Hel's Sting	Hel's Sting	100	50	lifesteal		20	20	manasteal		20	20																									res-all		50	50	allskills		3	3	mag%		200	200	dex		50	50	str		50	50	ac/lvl	32											0
Bragi's Sentry	Bragi's Sentry	100	50	mag%		150	150	red-mag		25	25																									res-all		50	50	allskills		3	3	ac-hth		100	100	ac-miss		100	100	nofreeze		1	1	dmg-mag		50	125									0
Thor's Legacy	Thor's Legacy	100	50	ac		1000	1000	dmg-max		50	50	lifesteal		15	15	manasteal		15	15																	res-all		50	50	allskills		3	3	red-dmg		50	50	red-mag		50	50	gold%		200	200	mag%		200	200									0
Skadi's Teachings	Skadi's Teachings	100	50	ignore-ac		1	1	nofreeze		1	1	regen-mana		50	50																					res-all		125	125	allskills		3	3	ac-hth		200	200	ac-miss		200	200	cast3		50	50	mag%/lvl	32											0
Odin's Safeguard	Odin's Safeguard	100	50	gold%		300	300	mag%		200	200																									res-all		50	50	allskills		3	3	regen		45	45	move3		30	30	ac-hth		500	500	ac-miss		500	500									0
Loki's Craft	Loki's Craft	100	50	gold%		250	250	mag%		250	250	ac		500	500																					res-all		50	50	allskills		3	3	ac-hth		250	250	ac-miss		250	250	nofreeze		1	1	manasteal		30	30									0
Freyja's Call to Arms	Freyja's Call to Arms	100	50	swing3		25	25	regen		15	15	ac-miss		200	200																					res-all		50	50	allskills		3	3	mag%		100	100	dex		50	50	pierce		100	100	gold%		250	250									0
Paniik Attack	Paniik Attack	100	50	ac-hth		250	250	ac-miss		250	250	ac		500	500																					res-all		50	50	allskills		3	3	mag%		250	250	regen		30	30	freeze		100	100	swing3		50	50									0
Psychomech's Revelation	Psychomech's Revelation	100	50	lifesteal		20	20	manasteal		20	20																									res-all		50	50	allskills		3	3	mag%		250	250	freeze		100	100	knock		1	1	pierce		100	100									0
The Afterlife	The Afterlife	100	50	lifesteal		20	20	manasteal		20	20																									res-all		50	50	allskills		3	3	mag%		250	250	freeze		100	100	ac-hth		250	250	ac-miss		250	250									0
Nordic Folklore	Nordic Folklore	100	100	nofreeze		1	1	regen		15	15	cheap		15	15					aura	123	15	15	cheap		10	10	allskills		5	5	regen		45	45	allskills		10	10	regen-mana		200	200	all-stats		100	100	oskill	Teleport	3	3	cheap		10	10	state	fullsetgeneric	1	1									0
The Deceiver's Treasure	The Deceiver's Treasure	100	50																																	aura	103	5	5	pierce-ltng		25	25	gethit-skill	Delerium Change	5	50	allskills		4	4	kill-skill	Frost Nova	5	30	state	fullsetgeneric	1	1									0
Secret Agenda	Secret Agenda	100	50																	fade		1	1																																													0
Hydra's Choice Battlegear	Hydra's Choice Battlegear	100	100	regen		50	50	pierce-ltng		40	40																	oskill	Lightning Mastery	5	5	oskill	Zeal	1	1	allskills		5	5	move3		40	40	res-all-max		15	15	res-all		45	45	crush		50	50	fade		1	1	oskill	Battle Orders	5	5					0
Gunners Death Suit	Gunners Death Suit	100	100	regen-mana		20	20	manasteal		10	10	nec		2	2	str		100	100	hp%		33	33	mana%		33	33	gold%		200	200	ac%		400	400	res-all		33	33	aura	122	20	20	state	fullsetgeneric	1	1																					0
Drew's Mystical Elements	Drew's Mystical Elements	100	100	swing3		20	20					regen		50	50					sor		3	3	enr%		25	25					dex%		25	25	oskill	Poison Nova	1	1	red-dmg%		30	30	allskills		5	5																					0
Vern's Animalistic Nature	Vern's Animalistic Nature	100	100																																	dru		3	3	res-all		75	75	dmg%		300	300	ac%		300	300	hp		100	100	mana		200	200	state	fullsetgeneric	1	1					0
Nauthis' Fidelity	Nauthis' Fidelity	100	100									skill	224	3	3	skill	247	3	3	skill	223	3	3	skill	248	4	4									dmg%		300	300	swing3		50	50	oskill	dodge	5	5	oskill	evade	5	5	skill	226	3	3	abs-cold%		15	15	abs-ltng%		15	15	abs-fire%		15	15	0
