Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add
Garnet	0	1	1	55		41				0	122	res-fire	0	42	60											weap	glov						rod					0	0	0
																																						0	0	0
Ruby	0	1	1	25		18				0	122	res-fire	0	62	100									1	lred	wand	staf	boot	ring	amul								0	0	0
																																						0	0	0
																																						0	0	0
Ocher	0	1	1	5		3				0	123	res-ltng	0	10	20											armo	rod	ring	amul	miss								0	0	0
Tangerine	0	1	1	12		9				0	123	res-ltng	0	22	40											armo	ring	amul	rod									0	0	0
Tangerine	0	1	1	35		26				0	123	res-ltng	0	22	40											weap							rod					0	0	0
Coral	0	1	1	18		13				0	123	res-ltng	0	42	60											armo	ring	amul	rod				glov					0	0	0
Coral	0	1	1	55		41				0	123	res-ltng	0	42	60											weap	glov						rod					0	0	0
																																						0	0	0
Amber	0	1	1	25		18				0	123	res-ltng	0	62	100									1	lyel	armo	ring	amul	staf	wand			shld	glov				0	0	0
																																						0	0	0
																																						0	0	0
Beryl	0	1	1	5		3				0	124	res-pois	0	10	20											armo	ring	amul	scep	staf	miss							0	0	0
Jade	0	1	1	12		9				0	124	res-pois	0	22	40											armo	ring	amul	scep	staf								0	0	0
Jade	0	1	1	35		26				0	124	res-pois	0	22	40											weap	ring						staf	scep				0	0	0
Viridian	0	1	1	18		13				0	124	res-pois	0	42	60											tors	helm	shld	scep	staf	ring	amul						0	0	0
Viridian	0	1	1	55		41				0	124	res-pois	0	42	60											weap	boot	glov	belt				staf	scep				0	0	0
																																						0	0	0
Emerald	0	1	1	25		18				0	124	res-pois	0	62	100									1	lgrn	scep	ring	amul										0	0	0
																																						0	0	0
Fletcher's	0	1	1	30		22				0	125	ama	0	2	2											miss	amul											0	0	0
Archer's	0	1	1	40		30				0	125	ama	0	4	4									1	cgrn	miss												0	0	0
Archer's	0	1	1	90		67				0	125	ama	0	4	4									1	cgrn	amul												0	0	0
Monk's	0	1	1	30		22				0	126	pal	0	2	2											scep	amul											0	0	0
Priest's	0	1	1	40		30				0	126	pal	0	4	4									1	cgrn	scep												0	0	0
Priest's	0	1	1	90		67				0	126	pal	0	4	4									1	cgrn	amul												0	0	0
Summoner's	0	1	1	30		22				0	127	nec	0	2	2											wand	amul											0	0	0
Necromancer's	0	1	1	40		30				0	127	nec	0	4	4									1	cgrn	wand												0	0	0
Necromancer's	0	1	1	90		67				0	127	nec	0	4	4									1	cgrn	amul												0	0	0
Angel's	0	1	1	30		22				0	128	sor	0	2	2											staf	amul											0	0	0
Arch-Angel's	0	1	1	40		30				0	128	sor	0	4	4									1	cgrn	staf												0	0	0
Arch-Angel's	0	1	1	90		67				0	128	sor	0	4	4									1	cgrn	amul												0	0	0
Slayer's	0	1	1	30		22				0	129	bar	0	2	2											mele	amul						rod	h2h				0	0	0
Berserker's	0	1	1	40		30				0	129	bar	0	4	4									1	cgrn	mele							rod	h2h				0	0	0
Berserker's	0	1	1	90		67				0	129	bar	0	4	4									1	cgrn	amul												0	0	0
																																						0	0	0
																																						0	0	0
Triumphant	0	1	1	3		2				0	132	mana-kill	0	2	2											mele	ring											0	0	0
Expansion																																						0	0	0
Stout	100	1	1	1		1				4	101	ac		6	10											lcha	marb											0	0	0
Stout	100	1	1	7		5				4	101	ac		12	18											lcha	marb											0	0	0
Stout	100	1	1	12		9				4	101	ac		20	24											lcha	marb											0	0	0
Burly	100	1	1	17		12				4	101	ac		26	30											lcha	marb											0	0	0
Burly	100	1	1	22		16				4	101	ac		32	44											lcha	marb											0	0	0
Burly	100	1	1	27		20				4	101	ac		46	60											lcha	marb											0	0	0
Stalwart	100	1		32		24				4	101	ac		66	80											lcha	marb											0	0	0
Stalwart	100	1		37		29				4	101	ac		88	100											lcha	marb											0	0	0
Stalwart	100	1		42		34				4	101	ac		120	200											lcha	marb											0	0	0
Stout	100	1	1	1		1				4	101	ac		4	6											mcha												0	0	0
Stout	100	1	1	14		10				4	101	ac		8	12											mcha												0	0	0
Stout	100	1	1	20		15				4	101	ac		16	24											mcha												0	0	0
Burly	100	1	1	26		19				4	101	ac		26	36											mcha												0	0	0
Burly	100	1	1	32		24				4	101	ac		40	60											mcha												0	0	0
Stalwart	100	1		38		30				4	101	ac		60	80											mcha												0	0	0
Stalwart	100	1		45		37				4	101	ac		90	120											mcha												0	0	0
Stout	100	1	1	1		1				4	101	ac		2	2											scha												0	0	0
Stout	100	1	1	21		15				4	101	ac		8	16											scha												0	0	0
Burly	100	1	1	36		28				4	101	ac		30	40											scha												0	0	0
Stalwart	100	1		48		40				4	101	ac		40	60											scha												0	0	0
Blanched	100	1	1	1		1				4	101	ac		10	16									1	whit	jewl												0	0	0
Eburin	100	1	1	16		12				4	101	ac		18	40									1	whit	jewl												0	0	0
Bone	100	1	1	32		24				4	101	ac		42	80									1	whit	jewl												0	0	0
Ivory	100	1		64		56				4	101	ac		82	128									1	whit	jewl												0	0	0
Sturdy	1	1	1	1		1				9	101	ac%		20	40											armo												0	0	0
Sturdy	1	1	1	4		3				9	101	ac%		42	60											armo												0	0	0
Strong	1	1	1	9		6				8	101	ac%		62	80											armo												0	0	0
Glorious	1	1	1	19		14				8	101	ac%		82	100											armo												0	0	0
Blessed	1	1	1	25		18				7	101	ac%		102	130											armo												0	0	0
Saintly	1	1	1	31		23				7	101	ac%		132	160									1	dgld	armo												0	0	0
Holy	1	1	1	36		27				6	101	ac%		162	200									1	dgld	armo												0	0	0
Godly	100	1		45		38				3	101	ac%		202	400									1	dgld	armo												0	0	0
Devious	1	0	1	7		5				5	102	red-mag		2	2											shld	circ	orb	wand	staf								0	0	0
Blank	1	0	1	14		10				4	102	red-mag		4	4											shld	circ	orb	wand	staf								0	0	0
Null	100	0	1	21		16				4	102	red-mag		6	10									1	dblu	shld	circ											0	0	0
Antimagic	100	0		28		21				4	102	red-mag		12	20									1	dblu	shld	circ											0	0	0
Red	100	0	1	4		3				4	103	dmg-min		2	4									1	dred	lcha	marb											0	0	0
Red	100	0	1	16		12				4	103	dmg-min		6	6									1	dred	lcha	marb											0	0	0
Sanguinary	100	0	1	28		21				4	103	dmg-min		8	8									1	dred	lcha	marb											0	0	0
Sanguinary	100	0	1	40		32				4	103	dmg-min		10	12									1	dred	lcha	marb											0	0	0
Bloody	100	0		52		46				4	103	dmg-min		14	16									1	dred	lcha	marb											0	0	0
Red	100	0	1	11		8				4	103	dmg-min		2	4									1	dred	mcha												0	0	0
Sanguinary	100	0	1	33		25				4	103	dmg-min		6	6									1	dred	mcha												0	0	0
Bloody	100	0		55		47				4	103	dmg-min		8	8									1	dred	mcha												0	0	0
Red	100	0	1	24		16				4	103	dmg-min		2	2									1	dred	scha												0	0	0
Sanguinary	100	0	1	41		33				4	103	dmg-min		4	4									1	dred	scha												0	0	0
Bloody	100	0		58		50				4	103	dmg-min		6	6									1	dred	scha												0	0	0
Scarlet	100	1	1	8		6				4	103	dmg-min		2	8									1	dred	jewl												0	0	0
Crimson	100	1	1	38		30				4	103	dmg-min		10	16									1	dred	jewl												0	0	0
Jagged	100	0	1	3		2				4	104	dmg-max		2	4									1	blac	lcha	marb											0	0	0
Jagged	100	0	1	10		7				4	104	dmg-max		6	8									1	blac	lcha	marb											0	0	0
Jagged	100	0	1	17		12				4	104	dmg-max		10	12									1	blac	lcha	marb											0	0	0
Forked	100	0	1	25		18				4	104	dmg-max		14	16									1	blac	lcha	marb											0	0	0
Forked	100	0	1	32		24				4	104	dmg-max		18	20									1	blac	lcha	marb											0	0	0
Serrated	100	0		39		31				4	104	dmg-max		22	24									1	blac	lcha	marb											0	0	0
Serrated	100	0		47		39				4	104	dmg-max		26	28									1	blac	lcha	marb											0	0	0
Jagged	100	0	1	10		7				4	104	dmg-max		2	2									1	blac	mcha												0	0	0
Jagged	100	0	1	20		15				4	104	dmg-max		4	4									1	blac	mcha												0	0	0
Forked	100	0	1	30		22				4	104	dmg-max		6	6									1	blac	mcha												0	0	0
Forked	100	0	1	40		32				4	104	dmg-max		8	10									1	blac	mcha												0	0	0
Serrated	100	0		50		42				4	104	dmg-max		12	14									1	blac	mcha												0	0	0
Jagged	100	0	1	23		17				4	104	dmg-max		2	2									1	blac	scha												0	0	0
Forked	100	0	1	38		30				4	104	dmg-max		4	4									1	blac	scha												0	0	0
Serrated	100	0		53		45				4	104	dmg-max		6	6									1	blac	scha												0	0	0
Carbuncle	100	1	1	12		9				4	104	dmg-max		2	10									1	dred	jewl												0	0	0
Carmine	100	1	1	35		27				4	104	dmg-max		12	18									1	dred	jewl												0	0	0
Vermillion	100	1		58		50				4	104	dmg-max		22	30									1	dred	jewl												0	0	0
Jagged	1	1	1	1		1				9	105	dmg%		20	40											weap	circ						staf	wand	orb			0	0	0
Deadly	1	1	1	5		3				9	105	dmg%		42	60											weap	circ						staf	wand	orb			0	0	0
Vicious	1	1	1	8		6				8	105	dmg%		62	80											weap							staf	wand	orb			0	0	0
Brutal	1	1	1	14		10				8	105	dmg%		82	100											weap							staf	wand	orb			0	0	0
Massive	1	1	1	20		15				7	105	dmg%		102	130									1	dgld	weap							staf	wand	orb			0	0	0
Savage	1	1	1	26		19				7	105	dmg%		132	160									1	dgld	weap							staf	wand	orb			0	0	0
Merciless	1	1	1	32		24				6	105	dmg%		162	200									1	dgld	weap							staf	wand	orb			0	0	0
Ferocious	100	1	1	41		33				6	105	dmg%		202	400									1	blac	weap							staf	wand	orb			0	0	0
Cruel	100	1		51		43				5	105	dmg%		402	600									1	blac	weap							staf	wand	orb			0	0	0
Cinnabar	100	1	1	1		1				4	105	dmg%		10	20									1	dred	jewl												0	0	0
Rusty	100	1	1	13		9				4	105	dmg%		22	40									1	dred	jewl												0	0	0
Realgar	100	1	1	45		37				4	105	dmg%		42	60									1	dred	jewl												0	0	0
Ruby	100	1		66		58				4	105	dmg%		62	80									1	dred	jewl												0	0	0
Vulpine	1	1	1	9		6				3	107	dmg-to-mana		14	24									1	cblu	shld	amul	orb	staf									0	0	0
Dun	100	1	1	7		5				3	107	dmg-to-mana		14	24											jewl												0	0	0
Tireless	1	1	1	6		4				4	108	regen-stam		50	50											boot												0	0	0
Tireless	100	1	1	14		10				4	108	regen-stam		100	100											boot												0	0	0
Brown	100	1	1	39		31				4	108	regen-stam		20	30											jewl												0	0	0
Rugged	100	1	1	1		1				4	109	stam		24	48											lcha	marb											0	0	0
Rugged	100	1	1	7		5				4	109	stam		50	72											lcha	marb											0	0	0
Rugged	100	1	1	21		15				4	109	stam		74	100											lcha	marb											0	0	0
Rugged	100	1	1	1						4	109	stam		16	32											mcha												0	0	0
Rugged	100	1	1	7		5				4	109	stam		34	50											mcha												0	0	0
Rugged	100	1	1	21		15				4	109	stam		52	64											mcha												0	0	0
Rugged	100	1	1	1						4	109	stam		8	16											scha												0	0	0
Rugged	100	1	1	21		15				4	109	stam		18	32											scha												0	0	0
Rugged	1	1	1	1		1				4	109	stam		10	20											boot	glov	belt	ring	amul	circ							0	0	0
Rugged	1	1	1	8		6				4	109	stam		22	40											boot	belt											0	0	0
Rugged	1	1	1	8		6				4	109	stam		22	40											ring	amul	circ										0	0	0
Vigorous	100	1	1	16		12				4	109	stam		42	60											boot	belt											0	0	0
Chestnut	100	1	1	1		1				4	109	stam		20	30											jewl												0	0	0
Maroon	100	1	1	17		12				4	109	stam		32	50											jewl												0	0	0
Bronze	100	1	1	1		1				4	110	att		12	24											lcha	marb											0	0	0
Bronze	100	1	1	7		5				4	110	att		26	54											lcha	marb											0	0	0
Bronze	100	1	1	13		9				4	110	att		56	84											lcha	marb											0	0	0
Iron	100	1	1	19		14				4	110	att		86	114											lcha	marb											0	0	0
Iron	100	1	1	25		18				4	110	att		116	144											lcha	marb											0	0	0
Iron	100	1	1	31		23				4	110	att		146	174											lcha	marb											0	0	0
Steel	100	1		37		29				4	110	att		176	204											lcha	marb											0	0	0
Steel	100	1		43		35				4	110	att		206	234											lcha	marb											0	0	0
Steel	100	1		49		41				4	110	att		236	264											lcha	marb											0	0	0
Bronze	100	1	1	1		1				4	110	att		8	16											mcha												0	0	0
Bronze	100	1	1	7		5				4	110	att		12	24											mcha												0	0	0
Bronze	100	1	1	16		12				4	110	att		26	50											mcha												0	0	0
Iron	100	1	1	25		18				4	110	att		52	76											mcha												0	0	0
Iron	100	1	1	34		26				4	110	att		78	102											mcha												0	0	0
Steel	100	1		43		36				4	110	att		104	128											mcha												0	0	0
Steel	100	1		52		44				4	110	att		130	154											mcha												0	0	0
Bronze	100	1	1	1		1				4	110	att		4	8											scha												0	0	0
Bronze	100	1	1	21		15				4	110	att		12	24											scha												0	0	0
Iron	100	1	1	39		31				4	110	att		26	48											scha												0	0	0
Steel	100	1		57		49				4	110	att		50	72											scha												0	0	0
Bronze	1	1	1	1		1				8	110	att		20	40											weap	ring	glov	amul	circ			staf	wand	orb			0	0	0
Iron	1	1	1	4		3				8	110	att		42	80											weap	ring	circ					staf	wand	orb			0	0	0
Steel	1	1	1	8		6				7	110	att		82	120											weap	ring	circ					staf	wand	orb			0	0	0
Silver	1	1	1	12		9				7	110	att		122	160											weap	ring	circ					staf	wand	orb			0	0	0
Gold	1	1	1	17		12				6	110	att		162	200									1	lgld	weap	ring	circ					staf	wand	orb			0	0	0
Platinum	1	1	1	22		16				6	110	att		202	240									1	lgld	weap	ring	circ					staf	wand	orb			0	0	0
Meteoric	1	1	1	27		20				5	110	att		242	300									1	lgld	weap							staf	wand	orb			0	0	0
Strange	100	1	1	32		24				5	110	att		302	600									1	lgld	weap							staf	wand	orb			0	0	0
Weird	100	1		37		27				4	110	att		602	900									1	lgld	weap							staf	wand	orb			0	0	0
Nickel	100	1	1	1		1				4	110	att		20	40											jewl												0	0	0
Tin	100	1	1	8		6				4	110	att		42	80											jewl												0	0	0
Silver	100	1	1	25		18				4	110	att		82	120											jewl												0	0	0
Argent	100	1		44		36				4	110	att		122	200											jewl												0	0	0
Fine	100	1	1	15		11				4	111	att		20	40	dmg-max		2	6							lcha	marb											0	0	0
Fine	100	1	1	22		16				4	111	att		42	96	dmg-max		8	12							lcha	marb											0	0	0
Sharp	100	1	1	29		21				4	111	att		98	152	dmg-max		14	20							lcha	marb											0	0	0
Fine	100	1	1	19		14				4	111	att		20	40	dmg-max		2	6							mcha												0	0	0
Sharp	100	1	1	28		21				4	111	att		42	96	dmg-max		8	12							mcha												0	0	0
Fine	100	1		28		21				4	111	att		20	40	dmg-max		2	6							scha												0	0	0
Sharp	1	1	1	5		3				9	111	att		20	40	dmg%		20	40							weap							staf	wand	orb			0	0	0
Fine	1	1	1	12		9				9	111	att		42	80	dmg%		42	60							weap							staf	wand	orb			0	0	0
Warrior's	1	1	1	19		13				8	111	att		82	120	dmg%		62	80							weap							staf	wand	orb			0	0	0
Soldier's	1	1	1	27		19				8	111	att		122	160	dmg%		82	100							weap							staf	wand	orb			0	0	0
Knight's	1	1	1	38		30				7	111	att		162	200	dmg%		102	130					1	dgld	weap							staf	wand	orb			0	0	0
Lord's	1	1	1	47		39				6	111	att		202	240	dmg%		132	160					1	dgld	weap							staf	wand	orb			0	0	0
King's	1	1	1	56		48				5	111	att		242	300	dmg%		162	200					1	dgld	weap							staf	wand	orb			0	0	0
Master's	100	1	1	56		48				5	111	att		302	500	dmg%		202	300					1	dgld	weap							staf	wand	orb			0	0	0
Grandmaster's	100	1		69		61				4	111	att		502	600	dmg%		302	400					1	dgld	weap							staf	wand	orb			0	0	0
Glimmering	1	1	1	1		1				1	112	light		2	2											armo	wand	staf	ring	amul	orb							0	0	0
Glowing	1	1	1	6		4				1	112	light		4	4									1	lyel	armo	wand	staf	ring	amul	orb							0	0	0
Bright	100	1	1	1		1				1	112	light		2	2	att		20	20							jewl												0	0	0
Screaming	100	1	1	10		7				3	113	howl		64	64									1	oran	weap							miss	swor	axe	pole	spea	0	0	0
Howling	1	1	1	16		12				3	113	howl		128	128									1	oran	weap							miss	swor	axe	pole	spea	0	0	0
Wailing	100	1	1	20		13				3	113	howl		256	256									1	oran	weap							miss	swor	axe	pole	spea	0	0	0
Screaming	100	1	1	10		7				4	113	howl		32	32									1	oran	miss												0	0	0
Howling	100	1	1	16		12				4	113	howl		48	48									1	oran	miss												0	0	0
Wailing	100	1		24		18				4	113	howl		64	64									1	oran	miss												0	0	0
Lucky	100	1	1	21						4	114	mag%		2	8											lcha	marb											0	0	0
Lucky	100	1		38						4	114	mag%		10	14											lcha	marb											0	0	0
Lucky	100	1		55						4	114	mag%		16	24											lcha	marb											0	0	0
Lucky	100	1	1	34						4	114	mag%		2	2											mcha												0	0	0
Lucky	100	1		53						4	114	mag%		4	6											mcha												0	0	0
Lucky	100	1		51						4	114	mag%		8	12											mcha												0	0	0
Felicitous	100	1	1	5		3				4	114	mag%		10	20											ring	amul	circ										0	0	0
Fortuitous	1	1		12		8				4	114	mag%		22	30											ring	amul	circ										0	0	0
Emerald	100	1	1	16		12				4	114	mag%		6	14											jewl												0	0	0
Lizard's	100	1	1	1		1				4	115	mana		6	14											lcha	marb											0	0	0
Lizard's	100	1	1	7		5				4	115	mana		16	26											lcha	marb											0	0	0
Lizard's	100	1	1	13		9				4	115	mana		28	40											lcha	marb											0	0	0
Snake's	100	1	1	19		14				4	115	mana		42	52											lcha	marb											0	0	0
Snake's	100	1	1	25		18				4	115	mana		54	66											lcha	marb											0	0	0
Snake's	100	1	1	31		23				4	115	mana		68	78											lcha	marb											0	0	0
Serpent's	100	1	1	37		29				4	115	mana		80	92											lcha	marb											0	0	0
Serpent's	100	1	1	43		35				4	115	mana		94	104											lcha	marb											0	0	0
Serpent's	100	1	1	49		41				4	115	mana		106	118											lcha	marb											0	0	0
Lizard's	100	1	1	1		1				4	115	mana		4	8											mcha												0	0	0
Lizard's	100	1	1	9		6				4	115	mana		10	14											mcha												0	0	0
Lizard's	100	1	1	17		12				4	115	mana		16	24											mcha												0	0	0
Snake's	100	1	1	25		18				4	115	mana		26	36											mcha												0	0	0
Snake's	100	1	1	33		25				4	115	mana		38	46											mcha												0	0	0
Serpent's	100	1	1	41		33				4	115	mana		48	58											mcha												0	0	0
Serpent's	100	1	1	49		41				4	115	mana		60	68											mcha												0	0	0
Lizard's	100	1	1	16		12				4	115	mana		2	4											scha												0	0	0
Lizard's	100	1	1	16		12				4	115	mana		6	14											scha												0	0	0
Snake's	100	1	1	32		24				4	115	mana		16	24											scha												0	0	0
Serpent's	100	1		48		40				4	115	mana		26	34											scha												0	0	0
Lizard's	1	1	1	3		2				4	115	mana		6	10											armo	ring	amul	rod	orb			boot	glov				0	0	0
Snake's	1	1	1	6		4				4	115	mana		10	20											shld	rod	belt	ring	amul	circ							0	0	0
Serpent's	1	1	1	14		10				3	115	mana		22	40											shld	rod	belt	ring	amul	circ							0	0	0
Serpent's	1	1	1	37		27				2	115	mana		22	40											tors	boot	glov	weap	orb			rod					0	0	0
Drake's	1	1	1	20		15				2	115	mana		42	60									1	cblu	rod	ring	amul	orb	circ								0	0	0
Dragon's	1	1	1	24		18				2	115	mana		62	80									1	cblu	rod	ring	amul	orb	circ								0	0	0
Dragon's	1	1	1	52		39				2	115	mana		62	80									1	cblu	tors	boot	glov										0	0	0
Wyrm's	1	1	1	30		22				2	115	mana		82	120									1	cblu	rod	ring	amul	orb	circ								0	0	0
Great Wyrm's	100	1	1	37		29				2	115	mana		122	180									1	cblu	rod	ring	amul	orb	circ								0	0	0
Bahamut's	100	1		45		37				2	115	mana		182	240									1	cblu	rod	ring	amul	orb	circ								0	0	0
Zircon	100	1	1	3		2				2	115	mana		10	20									1	cblu	jewl												0	0	0
Jacinth	100	1	1	17		12				2	115	mana		22	30									1	cblu	jewl												0	0	0
Turquoise	100	1		29		21				2	115	mana		32	40									1	cblu	jewl														
Shimmering	100	1		8	13	6				1	116	res-all		6	12									1	lpur	lcha	marb											0	1280	500
Shimmering	100	1		14	34	10				1	116	res-all		16	24									1	lpur	lcha	marb											0	1280	1500
Shimmering	100	1		35		27				1	116	res-all		26	30									1	lpur	lcha	marb											0	1280	5000
Shimmering	100	1		17	33	12				1	116	res-all		6	10									1	lpur	mcha												0	1280	1500
Shimmering	100	1		34		26				1	116	res-all		12	16									1	lpur	mcha												0	1280	5000
Shimmering	100	1		33		25				1	116	res-all		6	10									1	lpur	scha												0	1280	10000
Shimmering	100	1	1	6		4				5	116	res-all		6	14									1	lpur	shld												0	1280	500
Rainbow	100	1	1	18		13				5	116	res-all		16	22									1	lpur	shld												0	1280	2000
Scintillating	100	1	1	28		21				5	116	res-all		24	30									1	lpur	shld												0	1280	4000
Prismatic	1	1	1	39		31				4	116	res-all		32	40									1	lpur	shld												0	1280	8000
Chromatic	100	1		50		42				4	116	res-all		42	60									1	lpur	shld												0	1280	16000
Shimmering	100	1	1	8		6				5	116	res-all		6	14									1	lpur	amul	circ											0	1280	3000
Rainbow	100	1	1	21		15				5	116	res-all		16	22									1	lpur	amul	circ											0	1280	6000
Scintillating	100	1	1	34		25				5	116	res-all		24	30									1	lpur	amul	circ											0	1280	12000
Prismatic	1	1	1	42		31				4	116	res-all		32	40									1	lpur	amul	circ											0	1280	24000
Chromatic	100	1		55		41				3	116	res-all		42	60									1	lpur	amul	circ											0	1280	32000
Shimmering	100	1	1	45		37				3	116	res-all		6	14									1	lpur	ring												0	1280	4000
Rainbow	100	1	1	56		48				2	116	res-all		16	22									1	lpur	ring												0	1280	8000
Scintillating	100	1		67		59				2	116	res-all		24	30									1	lpur	ring												0	1280	16000
Shimmering	100	1	1	16		12				1	116	res-all		10	20									1	lpur	jewl												0	1280	3000
Scintillating	100	1		34		26				1	116	res-all		22	30									1	lpur	jewl												0	1280	8000
