name	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	block	durability	nodurability	level	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	nameable
Studded Leather 	0	0	1	1	56	61	0	0	43	0	32	0	13	0	2385	705	stu	stu			stu	stu	stu	xtu	utu	0	1	2	3	1	6	1	flpstu	invstu			1	0	0	1	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1	1	1	1	1	20		1		1	1					255					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255			5	8	0	rng	ltp	0	0	1
Ring Mail	0	0	1	1	79	84	0	5	58	0	26	0	18	0	4428	1261	rng	rng			rng	rng	rng	xng	ung	0	1	2	3	1	6	1	flprng	invrng			0	0	1	1	1	1	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3		1		1	255					255					255	1	1		1	1					255					255					255					255					255		1		1	1					255					255					255					255					255					255					255			5	8	0	scl	chn	0	0	1
Scale Mail	0	0	1	1	100	105	0	10	70	0	36	0	21	0	6508	1885	scl	scl			scl	scl	scl	xcl	ucl	0	1	2	3	1	6	1	flpscl	invscl			1	1	1	1	1	1	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255	1	1		1	1					255					255					255					255					255					255				1	1				1	1					255					255					255					255					255			5	8	0	chn	brs	0	0	1
Chain Mail	0	0	1	1	126	131	0	5	77	0	45	0	24	0	9360	2819	chn	chn			chn	chn	chn	xhn	uhn	0	1	2	3	1	6	1	flpchn	invchn			1	1	1	1	2	2	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255	1	1		1	1					255					255		1		1	1					255					255					255	1	1	1	1	1	1	1	1	1	1					255				1	1					255					255					255			5	8	0	brs	spl	0	0	1
Breast Plate	0	0	2	1	114	120	1	0	48	0	50	0	29	0	10078	3554	brs	brs			brs	brs	brs	xrs	urs	0	1	2	3	1	6	1	flpbrs	invbrs			0	0	2	0	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255		1		1	1					255					255	1	1		1	1					255					255					255	1	1	1	1	1	1	1	1	1	1					255	1	1		1	1					255					255					255			5	8	0	spl	plt	0	0	1
Splint Mail	0	0	1	1	159	166	0	5	82	0	30	0	32	0	15489	5622	spl	spl			spl	spl	spl	xpl	upl	0	1	2	3	1	6	1	flpspl	invspl			1	1	2	1	1	1	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255		1			1					255					255	1	1	1	1	1					255					255					255	1	1		1	1	1	1		1	1					255	1	1		1	1			1	1	20					255					255			5	8	0	plt	fld	0	0	1
Plate Mail	0	0	1	1	190	204	0	10	104	0	60	0	38	0	22335	9282	plt	plt			plt	plt	plt	xlt	ult	0	1	2	3	1	6	1	flpplt	invplt			2	2	2	2	1	1	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255			1	1	20	1	1	1	1	1			1	1	20					255					255			5	8	0	fld	xxx	0	0	1
Field Plate	0	0	3	1	177	185	2	5	88	0	48	0	45	0	23841	11462	fld	fld			fld	fld	fld	xld	uld	0	1	2	3	1	6	1	flpfld	invfld			1	1	2	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255		1			1					255					255					255					255					255	1	1	1	1	20					1			1	2	20					255					255			5	8	0	gth	ful	0	0	1
Gothic Plate	0	0	3	1	225	237	0	5	112	0	55	0	51	0	34646	18480	gth	gth			gth	gth	gth	xth	uth	0	1	2	3	1	6	1	flpgth	invgth			2	2	1	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					1					255				1	1					255					255					255	1	1	1	1	20					1	1	1	1	2	20					255					255			5	8	0	ful	xxx	0	0	1
Full Plate Mail	0	0	1	1	263	282	2	10	128	0	70	0	59	0	47192	28596	ful	ful			ful	ful	ful	xul	uul	0	1	2	3	1	6	1	flpful	invful	invfulu	invfulu	2	2	2	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					1					255					255					255					255					255			1	1	20					1	1	1	1	2	20					255					255			5	8	0	aar	xxx	0	0	1
Ancient Armor	0	0	4	1	382	410	5	5	160	0	60	0	64	0	73864	47572	aar	aar			aar	aar	aar	xar	uar	0	1	2	3	1	6	1	flpaar	invaar	invaaru	invaaru	1	2	2	2	2	0	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255			1	1	20					255	1	1	1	2	20					255		1	1	2	20			5	8	0	ltp	xxx	0	0	1
Light Plate	0	0	2	1	159	187	1	0	66	0	60	0	56	0	28327	16742	ltp	ltp			ltp	ltp	ltp	xtp	utp	0	1	2	3	1	6	1	flpltp	invltp			2	0	1	1	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255			1	1	20		1			255			1	2	20					255		1	1	1	20			5	8	0	buc	xxx	0	0	1
Buckler	0	0	1	1	6	10	0	0	19	0	12	0	2	0	68	189	buc	buc			buc	buc	buc	xuc	uuc	0	7	2	2	1	4	2	flpbuc	invbuc	invbucu	invbucu							0	0	0	0	0	shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0	0	0	1	0	1	3			0	3	1	1	1	1	3		1		1	1					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			5	8	0	sml	tow	0	0	1
Small Shield	0	0	1	1	14	18	0	0	35	5	16	0	8	0	410	345	sml	sml			buc	buc	sml	xml	uml	0	7	2	2	1	4	2	flpsml	invsml	invsmlu	invsmlu							0	0	0	0	0	shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0	0	0	1	0	2	3			0	3	1	1	1	1	5		1		1	1					255					255					255					255					255					255					255	1	2	1	1	1				1	1				1	1					255					255					255					255					255			5	8	0	lrg	kit	0	0	1
Large Shield	0	0	1	1	21	25	0	5	54	12	24	0	18	0	1214	709	lrg	lrg			lrg	buc	lrg	xrg	urg	0	7	2	3	1	6	2	flplrg	invlrg	invlrgu	invlrgu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	2	4			0	3		1		1	10		1		1	1					255	1	1	1	1	1					255					255					255					255					255					255	1	1	1	1	1	1	1	1	1	1					255	1	1			255					255					255					255			5	8	0	kit	tow	0	0	1
Kite Shield	0	0	2	1	29	31	0	0	75	8	30	0	24	0	2129	1124	kit	kit			kit	buc	kit	xit	uit	0	7	2	3	1	6	2	flpkit	invkit	invkitu	invkitu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	2	5			0	3					255					255					255	1	1		1	1					255					255	1	1	1	1	1					255					255					255	1	1		1	1	1	1		1	1					255	1	1	1	1	1					255					255					255			5	8	0	tow	gts	0	0	1
Tower Shield	0	0	2	1	39	44	1	10	120	24	60	0	35	0	4249	2305	tow	tow			tow	buc	tow	xow	uow	0	7	2	3	1	6	2	flptow	invtow	invtowu	invtowu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	1	5			0	3					255					255					255		1			1					255					255	1	2	1	1	1					255					255					255					255					255	1	1	1	1	20	1	1			1	1	1	1	2	20					255					20			5	8	0	gts	xxx	0	0	1
Gothic Shield	0	0	3	1	52	61	0	5	96	16	40	0	48	0	8000	4844	gts	gts			kit	buc	gts	xts	uts	0	7	2	4	1	8	2	flpgts	invgts	invgtsu	invgtsu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	2	6			0	3					255					255					255					255					255					255		1			1					255					255					255					255					255	1	1	1	1	20					1			1	2	20					255			1	1	20			5	8	0	xxx	xxx	0	0	1
Gloves(L)	0	0	1	1	4	5	0	0	0	0	12	0	5	0	80	254	lgl	lgl			lgl	lgl	lgl	xlg	ulg	0	16	2	2	1	4	0	flplgl	invlgl									0	0	0	0	0	glov		item_gloves	12	item_gloves	0	0	5	0	0	0	0	0	5	0	0	0			0	1	1	1	1	1	3	1	1		1	1					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			5	8	0	vgl	hgl	0	0	1
Heavy Gloves	0	0	1	1	9	10	0	0	0	0	14	0	11	0	352	414	vgl	vgl			vgl	vgl	vgl	xvg	uvg	0	16	2	2	1	4	0	flpvgl	invvgl									0	0	0	0	0	glov		item_gloves	12	item_gloves	0	0	5	0	0	0	0	0	5	0	0	0			0	1		1		1	5		1		1	1					255		1		1	1					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255			5	8	0	mgl	tgl	0	0	1
Bracers(M)	0	0	2	1	14	16	0	0	40	0	16	0	19	0	859	693	mgl	mgl			mgl	mgl	mgl	xmg	umg	0	16	2	2	1	4	0	flpmgl	invmgl									0	0	0	0	0	glov		item_gloveschain	12	item_gloveschain	0	0	5	0	0	0	0	0	5	0	0	0			0	3		1			10					255					255	1	2	1	1	1					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					255					255					255					255			5	8	0	tgl	hgl	0	0	1
Light Gauntlets	0	0	2	1	16	20	0	0	72	0	18	0	32	0	1635	1293	tgl	tgl			mgl	mgl	tgl	xtg	utg	0	16	2	2	1	4	0	flptgl	invtgl									0	0	0	0	0	glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0	0	0	5	0	0	0			0	3					255					255					255		1		1	1					255					255					255					255					255					255	1	2	1	1	1	1	2	1	1	1			1	1	255	1	1		1	255			1	1	20					255	1	1			255			5	8	0	xxx	xxx	0	0	1
Gaunlets(H)	0	0	3	1	21	26	0	0	96	0	24	0	43	0	2964	2251	hgl	hgl			hgl	hgl	hgl	xhg	uhg	0	16	2	2	1	4	0	flphgl	invhgl									0	0	0	0	0	glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0	0	0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255	1	1		1	1	1	1		1	1	1	1		1	255	1	1			255	1	1	1	1	20					255	1	1	1	1	20			5	8	0	xxx	xxx	0	0	1
Leather Boots	0	0	1	1	4	5	0	0	0	0	12	0	5	0	80	254	lbt	lbt			lbt	lbt	lbt	xlb	ulb	0	16	2	2	1	4	1	flplbt	invlbt									0	0	0	0	0	boot		item_boots	12	item_boots	0	0	5	0	0	0	0	0	6	0	3	8	120		0	1	1	1	1	1	1	1	1		1	1					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			5	8	0	vbt	tbt	0	0	1
Heavy Boots	0	0	1	1	9	10	0	0	29	0	14	0	11	0	334	412	vbt	vbt			vbt	vbt	vbt	xvb	uvb	0	16	2	2	1	4	1	flpvbt	invvbt									0	0	0	0	0	boot		item_boots	12	item_boots	0	0	5	0	0	0	0	0	6	0	4	10	120		0	1		1		1	1		1		1	1					255		1		1	1					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255			5	8	0	mbt	tbt	0	0	1
Chain Boots	0	0	2	1	14	16	0	0	48	0	16	0	19	0	854	692	mbt	mbt			mbt	mbt	mbt	xmb	umb	0	16	2	2	1	4	1	flpmbt	invmbt									0	0	0	0	0	boot		item_bootschain	12	item_bootschain	0	0	5	0	0	0	0	0	6	0	6	12	120		0	3		1			1					255					255	1	2	1	1	1					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					255					255					255					255			5	8	0	tbt	hbt	0	0	1
Light Plate Boots	0	0	2	1	16	20	0	0	80	0	18	0	32	0	1630	1291	tbt	tbt			mbt	mbt	tbt	xtb	utb	0	16	2	2	1	4	1	flptbt	invtbt									0	0	0	0	0	boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0	0	0	6	0	8	16	120		0	3					255					255					255		1		1	1					255					255					255					255					255					255	1	2	1	1	1	1	2	1	1	1			1	1	20	1	1		1	255			1	1	20					255	1	1			255			5	8	0	xxx	xxx	0	0	1
Plate Boots	0	0	3	1	21	26	0	0	112	0	24	0	43	0	2954	2247	hbt	hbt			hbt	hbt	hbt	xhb	uhb	0	16	2	2	1	4	1	flphbt	invhbt									0	0	0	0	0	boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0	0	0	6	0	10	20	120		0	3					255					255					255					255					255					255					255					255					255					255	1	1		1	1	1	1		1	1	1	1	1	1	20	1	1			255	1	1	1	1	20					255	1	1	1	1	20			5	8	0	xxx	xxx	0	0	1
Sash(L)	0	0	1	1	4	4	0	0	0	0	12	0	5	0	64	253	lbl	lbl			lbl	lbl	lbl	zlb	ulb	0	16	2	1	1	2	1	flplbl	invlbl									0	0	0	0	0	belt		item_lightarmor	12	item_lightarmor	0	0	5	0	0	1	0	0	4	0	0	0			0	1	1	1	1	1	1	1	1		1	1					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			5	8	0	vbl	tbl	0	0	1
Light Belt	0	0	1	1	5	5	0	0	0	0	14	0	11	0	192	396	vbl	vbl			vbl	vbl	vbl	zvb	uvb	0	16	2	1	1	2	1	flpvbl	invvbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	4	0	0	4	0	0	0			0	1		1		1	1		1		1	1					255		1		1	1					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255			5	8	0	mbl	hbl	0	0	1
Belt(M)	0	0	2	1	9	9	0	0	40	0	16	0	19	0	495	624	mbl	mbl			mbl	mbl	mbl	zmb	umc	0	16	2	1	1	2	1	flpmbl	invmbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	0	0	0	4	0	0	0			0	1		1			1					255					255	1	2	1	1	1					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					255					255					255					255			5	8	0	tbl	hbl	0	0	1
Heavy Belt	0	0	2	1	10	10	0	0	72	0	18	0	32	0	963	1083	tbl	tbl			mbl	mbl	tbl	ztb	utb	0	16	2	1	1	2	1	flptbl	invtbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	5	0	0	4	0	0	0			0	1					255					255					255		1		1	1					255					255					255					255					255					255	1	2	1	1	1	1	2	1	1	1			1	1	20	1	1		1	255					255					255	1	1			255			5	8	0	xxx	xxx	0	0	1
Girdle(H)	0	0	3	1	14	20	0	0	96	0	24	0	43	0	2068	1873	hbl	hbl			hbl	hbl	hbl	zhb	uhc	0	16	2	1	1	2	1	flphbl	invhbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	3	0	0	4	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255	1	1		1	1	1	1		1	1	1	1	1	1	20	1	1			255	1	1	1	2	20					255	1	1			255			5	8	0	xxx	xxx	0	0	1
Bone Helm	0	0	4	1	58	64	0	0	40	0	40	0	35	0	6323	3018	bhm	bhm			bhm	hlm	bhm	xh9	uh9	0	0	2	2	1	4	1	flpbhm	invbhm	invbhmu	invbhmu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	2	0	0	0	3	0	0	0			0	1					255					255					255					255					255	1	2	1	3	20					255					255				1	1					255					255					255					255					255					255					255		1		1	1			5	8	0	xxx	xxx	0	0	1
Bone Shield	0	0	4	1	18	52	0	0	40	20	40	0	30	0	3175	1693	bsh	bsh			bsh	buc	bsh	xsh	ush	0	7	2	3	1	6	2	flpbsh	invbsh	invbshu	invbshu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	3	6			0	1					255					255					255					255					255	1	2	1	3	20					255					255				1	1					255					255					255					255					255					255					255		1		1	1			5	8	0	xxx	xxx	0	0	1
Spiked Shield	0	0	4	1	26	44	0	0	48	10	40	0	18	0	1890	825	spk	spk			spk	buc	spk	xpk	upk	0	7	2	3	1	6	2	flpspk	invspk	invspku	invspku							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	5	9			0	1					255					255					255					255					255	1	2	1	3	20					255					255					1					255					255					255					255					255					255					255		1		1	1			5	8	0	xxx	xxx	0	0	1
War Hat	0	0	1	1	79	94	0	0	32	0	12	0	54	35	13560	5129	xap	xap			cap	cap	cap	xap	uap	0	0	2	2	1	4	1	flpcap	invcap									0	0	0	0	0	helm		item_cap	12	item_cap	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Sallet	0	0	1	1	91	109	0	0	69	0	18	0	59	40	17210	7103	xkp	xkp			skp	skp	skp	xkp	ukp	0	0	2	2	1	4	1	flpskp	invskp	invxkpu	invxkpu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Casque	0	0	1	1	110	126	0	0	94	0	24	0	67	40	23075	10738	xlm	xlm			hlm	hlm	hlm	xlm	ulm	0	0	2	2	1	4	1	flphlm	invhlm	invhlmu	invhlmu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Basinet	0	0	2	1	131	147	0	0	131	0	30	0	72	40	29083	14620	xhl	xhl			fhl	fhl	fhl	xhl	uhl	0	0	2	2	1	4	1	flpfhl	invfhl	invfhlu	invfhlu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Winged Helm	0	0	2	1	150	172	0	0	184	0	40	0	82	40	37846	22244	xhm	xhm			ghm	ghm	ghm	xhm	uhm	0	0	2	2	1	4	1	flpghm	invghm									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Grand Crown	0	0	2	1	136	199	0	0	165	0	50	0	88	40	42458	28051	xrn	xrn			crn	crn	crn	xrn	urn	0	0	2	2	1	4	1	flpcrn	invcrn	invxrnu	invxrnu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
