Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
62	87	205	309	87	241	363	206	462	963	206	462	963	76	233	1272	76	233	1697	14	18	25	14	18	25	320	831	1247	320	831	1247
63	88	207	312	88	244	368	210	468	976	210	468	976	78	236	1280	78	236	1707	14	19	26	14	19	26	330	857	1286	330	857	1286
64	90	209	316	90	246	372	214	474	989	214	474	989	80	238	1287	80	238	1717	14	19	26	14	19	26	341	885	1328	341	885	1328
65	91	212	319	91	249	375	217	480	1001	217	480	1001	82	241	1295	82	241	1726	14	19	26	14	19	26	352	914	1371	352	914	1371
66	92	214	323	92	252	379	221	486	1014	221	486	1014	84	243	1302	84	243	1736	14	19	26	14	19	26	363	942	1413	363	942	1413
67	94	216	326	94	255	384	225	492	1027	225	492	1027	86	245	1310	86	245	1746	14	19	27	14	19	27	375	973	1460	375	973	1460
68	95	219	330	95	258	388	228	498	1039	228	498	1039	87	246	1317	87	246	1757	15	20	27	15	20	27	387	1004	1506	387	1004	1506
69	97	221	333	97	260	392	232	504	1052	232	504	1052	89	248	1325	89	248	1767	15	20	28	15	20	28	399	1035	1553	399	1035	1553
70	98	223	337	98	263	396	236	510	1065	236	510	1065	91	250	1332	91	250	1777	15	20	29	15	20	29	412	1070	1605	412	1070	1605
71	99	226	340	99	266	400	239	516	1077	239	516	1077	92	253	1340	92	253	1786	16	21	29	16	21	29	426	1104	1657	426	1104	1657
72	101	228	344	101	269	405	243	522	1090	243	522	1090	94	255	1347	94	255	1796	16	21	30	16	21	30	439	1139	1709	439	1139	1709
73	102	231	347	102	272	409	247	528	1103	247	528	1103	96	257	1355	96	257	1806	16	21	30	16	21	30	449	1166	1749	449	1166	1749
74	104	233	351	104	274	412	250	534	1115	250	534	1115	98	259	1362	98	259	1817	16	21	30	16	21	30	460	1193	1790	460	1193	1790
75	105	236	354	105	277	417	254	540	1128	254	540	1128	100	261	1370	100	261	1827	16	21	30	16	21	30	470	1220	1830	470	1220	1830
76	106	238	358	106	280	421	258	546	1141	258	546	1141	102	263	1377	102	263	1837	16	22	30	16	22	30	481	1248	1873	481	1248	1873
77	108	241	361	108	283	425	261	552	1153	261	552	1153	104	266	1385	104	266	1846	17	22	31	17	22	31	492	1277	1915	492	1277	1915
78	109	243	365	109	286	429	265	558	1166	265	558	1166	106	268	1392	106	268	1856	17	23	31	17	23	31	503	1305	1958	503	1305	1958
79	111	245	368	111	288	433	269	564	1179	269	564	1179	108	270	1400	108	270	1866	17	23	31	17	23	31	515	1336	2004	515	1336	2004
80	112	248	372	112	291	437	272	570	1191	272	570	1191	111	273	1407	111	273	1877	17	23	31	17	23	31	526	1366	2050	526	1366	2050
81	113	250	375	113	294	441	276	576	1204	276	576	1204	113	275	1415	113	275	1887	17	23	31	17	23	31	538	1397	2096	538	1397	2096
82	115	252	379	115	297	445	280	582	1217	280	582	1217	115	277	1422	115	277	1897	17	23	32	17	23	32	551	1429	2144	551	1429	2144
83	116	255	382	116	300	449	283	588	1229	283	588	1229	118	278	1430	118	278	1906	18	24	32	18	24	32	563	1462	2193	563	1462	2193
84	118	257	386	118	302	454	287	594	1242	287	594	1242	120	280	1437	120	280	1916	18	24	33	18	24	33	576	1494	2241	576	1494	2241
85	119	259	389	119	305	458	291	600	1255	291	600	1255	122	282	1445	122	282	1926	18	24	34	18	24	34	589	1529	2293	589	1529	2293
86	120	262	393	120	308	462	294	606	1267	294	606	1267	124	285	1452	124	285	1937	19	25	34	19	25	34	603	1563	2345	603	1563	2345
87	122	264	396	122	311	466	298	612	1280	298	612	1280	126	287	1460	126	287	1947	19	25	35	19	25	35	616	1598	2397	616	1598	2397
88	123	267	400	123	314	470	302	618	1293	302	618	1293	129	298	1467	129	298	1957	19	25	35	19	25	35	630	1635	2453	630	1635	2453
89	125	269	403	125	316	474	305	624	1305	305	624	1305	131	309	1475	131	309	1966	19	25	35	19	25	35	645	1672	2508	645	1672	2508
90	126	272	407	126	319	478	309	630	1318	309	630	1318	134	320	1482	134	320	1976	19	25	35	19	25	35	659	1709	2564	659	1709	2564
91	127	274	410	127	322	482	313	636	1331	313	636	1331	137	332	1490	137	332	1986	19	26	36	19	26	36	675	1750	2625	675	1750	2625
92	129	277	414	129	325	487	316	642	1343	316	642	1343	139	343	1497	139	343	1997	20	26	36	20	26	36	690	1791	2687	690	1791	2687
93	130	279	417	130	328	491	320	648	1356	320	648	1356	142	355	1505	142	355	2007	20	27	37	20	27	37	706	1832	2748	706	1832	2748
94	132	281	421	132	330	495	324	654	1369	324	654	1369	145	366	1512	145	366	2017	20	27	37	20	27	37	722	1874	2811	722	1874	2811
95	133	284	424	133	333	498	327	660	1381	327	660	1381	147	377	1520	147	377	2026	20	27	37	20	27	37	739	1916	2874	739	1916	2874
96	134	286	427	134	336	503	331	666	1394	331	666	1394	150	388	1527	150	388	2036	20	27	37	20	27	37	755	1958	2937	755	1958	2937
97	136	288	431	136	339	507	335	672	1407	335	672	1407	153	400	1535	153	400	2046	20	27	38	20	27	38	773	2004	3007	773	2004	3007
98	137	291	435	137	342	511	338	678	1419	338	678	1419	155	411	1542	155	411	2057	21	28	38	21	28	38	790	2051	3076	790	2051	3076
99	139	293	438	139	344	515	342	684	1432	342	684	1432	158	423	1550	158	423	2067	21	28	39	21	28	39	808	2097	3146	808	2097	3146
100	140	295	442	140	347	519	346	690	1445	346	690	1445	161	434	1557	161	434	2077	21	28	40	21	28	40	827	2145	3218	827	2145	3218
101	141	298	445	141	350	524	349	696	1457	349	696	1457	163	445	1565	163	445	2086	22	29	40	22	29	40	845	2193	3290	845	2193	3290
102	143	300	449	143	353	528	353	702	1470	353	702	1470	166	456	1572	166	456	2096	22	29	41	22	29	41	864	2241	3362	864	2241	3362
103	144	302	452	144	356	532	357	708	1483	357	708	1483	169	468	1580	169	468	2106	22	29	41	22	29	41	884	2294	3441	884	2294	3441
104	146	305	455	146	358	536	360	714	1495	360	714	1495	171	479	1587	171	479	2117	22	29	41	22	29	41	905	2346	3520	905	2346	3520
105	147	307	459	147	361	540	364	720	1508	364	720	1508	174	491	1595	174	491	2127	22	29	41	22	29	41	925	2399	3599	925	2399	3599
106	148	309	462	148	364	544	368	726	1521	368	726	1521	177	502	1602	177	502	2137	22	30	42	22	30	42	947	2455	3683	947	2455	3683
107	150	312	466	150	367	548	371	732	1533	371	732	1533	179	514	1610	179	514	2146	23	30	42	23	30	42	968	2512	3768	968	2512	3768
108	151	314	470	151	370	552	375	738	1546	375	738	1546	182	525	1617	182	525	2156	23	31	43	23	31	43	990	2568	3852	990	2568	3852
109	153	316	473	153	372	557	379	744	1559	379	744	1559	185	536	1625	185	536	2166	23	31	43	23	31	43	1013	2627	3941	1013	2627	3941
110	154	319	476	154	375	560	382	750	1571	382	750	1571	187	548	1632	187	548	2177	23	31	43	23	31	43	1036	2686	4029	1036	2686	4029
111	155	321	480	155	378	564	386	756	1584	386	756	1584	190	559	1640	190	559	2187	23	31	43	23	31	43	1059	2745	4118	1059	2745	4118
112	157	323	483	157	381	568	390	762	1597	390	762	1597	193	570	1647	193	570	2197	23	31	43	23	31	43	1084	2810	4215	1084	2810	4215
113	158	326	487	158	384	573	393	768	1609	393	768	1609	195	582	1655	195	582	2206	24	32	44	24	32	44	1108	2874	4312	1108	2874	4312
114	160	328	490	160	386	577	397	774	1622	397	774	1622	198	593	1662	198	593	2216	24	32	44	24	32	44	1133	2939	4409	1133	2939	4409
115	161	330	494	161	389	581	401	780	1635	401	780	1635	201	604	1670	201	604	2226	24	32	45	24	32	45	1159	3007	4511	1159	3007	4511
116	162	333	498	162	392	585	404	786	1647	404	786	1647	203	616	1677	203	616	2237	25	33	45	25	33	45	1186	3076	4614	1186	3076	4614
117	164	335	501	164	395	589	408	792	1660	408	792	1660	206	627	1685	206	627	2247	25	33	46	25	33	46	1212	3144	4716	1212	3144	4716
118	165	338	505	165	398	594	412	798	1673	412	798	1673	209	638	1692	209	638	2257	25	33	46	25	33	46	1240	3218	4827	1240	3218	4827
119	167	340	508	167	400	597	415	804	1685	415	804	1685	212	650	1700	212	650	2266	25	33	46	25	33	46	1269	3291	4937	1269	3291	4937
120	168	343	511	168	403	601	419	810	1698	419	810	1698	215	661	1707	215	661	2276	25	33	46	25	33	46	1297	3365	5048	1297	3365	5048
121	169	345	515	169	406	606	423	816	1711	423	816	1711	218	673	1715	218	673	2286	25	34	47	25	34	47	1327	3443	5165	1327	3443	5165
122	171	348	518	171	409	610	426	822	1723	426	822	1723	222	684	1722	222	684	2297	26	34	47	26	34	47	1358	3522	5283	1358	3522	5283
123	172	350	522	172	412	614	430	828	1736	430	828	1736	225	696	1730	225	696	2307	26	35	48	26	35	48	1388	3600	5400	1388	3600	5400
124	174	352	525	174	414	618	434	834	1749	434	834	1749	228	707	1737	228	707	2317	26	35	48	26	35	48	1420	3684	5526	1420	3684	5526
125	175	355	529	175	417	622	437	840	1761	437	840	1761	231	718	1745	231	718	2326	26	35	48	26	35	48	1453	3768	5652	1453	3768	5652
126	176	357	532	176	420	626	441	846	1774	441	846	1774	234	729	1752	234	729	2336	26	35	48	26	35	48	1485	3852	5778	1485	3852	5778
127	178	359	536	178	423	630	445	852	1787	445	852	1787	237	741	1760	237	741	2346	26	35	49	26	35	49	1520	3942	5913	1520	3942	5913
128	179	362	539	179	426	634	448	858	1799	448	858	1799	240	752	1767	240	752	2357	27	36	49	27	36	49	1554	4031	6047	1554	4031	6047
129	181	364	543	181	428	638	452	864	1812	452	864	1812	243	764	1775	243	764	2367	27	36	50	27	36	50	1589	4121	6182	1589	4121	6182
130	182	366	546	182	431	643	456	870	1825	456	870	1825	246	775	1782	246	775	2377	27	36	51	27	36	51	1624	4217	6326	1624	4217	6326
131	183	369	550	183	434	647	459	876	1837	459	876	1837	250	786	1790	250	786	2386	28	37	51	28	37	51	1658	4313	6470	1658	4313	6470
132	185	371	554	185	437	651	463	882	1850	463	882	1850	253	797	1797	253	797	2396	28	37	52	28	37	52	1693	4409	6614	1693	4409	6614
133	186	374	557	186	440	655	467	888	1863	467	888	1863	256	809	1805	256	809	2406	28	37	52	28	37	52	1728	4512	6768	1728	4512	6768
134	188	376	560	188	442	659	470	894	1875	470	894	1875	259	820	1812	259	820	2417	28	37	52	28	37	52	1762	4615	6923	1762	4615	6923
135	189	379	564	189	445	663	474	900	1888	474	900	1888	262	832	1820	262	832	2427	28	37	52	28	37	52	1797	4718	7077	1797	4718	7077
136	190	381	567	190	448	667	478	906	1901	478	906	1901	265	844	1827	265	844	2437	28	38	53	28	38	53	1832	4829	7244	1832	4829	7244
137	192	384	571	192	451	671	481	912	1913	481	912	1913	268	855	1835	268	855	2446	29	38	53	29	38	53	1866	4940	7410	1866	4940	7410
138	193	386	574	193	454	676	485	918	1926	485	918	1926	271	867	1842	271	867	2456	29	39	54	29	39	54	1901	5051	7577	1901	5051	7577
139	195	388	578	195	456	680	489	924	1939	489	924	1939	274	878	1850	274	878	2466	29	39	54	29	39	54	1936	5168	7752	1936	5168	7752
140	196	391	581	196	459	683	492	930	1951	492	930	1951	278	889	1857	278	889	2477	29	39	54	29	39	54	1970	5285	7928	1970	5285	7928
141	197	393	585	197	462	687	496	936	1964	496	936	1964	281	900	1865	281	900	2487	29	39	54	29	39	54	2005	5402	8103	2005	5402	8103
142	199	395	588	199	465	692	500	942	1977	500	942	1977	284	912	1872	284	912	2497	29	39	55	29	39	55	2040	5529	8294	2040	5529	8294
143	200	398	592	200	468	696	503	948	1989	503	948	1989	287	923	1880	287	923	2506	30	40	55	30	40	55	2074	5656	8484	2074	5656	8484
144	202	400	595	202	470	700	507	954	2002	507	954	2002	290	935	1887	290	935	2516	30	40	56	30	40	56	2109	5783	8675	2109	5783	8675
145	203	402	599	203	473	704	511	960	2015	511	960	2015	293	946	1895	293	946	2526	30	40	56	30	40	56	2144	5917	8876	2144	5917	8876
146	204	405	602	204	476	708	514	966	2027	514	966	2027	296	957	1902	296	957	2537	31	41	57	31	41	57	2178	6052	9078	2178	6052	9078
147	206	407	606	206	479	713	518	972	2040	518	972	2040	299	968	1910	299	968	2547	31	41	57	31	41	57	2213	6186	9279	2213	6186	9279
148	207	410	609	207	482	717	522	978	2053	522	978	2053	303	980	1917	303	980	2557	31	41	57	31	41	57	2248	6330	9495	2248	6330	9495
149	209	412	613	209	484	720	525	984	2065	525	984	2065	306	991	1925	306	991	2566	31	41	57	31	41	57	2282	6474	9711	2282	6474	9711
150	210	414	616	210	487	725	529	990	2078	529	990	2078	310	1003	1932	310	1003	2576	31	41	57	31	41	57	2317	6618	9927	2317	6618	9927
151	211	417	620	211	490	729	533	996	2091	533	996	2091	314	1014	1940	314	1014	2586	31	42	58	31	42	58	2352	6772	10158	2352	6772	10158
152	213	419	623	213	493	733	536	1002	2103	536	1002	2103	317	1026	1947	317	1026	2597	32	42	58	32	42	58	2386	6926	10389	2386	6926	10389
153	214	421	627	214	496	737	540	1008	2116	540	1008	2116	321	1037	1955	321	1037	2607	32	43	59	32	43	59	2421	7080	10620	2421	7080	10620
154	216	424	630	216	498	741	544	1014	2129	544	1014	2129	324	1048	1962	324	1048	2617	32	43	59	32	43	59	2456	7222	10833	2456	7222	10833
155	217	426	634	217	501	745	547	1020	2141	547	1020	2141	328	1060	1970	328	1060	2626	32	43	59	32	43	59	2490	7364	11046	2490	7364	11046
156	218	428	637	218	504	749	551	1026	2154	551	1026	2154	331	1071	1977	331	1071	2636	32	43	59	32	43	59	2525	7506	11259	2525	7506	11259
157	220	431	641	220	507	753	555	1032	2167	555	1032	2167	335	1082	1985	335	1082	2646	32	43	60	32	43	60	2560	7656	11484	2560	7656	11484
158	221	433	644	221	510	757	558	1038	2179	558	1038	2179	338	1094	1992	338	1094	2657	33	44	60	33	44	60	2594	7806	11709	2594	7806	11709
159	223	435	648	223	512	762	562	1044	2192	562	1044	2192	342	1105	2000	342	1105	2667	33	44	61	33	44	61	2629	7956	11934	2629	7956	11934
160	224	438	651	224	515	766	566	1050	2205	566	1050	2205	345	1116	2010	345	1116	2680	33	44	62	33	44	62	2664	8116	12174	2664	8116	12174
161	225	440	655	225	518	770	569	1056	2217	569	1056	2217	349	1128	2020	349	1128	2694	34	45	62	34	45	62	2698	8275	12413	2698	8275	12413
162	227	442	658	227	521	774	573	1062	2230	573	1062	2230	352	1139	2030	352	1139	2707	34	45	63	34	45	63	2733	8435	12653	2733	8435	12653
163	228	445	662	228	524	778	577	1068	2243	577	1068	2243	356	1150	2045	356	1150	2727	34	45	63	34	45	63	2768	8604	12906	2768	8604	12906
164	230	447	665	230	526	782	580	1074	2255	580	1074	2255	359	1162	2060	359	1162	2747	34	45	63	34	45	63	2802	8773	13160	2802	8773	13160
165	231	450	669	231	529	786	584	1080	2268	584	1080	2268	363	1173	2075	363	1173	2767	34	45	63	34	45	63	2837	8942	13413	2837	8942	13413
166	232	452	672	232	532	790	588	1086	2281	588	1086	2281	367	1185	2095	367	1185	2794	34	46	64	34	46	64	2872	9120	13681	2872	9120	13681
167	234	455	676	234	535	795	591	1092	2293	591	1092	2293	370	1196	2115	370	1196	2820	35	46	64	35	46	64	2906	9299	13948	2906	9299	13948
168	235	457	679	235	538	799	595	1098	2306	595	1098	2306	374	1208	2135	374	1208	2847	35	47	65	35	47	65	2941	9477	14216	2941	9477	14216
169	237	459	683	237	540	803	599	1104	2319	599	1104	2319	377	1219	2164	377	1219	2885	35	47	65	35	47	65	2976	9666	14499	2976	9666	14499
170	238	462	685	238	543	806	602	1110	2331	602	1110	2331	381	1230	2193	381	1230	2924	35	47	65	35	47	65	3010	9855	14783	3010	9855	14783
171	239	464	689	239	546	811	606	1116	2344	606	1116	2344	384	1241	2222	384	1241	2962	35	47	65	35	47	65	3045	10044	15066	3045	10044	15066
172	241	466	692	241	549	815	610	1122	2357	610	1122	2357	388	1253	2251	388	1253	3000	35	47	66	35	47	66	3080	10245	15368	3080	10245	15368
173	242	469	697	242	552	819	613	1128	2369	613	1128	2369	391	1264	2279	391	1264	3039	36	48	66	36	48	66	3114	10446	15669	3114	10446	15669
174	244	471	700	244	554	823	617	1134	2382	617	1134	2382	395	1276	2308	395	1276	3077	36	48	67	36	48	67	3149	10647	15971	3149	10647	15971
175	245	473	704	245	557	827	621	1140	2395	621	1140	2395	399	1287	2337	399	1287	3115	36	48	67	36	48	67	3184	10860	16290	3184	10860	16290
176	246	476	707	246	560	832	624	1146	2407	624	1146	2407	402	1298	2365	402	1298	3154	37	49	68	37	49	68	3218	11073	16610	3218	11073	16610
177	248	478	711	248	563	836	628	1152	2420	628	1152	2420	406	1309	2394	406	1309	3192	37	49	68	37	49	68	3253	11286	16929	3253	11286	16929
178	249	481	714	249	566	840	632	1158	2433	632	1158	2433	410	1321	2423	410	1321	3230	37	49	68	37	49	68	3288	11512	17268	3288	11512	17268
179	251	483	717	251	568	844	635	1164	2445	635	1164	2445	414	1332	2451	414	1332	3269	37	49	68	37	49	68	3322	11738	17607	3322	11738	17607
180	252	486	720	252	571	848	639	1170	2458	639	1170	2458	418	1344	2480	418	1344	3307	37	49	68	37	49	68	3357	11964	17946	3357	11964	17946
181	253	488	724	253	574	852	643	1176	2471	643	1176	2471	422	1356	2509	422	1356	3345	37	50	69	37	50	69	3392	12203	18304	3392	12203	18304
182	255	491	728	255	577	856	646	1182	2483	646	1182	2483	426	1367	2538	426	1367	3384	38	50	69	38	50	69	3426	12441	18662	3426	12441	18662
183	256	493	732	256	580	860	650	1188	2496	650	1188	2496	430	1379	2567	430	1379	3422	38	51	70	38	51	70	3461	12680	19020	3461	12680	19020
184	258	495	735	258	582	865	654	1194	2509	654	1194	2509	434	1390	2596	434	1390	3460	38	51	70	38	51	70	3496	12934	19401	3496	12934	19401
185	259	498	738	259	585	868	657	1200	2521	657	1200	2521	438	1401	2624	438	1401	3499	38	51	70	38	51	70	3530	13188	19782	3530	13188	19782
186	260	500	741	260	588	872	661	1206	2534	661	1206	2534	442	1412	2653	442	1412	3537	38	51	70	38	51	70	3565	13442	20163	3565	13442	20163
187	262	502	745	262	591	876	665	1212	2547	665	1212	2547	446	1424	2682	446	1424	3575	38	51	71	38	51	71	3600	13711	20567	3600	13711	20567
188	263	505	748	263	594	881	668	1218	2559	668	1218	2559	450	1435	2710	450	1435	3614	39	52	71	39	52	71	3634	13980	20970	3634	13980	20970
189	265	507	752	265	596	885	672	1224	2572	672	1224	2572	454	1447	2739	454	1447	3652	39	52	72	39	52	72	3669	14249	21374	3669	14249	21374
190	266	509	755	266	599	889	676	1230	2585	676	1230	2585	458	1458	2768	458	1458	3690	39	52	72	39	52	72	3704	14534	21801	3704	14534	21801
191	267	512	760	267	602	893	679	1236	2597	679	1236	2597	462	1469	2796	462	1469	3729	39	52	72	39	52	72	3738	14819	22229	3738	14819	22229
192	269	514	763	269	605	897	683	1242	2610	683	1242	2610	466	1480	2825	466	1480	3767	39	52	72	39	52	72	3773	15104	22656	3773	15104	22656
193	270	517	767	270	608	902	687	1248	2623	687	1248	2623	470	1492	2854	470	1492	3805	39	52	73	39	52	73	3808	15406	23109	3808	15406	23109
194	272	519	769	272	610	905	690	1254	2635	690	1254	2635	473	1503	2883	473	1503	3844	40	53	73	40	53	73	3842	15708	23562	3842	15708	23562
