Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
of Regrowth	0	1	1	55		41					19	regen		10	10									1	cred	belt	ring									0	0	0
of Vileness	0	1	1	9		6					20	noheal		2	2									1	cred	mele							scep			0	0	0
																																				0	0	0
of Greed	0	1	1	2		1					22	gold%		80	120									1	lgld	ring	amul									0	0	0
of Wealth	0	1	1	17		12					22	gold%		160	240									1	lgld	boot	glov	belt	amul							0	0	0
of Chance	0	1	1	12		9					23	mag%		20	38									1	lgld	ring	amul									0	0	0
of Fortune	0	1	1	16		12					23	mag%		40	70									1	lgld	boot	glov	amul								0	0	0
of Energy	0	1	1	4		3					24	mana		2	2									1	dblu	ring	amul									0	0	0
of Energy	0	1	1	5		3					24	mana		2	10									1	dblu	rod	ring	amul								0	0	0
of the Mind	0	1	1	10		7					24	mana		12	20									1	dblu	rod	ring	amul								0	0	0
of Brilliance	0	1	1	18		13					24	mana		22	30									1	dblu	rod	ring	amul								0	0	0
of Sorcery	0	1	1	22		16					24	mana		32	40									1	dgld	rod	amul									0	0	0
of Wizardry	0	1	1	30		22					24	mana		42	60									1	dgld	rod	ring	amul								0	0	0
of the Bear	0	1	1	8		6					25	knock		2	2											mele										0	0	0
of Light	0	1	1	6		4					26	light		2	2									1	dyel	armo	rod	miss	ring	amul						0	0	0
of Radiance	0	1	1	15		11					26	light		6	6									1	dyel	rod	miss	ring	amul							0	0	0
of the Sun	0	1	1	17		12					26	light		10	10									1	dyel	rod	miss	glov	ring	amul						0	0	0
of Life	0	1	1	23		17					27	hp		10	10									1	cred	tors	helm	shld	belt	amul						0	0	0
of the Jackal	0	1	1	3		2					27	hp		2	10									1	cred	armo	rod	ring	amul							0	0	0
of the Fox	0	1	1	6		4					27	hp		10	20									1	cred	armo	rod	ring	amul							0	0	0
of the Wolf	0	1	1	14		10					27	hp		22	40									1	cred	armo	rod	ring	amul							0	0	0
of the Wolf	0	1	1	45		33					27	hp		22	40									1	cred	weap	bowq	xboq					rod			0	0	0
of the Tiger	0	1	1	20		15					27	hp		42	60									1	cred	armo	ring	amul								0	0	0
of the Mammoth	0	1	1	24		18					27	hp		62	80									1	cred	tors	helm	shld	ring	amul						0	0	0
of the Mammoth	0	1	1	60		45					27	hp		62	80									1	cred	mele	glov	belt					rod			0	0	0
of the Colosuss	0	1	1	30		22					27	hp		82	120									1	cred	tors	helm	shld	belt	amul						0	0	0
of the Leech	0	1	1	6		4					28	lifesteal		8	14											weap	ring	amul	bowq	xboq						0	0	0
of the Locust	0	1	1	20		15					28	lifesteal		16	20									1	cred	mele										0	0	0
of the Bat	0	1	1	6		4					29	manasteal		8	16											weap	ring	amul	bowq	xboq						0	0	0
of the Vampire	0	1	1	20		15					29	manasteal		18	24									1	cblu	mele										0	0	0
of Defiance	0	1	1	25		18					30	res-pois-len		150	150									1	dred	tors	helm	shld	amul							0	0	0
of Amelioration	0	1	1	18		13					30	res-pois-len		100	100											tors	helm	shld	amul							0	0	0
of Remedy	0	1	1	7		5					30	res-pois-len		50	50											armo	ring	amul								0	0	0
																																				0	0	0
of Simplicity	0	1	1	25		18					32	ease		-80	-80											tors	helm	weap	shld				rod			0	0	0
of Ease	0	1	1	15		11					32	ease		-40	-40											tors	helm	weap	shld				rod			0	0	0
																																				0	0	0
of Strength	0	1	1	5		3					34	str		2	6									1	dgld	belt	ring	amul								0	0	0
of Might	0	1	1	10		7					34	str		8	12									1	dgld	mele	shld	ring	amul				wand	staf		0	0	0
of the Ox	0	1	1	18		13					34	str		14	20									1	dgld	mele	belt	ring	amul				wand	staf		0	0	0
of the Ox	0	1	1	47		35					34	str		14	20									1	dgld	shld	boot	glov								0	0	0
of the Giant	0	1	1	22		16					34	str		22	30									1	dgld	mele	belt	amul					wand	staf		0	0	0
of the Giant	0	1	1	62		46					34	str		22	30									1	dgld	boot	glov	ring	shld							0	0	0
of the Titan	0	1	1	30		22					34	str		32	40									1	dgld	boot	belt	amul								0	0	0
of Pacing	0	1	1	2		1					35	move1		20	20											boot										0	0	0
of Haste	0	1	1	12		9					35	move2		40	40											boot										0	0	0
of Speed	0	1	1	22		16					35	move3		60	60											boot										0	0	0
Expansion																																						
of Health	1	1	1	7		5				4	1	red-dmg		2	2									1	dblu	tors	shld	ring	amul	circ						0	0	0
of Protection	1	1	1	18		13				4	1	red-dmg		4	4									1	dblu	ring	amul	circ								0	0	0
of Absorption	1	1	1	26		19				4	1	red-dmg		6	6									1	dblu	amul	circ									0	0	0
of Life	1	1	1	35		26				4	1	red-dmg		8	8									1	dblu	amul	circ									0	0	0
of Life Everlasting	100	1		45		37				4	1	red-dmg		20	50									1	dblu	amul	circ									0	0	0
of Protection	1	1	1	24		18				4	1	red-dmg		4	4									1	dblu	tors	shld	circ								0	0	0
of Absorption	1	1	1	32		24				4	1	red-dmg		6	6									1	dblu	tors	shld	circ								0	0	0
of Life	1	1	1	41		33				4	1	red-dmg		8	14									1	dblu	tors	shld	circ								0	0	0
of Anima	100	1		51		43				4	1	red-dmg		16	30									1	dblu	tors	shld	circ								0	0	0
of Warding	1	1	1	7		5				4	2	red-mag		2	2									1	dblu	tors	shld	ring	amul	orb	circ					0	0	0
of the Sentinel	1	1	1	18		12				4	2	red-mag		4	4									1	dblu	ring	amul	orb	circ							0	0	0
of Guarding	1	1	1	26		19				4	2	red-mag		6	6									1	dblu	amul	orb	circ								0	0	0
of Negation	100	1		42		35				4	2	red-mag		8	12									1	dblu	amul	orb	circ								0	0	0
of the Sentinel	1	1	1	24		18				4	2	red-mag		4	4									1	dblu	tors	shld	circ								0	0	0
of Guarding	1	1	1	32		24				4	2	red-mag		6	6									1	dblu	tors	shld	circ								0	0	0
of Negation	100	1		41		33				4	2	red-mag		8	12									1	dblu	tors	shld	circ								0	0	0
of Coolness	100		1	11		8				1	3	abs-fire		4	4									1	cred	tors	shld	boot	circ							0	0	0
of Incombustibility	100		1	19		14				1	3	abs-fire		6	6									1	cred	tors	shld	boot	circ							0	0	0
of Amianthus	100		1	28		21				1	3	abs-fire		8	10									1	cred	tors	shld	boot	circ							0	0	0
of Fire Quenching	100			38		30				1	3	abs-fire		12	16									1	cred	tors	shld	boot	circ							0	0	0
of Coolness	100		1	13		9				1	3	abs-fire		4	4									1	cred	ring	amul	orb	circ							0	0	0
of Incombustibility	100		1	22		16				1	3	abs-fire		6	6									1	cred	amul	orb	circ								0	0	0
of Amianthus	100		1	33		25				1	3	abs-fire		8	10									1	cred	amul	orb	circ								0	0	0
of Fire Quenching	100			46		38				1	3	abs-fire		12	16									1	cred	amul	orb	circ								0	0	0
of Faith	100		1	23		17				1	3	abs-fire		2	4									1	cred	jewl										0	0	0
of Resistance	100		1	11		8				1	3	abs-ltng		4	4									1	dyel	tors	shld	boot	circ							0	0	0
of Insulation	100		1	19		14				1	3	abs-ltng		6	6									1	dyel	tors	shld	boot	circ							0	0	0
of Grounding	100		1	28		21				1	3	abs-ltng		8	10									1	dyel	tors	shld	boot	circ							0	0	0
of the Dynamo	100			38		30				1	3	abs-ltng		12	16									1	dyel	tors	shld	boot	circ							0	0	0
of Resistance	100		1	13		9				1	3	abs-ltng		4	4									1	dyel	ring	amul	orb	circ							0	0	0
of Insulation	100		1	22		16				1	3	abs-ltng		6	6									1	dyel	amul	orb	circ								0	0	0
of Grounding	100		1	33		25				1	3	abs-ltng		8	10									1	dyel	amul	orb	circ								0	0	0
of the Dynamo	100			46		38				1	3	abs-ltng		12	16									1	dyel	amul	orb	circ								0	0	0
of Stoicism	100		1	22		16				1	3	abs-ltng		2	4									1	dyel	jewl										0	0	0
of Warming	100		1	11		8				1	3	abs-cold		4	4									1	dblu	tors	shld	boot	circ							0	0	0
of Thawing	100		1	19		14				1	3	abs-cold		6	6									1	dblu	tors	shld	boot	circ							0	0	0
of the Dunes	100		1	28		21				1	3	abs-cold		8	10									1	dblu	tors	shld	boot	circ							0	0	0
of the Sirocco	100			38		30				1	3	abs-cold		12	16									1	dblu	tors	shld	boot	circ							0	0	0
of Warming	100		1	13		9				1	3	abs-cold		4	4									1	dblu	ring	amul	orb	circ							0	0	0
of Thawing	100		1	22		16				1	3	abs-cold		6	6									1	dblu	amul	orb	circ								0	0	0
of the Dunes	100		1	33		25				1	3	abs-cold		8	10									1	dblu	amul	orb	circ								0	0	0
of the Sirocco	100			46		38				1	3	abs-cold		12	16									1	dblu	amul	orb	circ								0	0	0
of Desire	100		1	23		17				1	3	abs-cold		2	4									1	dblu	jewl										0	0	0
of Piercing	1	1	1	25		18				2	4	ignore-ac		2	2											rod	knif	h2h								0	0	0
of Bashing	100		1	16		12				4	5	dmg-ac		-50	-80											blun							wand	staf	orb	0	0	0
of Puncturing	100		1	6		4				4	5	dmg-ac		-20	-40											spea	knif	h2h								0	0	0
of Thorns	1	1	1	14		10				4	6	thorns		2	6											tors	shld	belt	circ							0	0	0
of Spikes	1	1	1	21		15				4	6	thorns		8	12									1	oran	tors	shld	belt	circ							0	0	0
of Razors	100	1	1	34		26				4	6	thorns		14	18									1	oran	tors	shld	circ								0	0	0
of Swords	100	1		47		39				4	6	thorns		20	40									1	oran	tors	shld	circ								0	0	0
of Malice	100	1	1	37		29				4	6	thorns		2	10									1	oran	jewl										0	0	0
of Readiness	1	1	1	5		3				6	7	swing1		20	20									1	dyel	weap	bowq	xboq					wand	orb		0	0	0
of Alacrity	1	1	1	25		17				6	7	swing2		40	40									1	dyel	weap	bowq	xboq					wand	orb		0	0	0
of Swiftness	1	1	1	34		26				6	7	swing2		60	60									1	dyel	mele							wand	staf	orb	0	0	0
of Quickness	1	1	1	46		38				5	7	swing3		80	80									1	dyel	mele							wand	staf	orb	0	0	0
of Alacrity	100	1	1	43		35				4	7	swing2		40	40									1	dyel	glov										0	0	0
of Fervor	100	1		39		31				4	7	swing1		30	30									1	dyel	jewl										0	0	0
of Blocking	1	1	1	1		1				7	8	block		20	20	block2		30	30							shld										0	0	0
of Deflecting	1	1	1	11		8				6	8	block		40	40	block2		60	60							shld										0	0	0
of the Apprentice	1	1	1	5		3				6	9	cast1		20	20											rod	ring	amul	orb	circ						0	0	0
of the Magus	1	1	1	29		21				5	9	cast3		40	40											rod	orb	circ					scep			0	0	0
of Frost	1	1	1	4		3				5	10	cold-min		2	2	cold-max		2	4	cold-len		50	50	1	dblu	weap	bowq	xboq					wand	orb		0	0	0
of the Icicle	100	1	1	13		9				4	10	cold-min		2	2	cold-max		6	8	cold-len		75	75	1	dblu	weap	bowq	xboq					wand	orb		0	0	0
of the Glacier	1	1	1	27		20				3	10	cold-min		4	8	cold-max		8	30	cold-len		100	100	1	dblu	weap	bowq	xboq					wand	orb		0	0	0
of Winter	100	1	1	45		37				2	10	cold-min		10	18	cold-max		32	100	cold-len		150	150	1	dblu	mele							wand	orb		0	0	0
of Frost	1	1	1	55		41				2	10	cold-min		2	2	cold-max		6	12	cold-len		50	50	1	dblu	belt	amul									0	0	0
of Frigidity	100	1	1	16		12				2	10	cold-min		2	2	cold-max		6	10	cold-len		50	50	1	dblu	jewl										0	0	0
of Warmth	1	1	1	10		7				4	11	half-freeze		2	2											shld	boot	glov	ring	amul	circ	orb				0	0	0
of Flame	1	1	1	4		3				5	12	fire-min		2	2	fire-max		4	10					1	dred	weap	bowq	xboq					wand	orb		0	0	0
of Fire	1	1	1	15		11				4	12	fire-min		2	8	fire-max		12	22					1	dred	weap	bowq	xboq					wand	orb		0	0	0
of Burning	1	1	1	25		18				3	12	fire-min		10	18	fire-max		20	40					1	dred	weap	bowq	xboq					wand	orb		0	0	0
of Incineration	100	1	1	43		35				2	12	fire-min		20	40	fire-max		42	150					1	dred	mele							wand	orb		0	0	0
of Flame	100	1	1	40		30				2	12	fire-min		2	2	fire-max		4	12					1	dred	glov	ring	amul								0	0	0
of Passion	100	1	1	15		11				2	12	fire-min		2	6	fire-max		12	20					1	dred	jewl										0	0	0
of Shock	1	1	1	4		3				5	13	ltng-min		2	2	ltng-max		12	16					1	dyel	weap	bowq	xboq					wand	orb		0	0	0
of Lightning	1	1	1	15		11				4	13	ltng-min		2	2	ltng-max		18	32					1	dyel	weap	bowq	xboq					wand	orb		0	0	0
of Thunder	1	1	1	25		18				3	13	ltng-min		2	2	ltng-max		34	80					1	dyel	weap	bowq	xboq					wand	orb		0	0	0
of Storms	100	1	1	34		26				2	13	ltng-min		2	12	ltng-max		82	240					1	dyel	mele							wand	orb		0	0	0
of Shock	100	1	1	50		37				2	13	ltng-min		2	2	ltng-max		22	46					1	dyel	boot	ring	amul								0	0	0
of Ennui	100	1	1	15		11				2	13	ltng-min		2	2	ltng-max		20	40					1	dyel	jewl										0	0	0
of Craftsmanship	1	1	1	1		1				8	14	dmg-max		2	2									1	blac	weap	ring	amul	bowq	xboq			wand	staf	orb	0	0	0
of Quality	1	1	1	4		3				8	14	dmg-max		4	4									1	blac	weap	bowq	xboq					wand	staf	orb	0	0	0
of Maiming	1	1	1	7		5				7	14	dmg-max		6	8									1	blac	weap	bowq	xboq					wand	staf	orb	0	0	0
of Slaying	1	1	1	11		8				7	14	dmg-max		10	14									1	blac	weap	bowq	xboq					wand	staf	orb	0	0	0
of Gore	1	1	1	14		10				6	14	dmg-max		16	20									1	blac	weap	bowq	xboq					wand	staf	orb	0	0	0
of Carnage	1	1	1	19		14				6	14	dmg-max		22	28									1	blac	weap	bowq	xboq					wand	staf	orb	0	0	0
of Slaughter	1	1	1	25		18				5	14	dmg-max		30	40									1	blac	weap	bowq	xboq					wand	staf	orb	0	0	0
of Butchery	100	1		35		27				5	14	dmg-max		42	80									1	blac	weap	bowq	xboq					wand	staf	orb	0	0	0
of Evisceration	100	1		45		37				4	14	dmg-max		82	126									1	blac	weap	bowq	xboq					wand	staf	orb	0	0	0
of Maiming	1	1	1	42		34				4	14	dmg-max		6	8									1	blac	shld	ring	amul								0	0	0
of Craftsmanship	100	1	1	1	7	1				4	14	dmg-max		2	4									1	blac	circ										0	0	0
of Craftsmanship	100	1	1	8	14	6				4	14	dmg-max		4	6									1	blac	circ										0	0	0
of Craftsmanship	100	1	1	15		11				4	14	dmg-max		8	10									1	blac	circ										0	0	0
of Quality	100	1	1	23	29	17				4	14	dmg-max		12	14									1	blac	circ										0	0	0
of Quality	100	1	1	30		22				4	14	dmg-max		14	16									1	blac	circ										0	0	0
of Maiming	100	1		37	44	29				4	14	dmg-max		18	20									1	blac	circ										0	0	0
of Maiming	100	1		45		37				4	14	dmg-max		22	24									1	blac	circ										0	0	0
of Craftsmanship	100	0	1	8	17	6				4	14	dmg-max		2	2									1	blac	mcha										0	0	0
of Craftsmanship	100	0	1	18		13				4	14	dmg-max		4	4									1	blac	mcha										0	0	0
of Quality	100	0	1	28	37	21				4	14	dmg-max		6	8									1	blac	mcha										0	0	0
of Quality	100	0	1	38		30				4	14	dmg-max		10	12									1	blac	mcha										0	0	0
of Maiming	100	0		48		40				4	14	dmg-max		14	16									1	blac	mcha										0	0	0
of Craftsmanship	100	0	1	21		15				4	14	dmg-max		2	2									1	blac	scha										0	0	0
of Quality	100	0	1	36		28				4	14	dmg-max		4	4									1	blac	scha										0	0	0
of Maiming	100	0		51		43				4	14	dmg-max		6	8									1	blac	scha										0	0	0
of Ire	100	1	1	4		3				4	14	dmg-max		4	10									1	blac	jewl										0	0	0
of Wrath	100	1	1	11		8				4	14	dmg-max		12	18									1	blac	jewl										0	0	0
of Carnage	100	1		25		18				4	14	dmg-max		22	30									1	blac	jewl												
of Worth	1	1	1	1		1				8	15	dmg-min		2	4									1	blac	weap	bowq	xboq					staf	wand	orb	0	0	0
of Measure	1	1	1	12		9				7	15	dmg-min		6	8									1	blac	weap	bowq	xboq					staf	wand	orb	0	0	0
of Excellence	1	1	1	24		18				6	15	dmg-min		10	16									1	blac	weap	bowq	xboq					staf	wand	orb	0	0	0
of Performance	1	1	1	48		40				5	15	dmg-min		18	28									1	blac	weap	bowq	xboq					staf	wand	orb	0	0	0
of Transcendence	100	1	1	76		68				4	15	dmg-min		30	40									1	blac	weap	bowq	xboq					staf	wand	orb	0	0	0
of Worth	1	1	1	15		11				4	15	dmg-min		4	6									1	blac	ring	amul	circ								0	0	0
of Measure	1	1	1	37		29				4	15	dmg-min		8	10									1	blac	ring	amul	circ								0	0	0
of Excellence	1	1	1	59		51				4	15	dmg-min		12	18									1	blac	ring	amul	circ								0	0	0
of Performance	100	1		81		73				4	15	dmg-min		20	26									1	blac	ring	amul	circ								0	0	0
of Joyfulness	100	1	1	5		3				4	15	dmg-min		2	8									1	whit	jewl										0	0	0
of Bliss	100	1	1	43		37				4	15	dmg-min		10	20									1	whit	jewl										0	0	0
of Blight	1	1	1	5		3				5	16	dmg-pois	75	48	48									1	dgrn	weap	circ						rod	orb		0	0	0
of Venom	1	1	1	15		11				4	16	dmg-pois	100	108	108									1	dgrn	weap	circ						rod	orb		0	0	0
of Pestilence	1	1	1	25		18				3	16	dmg-pois	125	206	206									1	dgrn	weap	circ						rod	orb		0	0	0
of Anthrax	100	1	1	33		25				2	16	dmg-pois	150	342	342									1	dgrn	weap							rod	orb		0	0	0
of Blight	100	1	1	45		33				2	16	dmg-pois	75	342	342									1	dgrn	ring	amul									0	0	0
of Envy	100	1	1	1		1				2	16	dmg-pois	50	206	206									1	dgrn	jewl										0	0	0
of Dexterity	1	1	1	1		1				4	17	dex		2	4									1	dgld	amul	miss	circ								0	0	0
of Skill	1	1	1	11		8				3	17	dex		6	10									1	dgld	amul	miss	circ								0	0	0
of Accuracy	1	1	1	27		20				3	17	dex		12	18									1	dgld	amul	miss	circ								0	0	0
of Precision	1	1	1	43		35				3	17	dex		20	30									1	dgld	amul	miss	circ								0	0	0
of Perfection	1	1	1	59		51				3	17	dex		32	40									1	dgld	amul	miss	circ								0	0	0
of Nirvana	100	1		72		64				3	17	dex		42	60									1	dgld	amul	miss	circ								0	0	0
of Dexterity	1	1	1	6		4				4	17	dex		2	4									1	dgld	ring	glov									0	0	0
of Skill	1	1	1	22		16				3	17	dex		6	10									1	dgld	ring	glov									0	0	0
of Accuracy	1	1	1	39		31				3	17	dex		12	18									1	dgld	ring	glov									0	0	0
of Precision	1	1	1	56		48				3	17	dex		20	30									1	dgld	ring	glov									0	0	0
of Perfection	100	1		75		67				3	17	dex		32	40									1	dgld	ring	glov									0	0	0
of Dexterity	1	1	1	13		9				3	17	dex		4	6									1	dgld	tors	boot						glov			0	0	0
of Skill	1	1	1	34		26				3	17	dex		8	10									1	dgld	tors	boot						glov			0	0	0
of Accuracy	1	1	1	46		38				3	17	dex		12	18									1	dgld	tors	boot						glov			0	0	0
of Precision	100	1		60		52				3	17	dex		20	30									1	dgld	tors	boot						glov			0	0	0
of Dexterity	100	1	1	1		1				4	31	dex		6	8									1	dgld	lcha	marb									0	0	0
of Dexterity	100	1	1	3		2				4	31	dex		4	6									1	dgld	mcha										0	0	0
of Dexterity	100	1	1	7		5				4	31	dex		2	2									1	dgld	scha										0	0	0
of Dexterity	100	1	1	14		10				4	31	dex		10	12									1	dgld	lcha	marb									0	0	0
of Dexterity	100	1	1	18		13				4	31	dex		8	10									1	dgld	mcha										0	0	0
of Dexterity	100	1	1	22		16				4	31	dex		4	4									1	dgld	scha										0	0	0
of Daring	100	1	1	7		5				3	17	dex		2	6									1	dgld	jewl										0	0	0
of Balance	1	1	1	5		3				4	18	balance1		20	20									1	dyel	armo							glov			0	0	0
of Equilibrium	1	1	1	9		6				4	18	balance2		34	34									1	dyel	tors	belt	shld								0	0	0
of Stability	1	1	1	18		13				4	18	balance3		48	48									1	dyel	tors	belt									0	0	0
of Balance	100	1	1	1		1				4	18	balance3		24	24									1	dyel	lcha	marb									0	0	0
of Balance	100	1	1	19		14				4	18	balance2		16	16									1	dyel	mcha										0	0	0
of Balance	100	1	1	37		29				4	18	balance1		10	10									1	dyel	scha										0	0	0
of Truth	100	1	1	44		36				4	18	balance1		14	14									1	cred	jewl										0	0	0
of Regeneration	1	1	1	10		7				4	19	regen		6	10									1	cred	scep	belt	ring	amul	circ						0	0	0
of Regeneration	1	1	1	40		30				4	19	regen		6	10									1	cred	shld	glov									0	0	0
of Regeneration	1	1	1	70		52				4	19	regen		6	10									1	cred	tors	weap	boot					scep			0	0	0
of Regrowth	1	1	1	17		12				4	19	regen		12	20									1	cred	scep	amul	circ								0	0	0
of Regrowth	1	1	1	55		41				4	19	regen		12	18									1	cred	belt	ring									0	0	0
of Revivification	100	1		38		30				4	19	regen		22	30									1	cred	scep	amul	circ								0	0	0
of Honor	100	1	1	47		35				4	19	regen		2	8									1	cred	jewl										0	0	0
of Vileness	1	1	1	9		6				3	20	noheal		2	2											mele							rod	orb		0	0	0
of Greed	1	1	1	1		1				4	21	gold%		50	80									1	lgld	ring	amul	circ								0	0	0
of Wealth	1	1	1	17		12				4	21	gold%		82	160									1	lgld	boot	glov	belt	amul	circ						0	0	0
