Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	SumItems	TotalProb	DropChance	Term
Act 2 Equip C	1	43	1						weap12	4	armo12	2	weap15	12	armo15	3	weap18	14	armo18	7	weap21	2	armo21	1	Act 2 Equip B	80			36	116	0.6897	0
Act 3 Equip A	1	48	1						weap15	4	armo15	2	weap18	12	armo18	3	weap21	14	armo21	7	weap24	2	armo24	1	Act 2 Equip C	100			36	136	0.7353	0
Act 3 Equip B	1	53	1						weap18	4	armo18	2	weap21	12	armo21	3	weap24	14	armo24	7	weap27	2	armo27	1	Act 3 Equip A	200			36	236	0.8475	0
Act 3 Equip C	1	58	1						weap21	4	armo21	2	weap24	12	armo24	3	weap27	14	armo27	7	weap30	2	armo30	1	Act 3 Equip B	340			36	376	0.9043	0
Act 4 Equip A	1	62	1						weap24	4	armo24	2	weap27	12	armo27	3	weap30	14	armo30	4	weap33	2	armo33	1	Act 3 Equip C	430			33	463	0.9287	0
Act 4 Equip B	1	70	1						weap27	4	armo27	2	weap30	12	armo30	3	weap33	14	armo33	3	weap36	2	armo36	1	Act 4 Equip A	500			32	532	0.9398	0
Act 5 Equip A	1	77	1						weap27	4	armo27	2	weap30	12	armo30	3	weap33	14	armo33	3	weap36	7	armo36	5	Act 4 Equip B	629			41	670	0.9388	0
Act 5 Equip B	1	82	1						weap30	4	armo30	2	weap33	12	armo33	2	weap36	14	armo36	7	weap39	2	armo39	1	Act 5 Equip A	731			35	766	0.9543	0
Act 5 Equip C	1	86	1						weap30	4	armo30	2	weap33	12	armo33	2	weap36	14	armo36	7	weap39	2	armo39	1	Act 5 Equip B	833			35	868	0.9597	0
Act 1 (N) Equip A	1	91	1						weap33	4	armo33	2	weap36	12	armo36	3	weap39	14	armo39	7	weap42	2	armo42	1	Act 5 Equip C	935			36	971	0.9629	0
Act 1 (N) Equip B	1	96	1						weap33	4	armo33	2	weap36	12	armo36	3	weap39	14	armo39	7	weap42	6	armo42	3	Act 1 (N) Equip A	1105			42	1147	0.9634	0
Act 1 (N) Equip C	1	101	1						weap36	4	armo36	2	weap39	12	armo39	3	weap42	14	armo42	7	weap45	2	armo45	1	Act 1 (N) Equip A	1020			36	1056	0.9659	0
Act 2 (N) Equip A	1	106	1						weap36	4	armo36	2	weap39	12	armo39	3	weap42	14	armo42	7	weap45	6	armo45	3	Act 1 (N) Equip B	1233			42	1275	0.9671	0
Act 2 (N) Equip B	1	110	1						weap39	4	armo39	2	weap42	12	armo42	3	weap45	14	armo45	7	weap48	2	armo48	1	Act 2 (N) Equip A	1105			36	1141	0.9684	0
Act 2 (N) Equip C	1	115	1						weap39	4	armo39	2	weap42	12	armo42	3	weap45	14	armo45	7	weap48	6	armo48	3	Act 2 (N) Equip A	1318			42	1360	0.9691	0
Act 3 (N) Equip A	1	120	1						weap42	4	armo42	2	weap45	12	armo45	3	weap48	14	armo48	7	weap51	2	armo51	1	Act 2 (N) Equip B	1190			36	1226	0.9706	0
Act 3 (N) Equip B	1	125	1						weap42	4	armo42	2	weap45	12	armo45	3	weap48	14	armo48	7	weap51	6	armo51	3	Act 3 (N) Equip A	1445			42	1487	0.9718	0
Act 3 (N) Equip C	1	130	1						weap45	4	armo45	2	weap48	12	armo48	3	weap51	14	armo51	7	weap54	2	armo54	1	Act 3 (N) Equip A	1275			36	1311	0.9725	0
Act 4 (N) Equip A	1	134	1						weap45	4	armo45	2	weap48	12	armo48	3	weap51	14	armo51	7	weap54	6	armo54	3	Act 3 (N) Equip B	1530			42	1572	0.9733	0
Act 4 (N) Equip B	1	139	1						weap48	4	armo48	2	weap51	12	armo51	3	weap54	14	armo54	7	weap57	2	armo57	1	Act 4 (N) Equip A	1360			36	1396	0.9742	0
Act 4 (N) Equip C	1	144	1						weap48	4	armo48	2	weap51	12	armo51	3	weap54	14	armo54	7	weap57	6	armo57	3	Act 4 (N) Equip A	1658			42	1700	0.9753	0
Act 5 (N) Equip A	1	149	1						weap51	4	armo51	2	weap54	12	armo54	3	weap57	14	armo57	7	weap60	2	armo60	1	Act 4 (N) Equip B	1445			36	1481	0.9757	0
Act 5 (N) Equip B	1	154	1						weap51	4	armo51	2	weap54	12	armo54	3	weap57	14	armo57	7	weap60	6	armo60	3	Act 5 (N) Equip A	1743			42	1785	0.9765	0
Act 5 (N) Equip C	1	158	1						weap54	4	armo54	2	weap57	12	armo57	3	weap60	14	armo60	7	weap63	2	armo63	1	Act 5 (N) Equip B	1530			36	1566	0.977	0
Act 1 (H) Equip A	1	163	1						weap54	4	armo54	2	weap57	12	armo57	3	weap60	14	armo60	7	weap63	6	armo63	3	Act 5 (N) Equip C	1785			42	1827	0.977	0
Act 1 (H) Equip B	1	168	1						weap57	4	armo57	2	weap60	12	armo60	3	weap63	14	armo63	7	weap66	2	armo66	1	Act 1 (H) Equip A	1530			36	1566	0.977	0
Act 1 (H) Equip C	1	170	1						weap57	4	armo57	2	weap60	12	armo60	3	weap63	14	armo63	7	weap66	6	armo66	3	Act 1 (H) Equip A	1785			42	1827	0.977	0
Act 2 (H) Equip A	1	175	1						weap60	4	armo60	2	weap63	12	armo63	3	weap66	14	armo66	7	weap69	2	armo69	1	Act 1 (H) Equip B	1530			36	1566	0.977	0
Act 2 (H) Equip B	1	180	1						weap60	4	armo60	2	weap63	12	armo63	3	weap66	14	armo66	7	weap69	6	armo69	3	Act 2 (H) Equip A	1785			42	1827	0.977	0
Act 2 (H) Equip C	1	182	1						weap63	4	armo63	2	weap66	12	armo66	3	weap69	14	armo69	7	weap72	2	armo72	1	Act 2 (H) Equip A	1530			36	1566	0.977	0
Act 3 (H) Equip A	1	185	1						weap63	4	armo63	2	weap66	12	armo66	3	weap69	14	armo69	7	weap72	6	armo72	3	Act 2 (H) Equip B	1785			42	1827	0.977	0
Act 3 (H) Equip B	1	187	1						weap66	4	armo66	2	weap69	12	armo69	3	weap72	14	armo72	7	weap75	2	armo75	1	Act 3 (H) Equip A	1530			36	1566	0.977	0
Act 3 (H) Equip C	1	190	1						weap66	4	armo66	2	weap69	12	armo69	3	weap72	14	armo72	7	weap75	6	armo75	3	Act 3 (H) Equip A	1785			42	1827	0.977	0
Act 4 (H) Equip A	1	192	1						weap69	4	armo69	2	weap72	12	armo72	3	weap75	14	armo75	7	weap78	2	armo78	1	Act 3 (H) Equip B	1530			36	1566	0.977	0
Act 4 (H) Equip B	1	194	1						weap69	4	armo69	2	weap72	12	armo72	3	weap75	14	armo75	7	weap78	6	armo78	3	Act 4 (H) Equip A	1785			42	1827	0.977	0
Act 4 (H) Equip C	1	197	1						weap72	4	armo72	2	weap75	12	armo75	3	weap78	14	armo78	7	weap81	2	armo81	1	Act 4 (H) Equip A	1530			36	1566	0.977	0
Act 5 (H) Equip A	1	199	1						weap75	4	armo75	2	weap78	12	armo78	3	weap81	14	armo81	7	weap84	2	armo84	1	Act 4 (H) Equip B	1530			36	1566	0.977	0
Act 5 (H) Equip B	1	202	1						weap78	4	armo78	2	weap81	12	armo81	3	weap84	14	armo84	7	weap87	2	armo87	1	Act 5 (H) Equip A	1530			36	1566	0.977	0
Act 5 (H) Equip C	1	204	1						weap81	4	armo81	2	weap84	12	armo84	3	weap87	14	armo87	7	weap87	1	armo87	1	Act 5 (H) Equip B	1530			35	1565	0.9776	0
Act 1 Melee A	2	0	1						mele3	14	armo3	14																				0
Act 1 Melee B	2	12	1						mele3	6	armo3	6	mele6	14	armo6	7																0
Act 1 Melee C	2	22	1						mele3	4	armo3	2	mele6	12	armo6	3	mele9	14	armo9	7	mele12	2	armo12	1								0
Act 2 Melee A	2	29	1						mele6	4	armo6	2	mele9	12	armo9	3	mele12	14	armo12	7	mele15	2	armo15	1	Act 1 Melee C	30			36	66	0.4545	0
Act 2 Melee B	2	36	1						mele9	4	armo9	2	mele12	12	armo12	3	mele15	14	armo15	7	mele18	2	armo18	1	Act 2 Melee A	60			36	96	0.625	0
Act 2 Melee C	2	43	1						mele12	4	armo12	2	mele15	12	armo15	3	mele18	14	armo18	7	mele21	2	armo21	1	Act 2 Melee B	90			36	126	0.7143	0
Act 3 Melee A	2	48	1						mele15	4	armo15	2	mele18	12	armo18	3	mele21	14	armo21	7	mele24	2	armo24	1	Act 2 Melee C	120			36	156	0.7692	0
Act 3 Melee B	2	53	1						mele18	4	armo18	2	mele21	12	armo21	3	mele24	14	armo24	7	mele27	2	armo27	1	Act 3 Melee A	150			36	186	0.8065	0
Act 3 Melee C	2	58	1						mele21	4	armo21	2	mele24	12	armo24	3	mele27	14	armo27	7	mele30	2	armo30	1	Act 3 Melee B	180			36	216	0.8333	0
Act 4 Melee A	2	62	1						mele24	4	armo24	2	mele27	12	armo27	3	mele30	14	armo30	4	mele33	2	armo33	1	Act 3 Melee C	210			33	243	0.8642	0
Act 4 Melee B	2	70	1						mele27	4	armo27	2	mele30	12	armo30	3	mele33	14	armo33	3	mele36	2	armo36	1	Act 4 Melee A	260			32	292	0.8904	0
Act 5 Melee A	2	77	1						mele27	4	armo27	2	mele30	12	armo30	3	mele33	14	armo33	3	mele36	7	armo36	5	Act 4 Melee B	400			41	441	0.907	0
Act 5 Melee B	2	82	1						mele30	4	armo30	2	mele33	12	armo33	2	mele36	14	armo36	7	mele39	2	armo39	1	Act 5 Melee A	489			35	524	0.9332	0
Act 5 Melee C	2	86	1						mele30	4	armo30	2	mele33	12	armo33	2	mele36	14	armo36	7	mele39	2	armo39	1	Act 5 Melee B	629			35	664	0.9473	0
Act 1 (N) Melee A	2	91	1						weap33	4	armo33	2	weap36	12	armo36	3	weap39	14	armo39	7	weap42	2	armo42	1	Act 5 Melee C	769			36	805	0.9553	0
Act 1 (N) Melee B	2	96	1						weap36	4	armo36	2	weap39	12	armo39	3	weap42	14	armo42	7	weap45	2	armo45	1	Act 1 (N) Melee A	935			36	971	0.9629	0
Act 2 (N) Melee A	2	101	1						weap36	4	armo36	2	weap39	12	armo39	3	weap42	14	armo42	7	weap45	6	armo45	3	Act 1 (N) Melee B	1148			42	1190	0.9647	0
Act 2 (N) Melee B	2	106	1						weap39	4	armo39	2	weap42	12	armo42	3	weap45	14	armo45	7	weap48	2	armo48	1	Act 2 (N) Melee A	1020			36	1056	0.9659	0
Act 3 (N) Melee A	2	110	1						weap42	4	armo42	2	weap45	12	armo45	3	weap48	14	armo48	7	weap51	2	armo51	1	Act 2 (N) Melee B	1063			36	1099	0.9672	0
Act 3 (N) Melee B	2	115	1						weap45	4	armo45	2	weap48	12	armo48	3	weap51	14	armo51	7	weap54	2	armo54	1	Act 3 (N) Melee A	1105			36	1141	0.9684	0
Act 4 (N) Melee A	2	122	1						weap45	4	armo45	2	weap48	12	armo48	3	weap51	14	armo51	7	weap54	6	armo54	3	Act 3 (N) Melee B	1339			42	1381	0.9696	0
Act 4 (N) Melee B	2	130	1						weap48	4	armo48	2	weap51	12	armo51	3	weap54	14	armo54	7	weap57	2	armo57	1	Act 4 (N) Melee A	1190			36	1226	0.9706	0
Act 5 (N) Melee A	2	137	1						weap51	4	armo51	2	weap54	12	armo54	3	weap57	14	armo57	7	weap60	2	armo60	1	Act 4 (N) Melee B	1275			36	1311	0.9725	0
Act 5 (N) Melee B	2	144	1						weap51	4	armo51	2	weap54	12	armo54	3	weap57	14	armo57	7	weap60	6	armo60	3	Act 5 (N) Melee A	1743			42	1785	0.9765	0
Act 5 (N) Melee C	2	151	1						weap54	4	armo54	2	weap57	12	armo57	3	weap60	14	armo60	7	weap63	2	armo63	1	Act 5 (N) Melee B	1530			36	1566	0.977	0
Act 1 (H) Melee A	2	158	1						weap54	4	armo54	2	weap57	12	armo57	3	weap60	14	armo60	7	weap63	6	armo63	3	Act 5 (N) Melee C	1781			42	1823	0.977	0
Act 1 (H) Melee B	2	163	1						weap57	4	armo57	2	weap60	12	armo60	3	weap63	14	armo63	7	weap66	2	armo66	1	Act 1 (H) Melee A	1530			36	1566	0.977	0
Act 2 (H) Melee A	2	170	1						weap60	4	armo60	2	weap63	12	armo63	3	weap66	14	armo66	7	weap69	2	armo69	1	Act 1 (H) Melee B	1530			36	1566	0.977	0
Act 2 (H) Melee B	2	175	1						weap63	4	armo63	2	weap66	12	armo66	3	weap69	14	armo69	7	weap72	2	armo72	1	Act 2 (H) Melee A	1530			36	1566	0.977	0
Act 3 (H) Melee A	2	180	1						weap63	4	armo63	2	weap66	12	armo66	3	weap69	14	armo69	7	weap72	6	armo72	3	Act 2 (H) Melee B	1781			42	1823	0.977	0
Act 3 (H) Melee B	2	185	1						weap66	4	armo66	2	weap69	12	armo69	3	weap72	14	armo72	7	weap75	2	armo75	1	Act 3 (H) Melee A	1530			36	1566	0.977	0
Act 4 (H) Melee A	2	190	1						weap69	4	armo69	2	weap72	12	armo72	3	weap75	14	armo75	7	weap78	2	armo78	1	Act 3 (H) Melee B	1530			36	1566	0.977	0
Act 4 (H) Melee B	2	192	1						weap72	4	armo72	2	weap75	12	armo75	3	weap78	14	armo78	7	weap81	2	armo81	1	Act 4 (H) Melee A	1530			36	1566	0.977	0
Act 5 (H) Melee A	2	194	1						weap75	4	armo75	2	weap78	12	armo78	3	weap81	14	armo81	7	weap84	2	armo84	1	Act 4 (H) Melee B	1530			36	1566	0.977	0
Act 5 (H) Melee B	2	199	1						weap78	4	armo78	2	weap81	12	armo81	3	weap84	14	armo84	7	weap87	2	armo87	1	Act 5 (H) Melee A	1530			36	1566	0.977	0
Act 5 (H) Melee C	2	204	1						weap81	4	armo81	2	weap84	12	armo84	3	weap87	14	armo87	7	weap87	1	armo87	1	Act 5 (H) Melee B	1530			35	1565	0.9776	0
Act 1 Bow A	3	0	1						bow3	72		0																				0
Act 1 Bow B	3	12	1						bow3	40	bow6	32																				0
Act 1 Bow C	3	22	1						bow3	20	bow6	32	bow9	20																		0
Act 2 Bow A	3	29	1						bow3	6	bow6	30	bow9	30	bow12	3																0
Act 2 Bow B	3	36	1						bow3	2	bow6	14	bow9	40	bow12	7	bow15	1														0
Act 2 Bow C	3	43	1						bow3	2	bow6	6	bow9	28	bow12	14	bow15	3	bow18	1												0
Act 3 Bow A	3	48	1						bow3	2	bow6	6	bow9	12	bow12	12	bow15	6	bow18	3	bow21	1										0
Act 3 Bow B	3	53	1						bow3	2	bow6	6	bow9	12	bow12	8	bow15	8	bow18	6	bow21	3	bow24	1								0
Act 3 Bow C	3	58	1						bow3	2	bow6	4	bow9	10	bow12	7	bow15	8	bow18	7	bow21	4	bow24	2								0
Act 4 Bow A	3	62	1						bow6	2	bow9	6	bow12	12	bow15	8	bow18	8	bow21	6	bow24	3	bow27	1	Act 3 Bow C	110			36	146	0.7534	0
Act 4 Bow B	3	70	1						bow6	2	bow9	4	bow12	10	bow15	7	bow18	8	bow21	7	bow24	4	bow27	2	Act 4 Bow A	180			36	216	0.8333	0
Act 5 Bow A	3	77	1						bow9	2	bow12	6	bow15	12	bow18	8	bow21	8	bow24	6	bow27	3	bow30	1	Act 4 Bow B	270			36	306	0.8824	0
Act 5 Bow B	3	82	1						bow9	2	bow12	4	bow15	10	bow18	7	bow21	8	bow24	7	bow27	4	bow30	2	Act 5 Bow A	380			36	416	0.9135	0
Act 5 Bow C	3	86	1						bow9	2	bow12	4	bow15	10	bow18	7	bow21	8	bow24	7	bow27	4	bow30	2	Act 5 Bow B	500			36	536	0.9328	0
Act 1 (N) Bow A	3	91	1						bow12	2	bow15	4	bow18	10	bow21	7	bow24	8	bow27	7	bow30	4	bow33	2	Act 5 Bow C	630			36	666	0.9459	0
Act 1 (N) Bow B	3	96	1						bow15	2	bow18	4	bow21	10	bow24	7	bow27	8	bow30	7	bow33	4	bow36	2	Act 1 (N) Bow A	770			36	806	0.9553	0
Act 2 (N) Bow A	3	101	1						bow18	2	bow21	4	bow24	10	bow27	7	bow30	8	bow33	7	bow36	4	bow39	2	Act 1 (N) Bow B	920			36	956	0.9623	0
Act 2 (N) Bow B	3	106	1						bow21	2	bow24	4	bow27	10	bow30	7	bow33	8	bow36	7	bow39	4	bow42	2	Act 2 (N) Bow A	1070			36	1106	0.9675	0
Act 3 (N) Bow A	3	110	1						bow24	2	bow27	4	bow30	10	bow33	7	bow36	8	bow39	7	bow42	4	bow45	2	Act 2 (N) Bow B	1220			36	1256	0.9713	0
Act 3 (N) Bow B	3	115	1						bow27	2	bow30	4	bow33	10	bow36	7	bow39	8	bow42	7	bow45	4	bow48	2	Act 3 (N) Bow A	1370			36	1406	0.9744	0
Act 4 (N) Bow A	3	122	1						bow30	2	bow33	4	bow36	10	bow39	7	bow42	8	bow45	7	bow48	4	bow51	2	Act 3 (N) Bow B	1520			36	1556	0.9769	0
Act 4 (N) Bow B	3	130	1						bow33	2	bow36	4	bow39	10	bow42	7	bow45	8	bow48	7	bow51	4	bow54	2	Act 4 (N) Bow A	1670			36	1706	0.9789	0
Act 5 (N) Bow A	3	137	1						bow36	2	bow39	4	bow42	10	bow45	7	bow48	8	bow51	7	bow54	4	bow57	2	Act 4 (N) Bow B	1820			36	1856	0.9806	0
Act 5 (N) Bow B	3	144	1						bow39	2	bow42	4	bow45	10	bow48	7	bow51	8	bow54	7	bow57	4	bow60	2	Act 5 (N) Bow A	1970			36	2006	0.9821	0
Act 5 (N) Bow C	3	151	1						bow42	2	bow45	4	bow48	10	bow51	7	bow54	8	bow57	7	bow60	4	bow63	2	Act 5 (N) Bow B	2120			36	2156	0.9833	0
Act 1 (H) Bow A	3	158	1						bow45	2	bow48	4	bow51	10	bow54	7	bow57	8	bow60	7	bow63	4	bow66	2	Act 5 (N) Bow C	2270			36	2306	0.9844	0
Act 1 (H) Bow B	3	166	1						bow48	2	bow51	4	bow54	10	bow57	7	bow60	8	bow63	7	bow66	4	bow69	2	Act 1 (H) Bow A	2270			36	2306	0.9844	0
Act 2 (H) Bow A	3	170	1						bow51	2	bow54	4	bow57	10	bow60	7	bow63	8	bow66	7	bow69	4	bow72	2	Act 1 (H) Bow B	2270			36	2306	0.9844	0
Act 2 (H) Bow B	3	175	1						bow54	2	bow57	4	bow60	10	bow63	7	bow66	8	bow69	7	bow72	4	bow75	2	Act 2 (H) Bow A	2270			36	2306	0.9844	0
Act 3 (H) Bow A	3	180	1						bow57	2	bow60	4	bow63	10	bow66	7	bow69	8	bow72	7	bow75	4	bow78	2	Act 2 (H) Bow B	2270			36	2306	0.9844	0
Act 3 (H) Bow B	3	185	1						bow60	2	bow63	4	bow66	10	bow69	7	bow72	8	bow75	7	bow78	4	bow81	2	Act 3 (H) Bow A	2270			36	2306	0.9844	0
Act 4 (H) Bow A	3	190	1						bow63	2	bow66	4	bow69	10	bow72	7	bow75	8	bow78	7	bow81	4	bow84	2	Act 3 (H) Bow B	2270			36	2306	0.9844	0
Act 4 (H) Bow B	3	192	1						bow66	2	bow69	4	bow72	10	bow75	7	bow78	8	bow81	7	bow84	2	bow84	1	Act 4 (H) Bow A	2080			33	2113	0.9844	0
Act 5 (H) Bow A	3	197	1						bow69	2	bow72	4	bow75	10	bow78	7	bow81	8	bow84	7	bow87	2	bow87	1	Act 4 (H) Bow B	2080			33	2113	0.9844	0
Act 5 (H) Bow B	3	199	1						bow72	2	bow75	4	bow78	10	bow81	7	bow84	8	bow87	7	bow87	2	bow87	1	Act 5 (H) Bow A	2080			33	2113	0.9844	0
Act 5 (H) Bow C	3	204	1						bow75	2	bow78	4	bow81	10	bow84	7	bow87	8	bow87	1	bow87	1	bow87	1	Act 5 (H) Bow B	1655			26	1681	0.9845	0
Act 1 Magic A	4	0	1						tsc	4	isc	8	mp1	12																		0
Act 1 Magic B	4	12	1						tsc	4	isc	8	mp1	8	mp2	2																0
Act 1 Magic C	4	22	1						tsc	4	isc	8	mp1	4	mp2	4																0
Act 2 Magic A	4	29	1						tsc	4	isc	8	mp1	2	mp2	4	mp3	1														0
Act 2 Magic B	4	36	1						tsc	4	isc	8	mp1	2	mp2	3	mp3	2														0
Act 2 Magic C	4	43	1						tsc	4	isc	8	mp2	4	mp3	3	mp4	1														0
Act 3 Magic A	4	48	1						tsc	4	isc	8	mp3	8	mp4	2																0
Act 3 Magic B	4	53	1						tsc	4	isc	8	mp3	6	mp4	3																0
Act 3 Magic C	4	58	1						tsc	4	isc	8	mp3	4	mp4	3	mp5	1														0
Act 4 Magic A	4	62	1						tsc	4	isc	8	mp3	2	mp4	4	mp5	1														0
Act 4 Magic B	4	70	1						tsc	4	isc	8	mp4	8	mp5	2																0
Act 5 Magic A	4	77	1						tsc	4	isc	8	mp4	6	mp5	3																0
Act 5 Magic B	4	82	1						tsc	4	isc	8	mp4	4	mp5	4																0
Act 5 Magic C	4	86	1						tsc	4	isc	8	mp4	4	mp5	4																0
Act 1 (N) Magic A	4	91	1						tsc	4	isc	8	mp4	4	mp5	4																0
Act 1 (N) Magic B	4	96	1						tsc	4	isc	8	mp4	4	mp5	4																0
