description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
magic field plate + jewel + rune 04 + perfect sapphire -> hitpower body	1			100					4	"fld,mag,upg"	jew	r04	gpb				"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			3	10	balance1			10	20																																																																					0
magic amulet + jewel + rune 10 + perfect sapphire -> hitpower amulet	1			100					4	"amul,mag"	jew	r10	gpb				"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			3	10	howl			5	15																																																																					0
magic ring + jewel + rune 11 + perfect sapphire -> hitpower ring	1			100					4	"ring,mag"	jew	r11	gpb				"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			3	6	dex			1	5																																																																					0
magic blunt + jewel + rune 03 + perfect sapphire -> hitpower weapon	1			100					4	"blun,mag"	jew	r03	gpb				"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			3	7	dmg%			35	60																																																																					0
magic helm + jewel + rune 08 + perfect ruby -> blood helm	1			100					4	"hlm,mag,upg"	jew	r08	gpr				"usetype,crf"		50	50	lifesteal			1	3	hp			10	20	deadly			5	10																																																																					0
magic light plated boots + jewel + rune 05 + perfect ruby -> blood boots	1			100					4	"tbt,mag,upg"	jew	r05	gpr				"usetype,crf"		50	50	lifesteal			1	3	hp			10	20	regen			5	10																																																																					0
magic heavy gloves + jewel + rune 04 + perfect ruby -> blood gloves	1			100					4	"vgl,mag,upg"	jew	r04	gpr				"usetype,crf"		50	50	lifesteal			1	3	hp			10	20	crush			5	10																																																																					0
magic belt + jewel + rune 07 + perfect ruby -> blood belt	1			100					4	"mbl,mag,upg"	jew	r07	gpr				"usetype,crf"		50	50	lifesteal			1	3	hp			10	20	openwounds			5	10																																																																					0
magic spiked shield + jewel + rune 06 + perfect ruby -> blood shield	1			100					4	"spk,mag,upg"	jew	r06	gpr				"usetype,crf"		50	50	lifesteal			1	3	hp			10	20	thorns			4	7																																																																					0
magic plate mail + jewel + rune 10 + perfect ruby -> blood body	1			100					4	"plt,mag,upg"	jew	r10	gpr				"usetype,crf"		50	50	lifesteal			1	3	hp			10	20	demon-heal			1	3																																																																					0
magic amulet + jewel + rune 11 + perfect ruby -> blood amulet	1			100					4	"amul,mag"	jew	r11	gpr				"usetype,crf"		50	50	lifesteal			1	4	hp			10	20	move1			5	10																																																																					0
magic ring + jewel + rune 12 + perfect ruby -> blood ring	1			100					4	"ring,mag"	jew	r12	gpr				"usetype,crf"		50	50	lifesteal			1	3	hp			10	20	str			1	5																																																																					0
magic axe + jewel + rune 09 + perfect ruby -> blood weapon	1			100					4	"axe,mag"	jew	r09	gpr				"usetype,crf"		50	50	lifesteal			1	4	hp			10	20	dmg%			35	60																																																																					0
magic mask + jewel + rune 04 + perfect amethyst -> caster helm	1			100					4	"msk,mag,upg"	jew	r04	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	manasteal			1	4																																																																					0
magic boots + jewel + rune 10 + perfect amethyst -> caster boots	1			100					4	"lbt,mag,upg"	jew	r10	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	mana%			2	5																																																																					0
magic leather gloves + jewel + rune 09 + perfect amethyst -> caster gloves	1			100					4	"lgl,mag,upg"	jew	r09	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	mana-kill			1	3																																																																					0
magic light belt + jewel + rune 06 + perfect amethyst -> caster belt	1			100					4	"vbl,mag,upg"	jew	r06	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	cast1			5	10																																																																					0
magic small shield + jewel + rune 05 + perfect amethyst -> caster shield	1			100					4	"sml,mag,upg"	jew	r05	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	block			5	10																																																																					0
magic light plate + jewel + rune 07 + perfect amethyst -> caster body	1			100					4	"ltp,mag,upg"	jew	r07	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	mana-kill			1	3																																																																					0
magic amulet + jewel + rune 08 + perfect amethyst -> caster amulet	1			100					4	"amul,mag"	jew	r08	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	cast1			5	10																																																																					0
magic ring + jewel + rune 11 + perfect amethyst -> caster ring	1			100					4	"ring,mag"	jew	r11	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	enr			1	5																																																																					0
magic rod + jewel + rune 03 + perfect amethyst -> caster weapon	1			100					4	"rod,mag"	jew	r03	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	mana%			1	5																																																																					0
magic crown + jewel + rune 06 + perfect emerald -> safety helm	1			100					4	"crn,mag,upg"	jew	r06	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	res-ltng			5	10	ac%			10	30																																																																0
magic plate boots + jewel + rune 09 + perfect emerald -> safety boots	1			100					4	"hbt,mag,upg"	jew	r09	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	res-fire			5	10	ac%			10	30																																																																0
magic gauntlets + jewel + rune 08 + perfect emerald -> safety gloves	1			100					4	"hgl,mag,upg"	jew	r08	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	res-cold			5	10	ac%			10	30																																																																0
magic sash + jewel + rune 07 + perfect emerald -> safety belt	1			100					4	"lbl,mag,upg"	jew	r07	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	res-pois			5	10	ac%			10	30																																																																0
magic kite shield + jewel + rune 04 + perfect emerald -> safety shield	1			100					4	"kit,mag,upg"	jew	r04	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	res-mag			5	10	ac%			10	30																																																																0
magic breastplate + jewel + rune 05 + perfect emerald -> safety body	1			100					4	"brs,mag,upg"	jew	r05	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	half-freeze			1	1	ac%			10	30																																																																0
magic amulet + jewel + rune 10 + perfect emerald -> safety amulet	1			100					4	"amul,mag"	jew	r10	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	block			1	10																																																																					0
magic ring + jewel + rune 11 + perfect emerald -> safety ring	1			100					4	"ring,mag"	jew	r11	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	vit			1	5																																																																					0
magic spear + jewel + rune 12 + perfect emerald -> safety weapon	1			100					4	"spea,mag"	jew	r12	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	ac%			5	10																																																																					0
3 rune 10 + 1 chipped topaz -> rune 11	1			100					4	"r10,qty=3"	gcy						r11																																																																																							0
3 rune 11 + 1 chipped amethyst -> rune 12	1			100					4	"r11,qty=3"	gcv						r12																																																																																							0
3 rune 12 + 1 chipped sapphire -> rune 13	1			100					4	"r12,qty=3"	gcb						r13																																																																																							0
3 rune 13 + 1 chipped ruby -> rune 14	1			100					4	"r13,qty=3"	gcr						r14																																																																																							0
3 rune 14 + 1 chipped emerald -> rune 15	1			100					4	"r14,qty=3"	gcg						r15																																																																																							0
3 rune 15 + 1 chipped diamond -> rune 16	1			100					4	"r15,qty=3"	gcw						r16																																																																																							0
3 rune 16 + 1 flawed topaz -> rune 17	1			100					4	"r16,qty=3"	gfy						r17																																																																																							0
3 rune 17 + 1 flawed amethyst -> rune 18	1			100					4	"r17,qty=3"	gfv						r18																																																																																							0
3 rune 18 + 1 flawed sapphire -> rune 19	1			100					4	"r18,qty=3"	gfb						r19																																																																																							0
3 rune 19 + 1 flawed ruby -> rune 20	1			100					4	"r19,qty=3"	gfr						r20																																																																																							0
3 rune 20 + 1 flawed emerald -> rune 21	1			100					4	"r20,qty=3"	gfg						r21																																																																																							0
2 rune 21 + 1 flawed diamond -> rune 22	1			100					3	"r21,qty=2"	gfw						r22																																																																																							0
2 rune 22 + 1 standard topaz -> rune 23	1			100					3	"r22,qty=2"	gsy						r23																																																																																							0
2 rune 23 + 1 standard amethyst -> rune 24	1			100					3	"r23,qty=2"	gsv						r24																																																																																							0
2 rune 24 + 1 standard sapphire -> rune 25	1			100					3	"r24,qty=2"	gsb						r25																																																																																							0
2 rune 25 + 1 standard ruby -> rune 26	1			100					3	"r25,qty=2"	gsr						r26																																																																																							0
2 rune 26 + 1 standard emerald -> rune 27	1			100					3	"r26,qty=2"	gsg						r27																																																																																							0
2 rune 27 + 1 standard diamond -> rune 28	1			100					3	"r27,qty=2"	gsw						r28																																																																																							0
2 rune 28 + 1 flawless topaz -> rune 29	1			100					3	"r28,qty=2"	gly						r29																																																																																							0
2 rune 29 + 1 flawless amethyst -> rune 30	1			100					3	"r29,qty=2"	gzv						r30																																																																																							0
2 rune 30 + 1 flawless sapphire -> rune 31	1			100					3	"r30,qty=2"	glb						r31																																																																																							0
2 rune 31 + 1 flawless ruby -> rune 32	1			100					3	"r31,qty=2"	glr						r32																																																																																							0
2 rune 32 + 1 flawless emerald -> rune 33	1			100					3	"r32,qty=2"	glg						r33																																																																																							0
r07 + r10 + 1 perfect topaz + normal torso -> socketed torso	1			100					4	"tors,nor,nos"	r07	r10	gpy				useitem				sock			1	6																																																																															0
r08 + r11 + 1 perfect amethyst + normal weapon -> socketed weapon	1			100					4	"weap,nor,nos"	r08	r11	gpv				useitem				sock			1	6																																																																															0
r08 + r10 + 1 perfect sapphire + normal helm -> socketed helm	1			100					4	"helm,nor,nos"	r08	r10	gpb				useitem				sock			1	6																																																																															0
r07 + r11 + 1 perfect ruby + normal shield -> socketed shield	1			100					4	"shld,nor,nos"	r07	r11	gpr				useitem				sock			1	6																																																																															0
r02 + 1 chipped gem + low weapon -> normal weapon	1			100					3	"weap,low"	r02	gem0					"usetype,nor"																																																																																							0
r01 + 1 chipped gem + low armor -> normal armor	1			100					3	"armo,low"	r01	gem0					"usetype,nor"																																																																																							0
r08 + r12 + perfect emerald + basic unique weapon -> exceptional unique weapon	1			100					4	"weap,bas,uni"	"tch,qty=2"	gpg					"useitem,mod,exc"				levelreq			5	5																																																																															0
r07 + r13 + perfect diamond + basic unique armor -> exceptional unique armor	1			100					4	"armo,bas,uni"	"tch,qty=2"	gpw					"useitem,mod,exc"				levelreq			5	5																																																																															0
r17 + r21 + perfect emerald + exceptional unique weapon -> elite unique weapon	1			100					4	"weap,exc,uni"	tch	hrt	gpg				"useitem,mod,eli"				levelreq			7	7																																																																															0
r18 + r20 + perfect diamond + exceptional unique armor -> elite unique armor	1			100					4	"armo,exc,uni"	tch	hrt	gpw				"useitem,mod,eli"				levelreq			7	7																																																																															0
r09 + r11 + perfect sapphire + basic rare weapon -> exceptional rare weapon	1			100					4	"weap,bas,rar"	"tch,qty=2"	gpb					"useitem,mod,exc"				levelreq			5	5																																																																															0
r08 + r10 + perfect amethyst + basic rare armor -> exceptional rare armor	1			100					4	"armo,bas,rar"	"tch,qty=2"	gpr					"useitem,mod,exc"				levelreq			5	5																																																																															0
r19 + r22 + perfect sapphire + exceptional rare weapon -> elite rare weapon	1			100					4	"weap,exc,rar"	tch	hrt	gpb				"useitem,mod,eli"				levelreq			7	7																																																																															0
r18 + r21 + perfect amethyst + exceptional rare armor -> elite rare armor	1			100					4	"armo,exc,rar"	tch	hrt	gpr				"useitem,mod,eli"				levelreq			7	7																																																																															0
r09 + weapon -> repair	1			100					2	"weap,noe"	r09						"useitem,rep"																																																																																							0
r08 + armor -> repair	1			100					2	"armo,noe"	r08						"useitem,rep"																																																																																							0
r15 + tsc + any socketed item -> unsocket (destroy gems)	1			100					3	"any,sock"	r15	tsc					"useitem,uns"																																																																																							0
r08 + jew + superior armor -> tempered armor				100					3	"armo,hiq,nos"	jew	r08					"useitem,tmp"																																																																																							0
r08 + jew + superior weapon -> tempered weapon				100					3	"weap,hiq,nos"	jew	r08					"useitem,tmp"																																																																																							0
r08 + jew + magic ring -> tempered ring				100					3	"ring,mag"	jew	r08					"usetype,tmp"				levelreq			3	3																																																																															0
r08 + jew + magic amulet -> tempered amulet				100					3	"amu,mag"	jew	r08					"usetype,tmp"				levelreq			5	5																																																																															0
r01 + gcv + tempered weapon -> +30-50 ar				100					3	"weap,tmp"	r01	gcv					useitem				levelreq			2	2	att			30	50																																																																										0
1 Wirt's leg + 1 town portal book -> portal to cow lvl	1			100					2	ibk	tbk						Cow Portal																																																																																							0
3 health potions + 3 mana potions + 1 gem -> full rejuvenate potion	1			100					3	weap	tch	brz					"usetype,set"	255	1	255																																																																																				0
3 health potions +  3 mana potions -> rejuvenate potion	1			100					3	armo	tch	brz					"usetype,set"	255	1	255																																																																																				0
3 small rejuvs -> one large	1			100					3	weap	hrt	brz					useitem	255	1	255	sock		6																																																																																	0
1 perfect gem of each type + 1 amulet -> prismatic amulet	1			100					3	armo	hrt	brz					useitem	255	1	255	sock		6																																																																																	0
1 ring + 1 perfect ruby + 1 exploding potions -> garnet ring	1			100					3	rin	tch	brz					"usetype,set"	255	1	255																																																																																				0
1 ring + 1 perfect sapphire + 1 thawing potions-> cobalt ring	1			100					3	amu	tch	brz					"usetype,set"	255	1	255																																																																																				0
1 ring + 1 perfect topaz + 1 rejuvenation -> coral ring	0			100					2	armo	jaw						useitem	255	1	255	sock		1																																																																																	0
1 ring + 1 emerald + 1 antidote potions -> jade ring	0			100					2	weap	jaw						useitem	255	1	255	sock		1																																																																																	0
1 axe + 1 dagger -> throwing axe	1			100					2	weap	brz						useitem	255	1	255	rar																																																																																			0
1 spear + 1 arrow quiver -> javelins	1			100					2	armo	brz						useitem	255	1	255	rar																																																																																			0
3 rings -> amulet	1			100					2	rin	brz						useitem	255	1	255	rar																																																																																			0
3 amulets -> ring	1			100					2	amu	brz						useitem	255	1	255	rar																																																																																			0
"3 chipped gems + 1 sword ->  magic, socketable sword"	1			100					2	jaw	brz						tch	255	1	255																																																																																				0
1 magic small shield + 1 spiked club + 2 skulls -> shield of spikes	1			100					2	"tch,qty=2"							hrt	255	1	255																																																																																				0
small charm	1			100					3	scha	hrt	brz					useitem	255	1	255	sock		0	1	1																																																																															0
large charm	1			100					4	mcha	"hrt,qty=2"	brz					useitem	255	1	255	sock		2																																																																																	0
grand charm	1			100					5	lcha	"hrt,qty=3"	brz					useitem	255	1	255	sock		3																																																																																	0
grand charm	1			100					4	lcha	"hrt,qty=2"	brz					useitem	255	1	255	sock		2																																																																																	0
grand charm	1			100					3	lcha	hrt	brz					useitem	255	1	255	sock		1																																																																																	0
large charm	1			100					3	mcha	hrt	brz					useitem	255	1	255	sock		1																																																																																	0
Eye	1			100					2	"na1,mag"	eyz						useitem	255	1	255	swing1			6	5																																																																															0
Horn	1			100					2	"na1,mag"	hrn						useitem	255	1	255	mana		0	5	5																																																																															0
Tail	1			100					2	"na1,mag"	tal						useitem	255	1	255	att		0	30	30																																																																															0
Flag	1			100					2	"na1,mag"	flg						useitem	255	1	255	addxp		0	2	2																																																																															0
Fang	1			100					2	"na1,mag"	fng						useitem	255	1	255	dmg%		0	2	2																																																																															0
Quill	1			100					2	"na1,mag"	qll						useitem	255	1	255	ac%		0	2	2																																																																															0
Spleen	1			100					2	"na1,mag"	spe						useitem	255	1	255	hp		0	5	5																																																																															0
Eye	1			100					2	"na2,mag"	eyz						useitem	255	1	255	swing1		0	5	5																																																																															0
Horn	1			100					2	"na2,mag"	hrn						useitem	255	1	255	mana		0	5	5																																																																															0
Tail	1			100					2	"na2,mag"	tal						useitem	255	1	255	att		0	30	30																																																																															0
Flag	1			100					2	"na2,mag"	flg						useitem	255	1	255	addxp		0	2	2																																																																															0
Fang	1			100					2	"na2,mag"	fng						useitem	255	1	255	dmg%		0	2	2																																																																															0
Quill	1			100					2	"na2,mag"	qll						useitem	255	1	255	ac%		0	2	2																																																																															0
Spleen	1			100					2	"na2,mag"	spe						useitem	255	1	255	hp		0	5	5																																																																															0
Eye	1			100					2	"na3,mag"	eyz						useitem	255	1	255	swing1		0	5	5																																																																															0
Horn	1			100					2	"na3,mag"	hrn						useitem	255	1	255	mana		0	5	5																																																																															0
Tail	1			100					2	"na3,mag"	tal						useitem	255	1	255	att		0	30	30																																																																															0
Flag	1			100					2	"na3,mag"	flg						useitem	255	1	255	addxp		0	2	2																																																																															0
Fang	1			100					2	"na3,mag"	fng						useitem	255	1	255	dmg%		0	2	2																																																																															0
Quill	1			100					2	"na3,mag"	qll						useitem	255	1	255	ac%		0	2	2																																																																															0
Spleen	1			100					2	"na3,mag"	spe						useitem	255	1	255	hp		0	5	5																																																																															0
Eye	1			100					2	"na4,mag"	eyz						useitem	255	1	255	swing1		0	5	5																																																																															0
Horn	1			100					2	"na4,mag"	hrn						useitem	255	1	255	mana		0	5	5																																																																															0
Tail	1			100					2	"na4,mag"	tal						useitem	255	1	255	att		0	30	30																																																																															0
Flag	1			100					2	"na4,mag"	flg						useitem	255	1	255	addxp		0	2	2																																																																															0
Fang	1			100					2	"na4,mag"	fng						useitem	255	1	255	dmg%		0	2	2																																																																															0
Quill	1			100					2	"na4,mag"	qll						useitem	255	1	255	ac%		0	2	2																																																																															0
Spleen	1			100					2	"na4,mag"	spe						useitem	255	1	255	hp		0	5	5																																																																															0
Eye	1			100					2	"na5,mag"	eyz						useitem	255	1	255	swing1		0	5	5																																																																															0
Horn	1			100					2	"na5,mag"	hrn						useitem	255	1	255	mana		0	5	5																																																																															0
Tail	1			100					2	"na5,mag"	tal						useitem	255	1	255	att		0	30	30																																																																															0
Flag	1			100					2	"na5,mag"	flg						useitem	255	1	255	addxp		0	2	2																																																																															0
