Id	hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol
bighead1	10	bighead1	bighead2	0	Afflicted	bighead1		bighead	Bighead		BH	1	1												1	2		8	8	1	45	156	263	bighead	bighead	10	15	14	13				88	75	75	40	30	30	0	20	30	60	70	80														bighead1								1								1		1			1	1																																	100	85	75	-50	-40	-33				85		30	7	0	0	28	0	0	35	0	0	140	0	0	2				17	33	66	5	1338	2574	95	212	198	381	308	0	0	0				2007	3861	135	399	297	572	660	0	0	0				3746	7207	135	720	554	1067	880	0	0	0				A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																Act 1 Cast C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) Cast C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) Cast C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
bighead2	11	bighead1	bighead3	1	Tainted	bighead2		bighead	Bighead		BH	1	1												1	3		8	8	1	41	151	259	bighead	bighead	10	15	14	13				86	100	100	40	40	40	0	30	40	60	70	80														bighead2								1								1		1			1	1																																	100	85	75	-50	-40	-33				80		30	7	0	0	29	0	0	35	0	0	147	0	0	2				15	30	60	5	1358	2637	95	212	201	390	296	0	0	0				2037	3956	135	399	302	585	660	0	0	0				3802	7384	135	720	563	1092	880	0	0	0				A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																Act 1 Cast C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) Cast C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) Cast C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
bighead3	12	bighead1	bighead4	2	Misshapen	bighead3		bighead	Bighead		BH	1	1												1	2		7	7	1	18	134	248	bighead	bighead	10	15	14	13				80	50	50	40	50	50	0	40	50	60	70	80														bighead3								1								1		1			1	1																																	100	85	75	-50	-40	-33				70		0	7	0	0	31	0	0	35	0	0	154	0	0	2				8	15	30	5	1256	2516	96	212	186	372	292	0	0	0				1884	3774	135	399	279	558	660	0	0	0				3517	7045	135	720	521	1042	880	0	0	0				A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																Act 1 Cast B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) Cast B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) Cast B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
bighead4	13	bighead1	bighead5	3	Disfigured	bighead4		bighead	Bighead		BH	1	1												1	2		7	7	1	30	145	252	bighead	bighead	10	15	14	13				83	0	0	40	40	40	0	50	65	60	70	80														bighead4								1								1		1			1	1																																	100	85	75	-50	-40	-33				75		0	7	0	0	32	0	0	35	0	0	161	0	0	2				12	24	48	5	1358	2598	95	212	201	384	308	0	0	0				2037	3897	135	399	302	576	660	0	0	0				3802	7274	135	720	563	1075	880	0	0	0				A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																Act 1 Cast B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) Cast B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) Cast B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
bighead5	14	bighead1	bighead6	4	Damned	bighead5		bighead	Bighead		BH	1	1												2	3		10	10	2	104	208	302	bighead	bighead	10	15	14	13				90	33	33	40	30	30	0	60	80	60	70	80														bighead5								1								1		1			1	1																																	100	85	75	-50	-40	-33				100		0	7	0	0	34	0	0	35	0	0	168	0	0	2				33	66	132	5	1319	2555	95	230	195	378	300	0	0	0				1979	3833	135	399	293	567	660	0	0	0				3693	7154	135	720	546	1058	880	0	0	0				A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																Act 4 Cast A	Act 4 Champ A	Act 4 Unique A		Act 4 (N) Cast A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) Cast A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
foulcrow1	15	foulcrow1	foulcrow2	0	FoulCrow	foulcrow1		foulcrow	BloodHawk		BK	1													1	3		6	6	2	17	134	245	foulcrow	foulcrow	10	15	14	13				30	45	65	90	90	90	5	10	10	50	60	70	100	100	100																			1	1								1				1	1																																	100	100	100	-50	-40	-33						0	0	0	7	0	0	70	0	0	35	0	0	140	2				8	15	30	5	386	932	20	97	57	138	356	0	0	0				579	1398	180	127	86	207	690	0	0	0				1081	2610	180	230	160	386	920	0	0	0				A1	pois					15	10	33	100	25	10	33	100																													Act 1 Cast A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) Cast A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) Cast A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
foulcrow2	16	foulcrow1	foulcrow3	1	BloodHawk	foulcrow2		foulcrow	BloodHawk		BK	1													2	3		6	6	2	23	138	248	foulcrow	foulcrow	10	15	14	13				30	50	65	90	90	90	5	10	10	50	60	75	100	100	100																			1	1								1				1	1																																	100	100	100	-50	-40	-33						0	0	0	7	0	0	74	0	0	35	0	0	147	2				11	21	42	5	425	831	21	97	63	123	372	0	0	0				638	1247	180	127	95	185	690	0	0	0				1190	2327	180	230	176	344	920	0	0	0				A1	pois					15	10	33	100	25	10	33	100																													Act 1 Cast B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) Cast B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) Cast B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
foulcrow3	17	foulcrow1	foulcrow4	2	BlackRaptor	foulcrow3		foulcrow	BloodHawk		BK	1													2	4		7	7	2	61	164	274	foulcrow	foulcrow	10	15	14	13				30	55	65	90	90	90	5	10	10	50	60	75	100	100	100																			1	1								1				1	1																																	100	100	100	-50	-40	-33						32	0	0	7	0	0	77	0	0	35	0	0	154	2				26	51	102	5	425	912	20	97	63	135	376	0	0	0				638	1368	180	127	95	203	690	0	0	0				1190	2554	180	230	176	378	920	0	0	0				A1	pois					15	10	33	100	25	10	33	100																													Act 2 Cast B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) Cast B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) Cast B	Act 2 (H) Champ B	Act 2 (H) Unique B								0
foulcrow4	18	foulcrow1	foulcrow5	3	CloudStalker	foulcrow4		foulcrow	BloodHawk		BK	1													3	4		8	8	2	84	178	284	foulcrow	foulcrow	10	15	14	13				30	60	65	90	90	90	5	10	10	50	60	75	100	100	100																			1	1								1				1	1																																	100	100	100	-50	-40	-33	40		50	80		0	0	0	14	28	0	0	0	0	70	140	0	0	2				33	66	132	5	444	893	20	95	66	132	376	0	0	0				666	1340	180	127	99	198	690	0	0	0				1243	2500	180	230	185	370	920	0	0	0				A1	pois					15	10	33	100	25	10	33	100																													Act 3 Cast A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) Cast A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) Cast A	Act 3 (H) Champ A	Act 3 (H) Unique A								0
fallen1	19	fallen1	fallen2	0	Fallen	fallen1		fallen	Fallen		FA	1							fallen1		1	1	2	3	1	2		7	7	2	5	132	241	fallen	fallen	10	15	14	13				30	40	50	10	15	20	50	60	70	20	25	30																						1	1							1		1			1	1							1																										100	85	75	-50	-40	-33						0	4	0	28	0	28	0	21	0	140	0	56	0	2				14	27	54	5	425	1236	126	160	63	183	404	51	152	606				638	1854	105	207	95	275	540	77	228	510				1190	3461	105	374	176	512	720	102	304	680				A1	fire					10	20	30		20	20	30																														Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
fallen2	20	fallen1	fallen3	1	Carver	fallen2		fallen	Fallen		FA	1							fallen2		1	1	2	4	1	3		7	7	2	18	138	245	fallen	fallen	10	15	14	13				45	50	55	15	18	24	60	70	80	25	30	35																						1	1							1		1			1	1							1																										100	85	75	-50	-40	-33						0	4	0	31	0	28	0	21	0	154	0	56	0	2				24	48	96	5	488	1097	126	160	72	162	364	51	152	546				732	1646	105	207	108	243	540	77	228	510				1366	3072	105	374	202	454	720	102	304	680				A1	cold					10	15	20	150	20	15	20	200																													Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
fallen3	21	fallen1	fallen4	2	Devilkin	fallen3		fallen	Fallen		FA	1							fallen3		1	1	3	4	2	3		8	8	2	26	143	306	fallen	fallen	10	15	14	13				55	60	60	20	22	30	70	80	90	30	35	40																						1	1							1		1			1	1							1																										100	85	75	-50	-40	-33						0	4	0	34	0	28	0	21	0	168	0	56	0	2				38	75	150	5	366	1077	126	155	54	159	376	41	152	564				549	1616	105	207	81	239	540	62	228	510				1025	3016	105	374	151	445	720	82	304	680				A1	ltng					10	1	50		20	1	80																														Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
fallen4	22	fallen1	fallen5	3	DarkOne	fallen4		fallen	Fallen		FA	1							fallen4		1	1	3	5	2	4		8	8	2	38	149	256	fallen	fallen	10	15	14	13				65	70	70	25	26	30	80	90	95	35	40	45																						1	1							1		1			1	1							1																										100	85	75	-50	-40	-33						0	4	0	35	0	28	0	21	0	175	0	56	0	2				54	108	216	5	468	1116	126	157	69	165	364	43	152	546				702	1674	105	207	104	248	540	65	228	510				1310	3125	105	374	193	462	720	86	304	680				A1	pois					10	10	15	50	20	10	15	75																													Act 1 H2H C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) H2H C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) H2H C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
fallen5	23	fallen1	fallen6	4	WarpedFallen	fallen5		fallen	Fallen		FA	1							fallen5		1	1	1	1	1	1		11	11	2	153	200	299	fallen	fallen	10	15	14	13				75	80	80	30	30	30	90	95	99	40	45	50																						1	1							1		1			1	1							1																										100	85	75	-50	-40	-33	66	66	66	66	66	26	7	21	21	21	53	53	35	105	105	105	105	105	2				74	147	294	5	425	1116	126	243	63	165	372	45	146	558				638	1674	105	207	95	248	540	68	219	510				1190	3125	105	374	176	462	720	90	292	680				A1	cold					10	20	25	175	10	20	25	225																													Act 5 H2H C	Act 5 Champ C	Act 5 Unique C		Act 5 (N) H2H C	Act 5 (N) Champ C	Act 5 (N) Unique C		Act 5 (H) H2H C	Act 5 (H) Champ C	Act 5 (H) Unique C								0
brute2	24	brute2	brute3	0	Brute	brute2		brute	Brute		YE	1													1	2		6	6	1	18	138	248	brute	brute	10	15	14	13							0	0	0	75	75	80	100	100	90																						1	1									1			1	1							1																										100	100	100	-50	-40	-33						0	14	0	0	0	84	0	70	0	0	0	168	0	2				9	18	36	5	2820	4544	126	318	417	672	364	126	227	546				4230	6816	128	383	626	1008	570	189	341	600				7896	12723	128	691	1168	1882	760	252	454	800																																														Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
brute3	25	brute2	brute4	1	Yeti	brute3		brute	Brute		YE	1													1	2		6	6	1	33	145	252	brute	brute	10	15	14	13							0	0	0	80	80	85	85	85	75																						1	1									1			1	1							1																										100	100	100	-50	-40	-33					60	0	14	0	0	0	91	0	70	0	0	0	182	0	2				15	30	60	5	2960	4785	126	318	438	708	380	115	194	570				4440	7178	128	383	657	1062	570	173	291	600				8288	13398	128	691	1226	1982	760	230	388	800																																														Act 1 H2H C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) H2H C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) H2H C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
brute4	26	brute2	brute5	2	Crusher	brute4		brute	Brute		YE	1													1	2		7	7	2	73	175	284	brute	brute	10	15	14	13							0	0	0	85	85	90	75	75	65																						1	1									1			1	1							1																										100	100	100	-50	-40	-33						0	14	0	0	14	98	0	70	0	0	70	196	0	2				29	57	114	5	2901	4685	126	315	429	693	372	108	209	558				4352	7028	128	383	644	1040	570	162	314	600				8123	13118	128	691	1201	1940	760	216	418	800																																														Act 2 H2H C	Act 2 Champ C	Act 2 Unique C		Act 2 (N) H2H C	Act 2 (N) Champ C	Act 2 (N) Unique C		Act 2 (H) H2H C	Act 2 (H) Champ C	Act 2 (H) Unique C								0
brute5	27	brute2	brute1	3	WailingBeast	brute5		brute	Brute		YE	1													2	3		7	7	1	89	192	302	brute	brute	10	15	14	13							0	0	0	90	90	95	60	60	50																						1	1									1			1	1							1																										100	100	100	-50	-40	-33		80	50			0	14	28	21	0	0	0	70	140	105	0	0	0	2				35	69	138	5	2879	4665	128	318	426	690	368	114	212	552				4319	6998	128	383	639	1035	570	171	318	600				8061	13062	128	691	1193	1932	760	228	424	800				A1	fire					15	15	35		15	30	50																														Act 3 H2H B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) H2H B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) H2H B	Act 3 (H) Champ B	Act 3 (H) Unique B								0
