name	type	type2	code	alternateGfx	namestr	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam		rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem
Great Maul	hamm		gma	mau	gma	0		3	1				1	57	86				2	20	110		129	0	78		51	0	3215	7587			mau	gma	9gm	7gm	stf	stf	5	2hsl	2	3					flpgma	invgma	invgma	invgma	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	1	20					255			1	1	20					255					255			5	8	0	xxx	xxx	1	0
Short Sword	swor		ssd	ssd	ssd	0		3	1	4	12		0							-10	100		0	0	31		2	0	72	192			ssd	ssd	9ss	7ss	1hs	1hs	5	1hsl	1	3					flpssd	invssd			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1		1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			5	8	0	scm	wsd	1	0
Scimitar	swor		scm	scm	scm	0		3	1	5	14		0							-20	100		0	27	29		8	0	274	399			scm	scm	9sm	7sm	1hs	1hs	5	1hsl	1	3					flpscm	invscm	invscmu	invscmu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1	1	1	1	1	20					255		1		1	20					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			5	8	0	sbr	lsd	1	0
Saber	swor		sbr	scm	sbr	0		3	1	6	17									-10	100		33	33	42		13	0	466	640			scm	sbr	9sb	7sb	1hs	1hs	5	1hsl	1	3					flpsbr	invsbr	inv9sbu	inv9sbu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1					255					255		1		1	20					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255			5	8	0	flc	bsd	1	0
Falchion	swor		flc	flc	flc	0		4	1	14	26									20	100		43	0	42		18	0	683	970			scm	flc	9fc	7fc	1hs	1hs	5	1hsl	1	3					flpflc	invflc	invflcu	invflcu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1		1	20					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			5	8	0	bsd	wsd	1	0
Crystal Sword	swor		crs	crs	crs	0		2	1	8	22		0						1		100		56	0	26		18	0	2127	1963			ssd	crs	9cr	7cr	1hs	1hs	5	1hsl	2	3					flpcrs	invcrs	invcrsu	invcrsu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	5	0			0	7	0	0	1					255					255					255					255					255				1	1					255					255				1	1					255					255					255					255			1	1	20			1	1	20					255					255			5	8	0	xxx	xxx	1	0
Broad Sword	swor		bsd	bsd	bsd	0		4	1	11	20										100		62	0	42		24	0	1029	1590			ssd	bsd	9bs	7bs	1hs	1hs	5	1hsl	2	3					flpbsd	invbsd	invbsdu	invbsdu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	2	20					255					255			1	1	20					255					255					255	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255			5	8	0	lsd	wsd	1	0
Long Sword 	swor		lsd	lsd	lsd	0		4	1	4	28								1	-10	100		72	51	57		32	0	1520	2682			ssd	lsd	9ls	7ls	1hs	1hs	5	1hsl	2	3					flplsd	invlsd	invlsdu	invlsdu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255			1	2	20					255					255	1	1	1	2	20					255					255					255					255					255	1	1	1	2	20					255					255					255					255			5	8	0	wsd	wsd	1	0
War Sword	swor		wsd	flc	wsd	0		4	1	12	30								1		100		92	59	57		43	0	1997	4370			ssd	wsd	9wd	7wd	1hs	1hs	5	1hsl	1	3					flpwsd	invwsd			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255	1	2	1	3	20					255	1	1	1	3	20					255			1	2	20			5	8	0	xxx	xxx	1	0
Two-Handed Sword	swor		2hs	clm	2hs	0		4	1	3	14	1	1	12	26				2		100		46	35	57		16	0	644	872			clm	2hs	92h	72h	1hs	2hs	5	2hss	1	4					flp2hs	inv2hs	inv2hsu	inv2hsu	1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1					255					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			5	8	0	clm	gis	1	0
Claymore	swor		clm	clm	clm	0		4	1	8	18	1	1	19	45				2	10	100		61	0	65		27	0	1262	2029			clm	clm	9cm	7cm	1hs	2hs	5	2hss	1	4					flpclm	invclm			1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	2	20					255					255					255					255					255					255	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255			5	8	0	gis	bsw	1	0
Giant Sword	swor		gis	gsd	gis	0		4	1	4	24	1	1	14	42				2		100		73	44	65		34	0	1459	2728			clm	gis	9gs	7gs	1hs	2hs	5	2hss	1	4					flpgis	invgis	invgisu	invgisu	1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255		1	1	2	20					255					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255			5	8	0	bsw	flb	1	0
Bastard Sword	swor		bsw	clm	bsw	0		4	1	11	28	1	1	30	42				1	10	100		81	0	52		38	0	1971	3863			clm	bsw	9b9	7b7	1hs	2hs	5	2hss	1	4					flpbsw	invbsw	invbswu	invbswu	1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255		1	1	1	20					255		1	1	1	20					255					255			5	8	0	xxx	xxx	1	0
Flamberge	swor		flb	clm	flb	0		4	1	14	22	1	1	19	39				2	-10	100		91	64	65		43	0	2400	5050			clm	flb	9fb	7fb	1hs	2hs	5	2hss	2	4					flpflb	invflb			1	8	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255		1	1	1	20					255					255					255					255					255	1	1	1	2	20					255		1	1	2	20					255					255			5	8	0	xxx	xxx	1	0
Great Sword	swor		gsd	gsd	gsd	0		4	1	18	30	1	1	38	62				2	10	100		130	78	65		53	0	3451	8306			clm	gsd	9gd	7gd	1hs	2hs	5	2hss	2	4					flpgsd	invgsd	invgsdu	invgsdu	1	8	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	3	20					255		1	1	2	20					255					255			5	8	0	xxx	xxx	1	0
Dagger	knif		dgr	dgr	dgr	0		2	1	1	5		0							-20	75	75	0	0	21		5	0	60	262			dgr	dgr	9dg	7dg	1ht	1ht	5	1ht	1	2					flpdgr	invdgr			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			5	8	0	kri	bld	1	0
Dirk	knif		dir	dir	dir	0		2	1	4	14										75	75	0	33	26		14	0	532	737			dgr	dir	9di	7di	1ht	1ht	5	1ht	1	2					flpdir	invdir			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3		1		1	1					255					255	1	1	1	1	20					255					255					255					255					255	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255			5	8	0	kri	bld	1	0
Kriss	knif		kri	dir	kri	0		2	1	3	16		0							-20	75	75	0	59	31		27	0	1227	1992			dgr	kri	9kr	7kr	1ht	1ht	5	1ht	1	3					flpkrs	invkrs	invkrsu	invkrsu	1	3	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255	1	1		1	20					255					255					255					255					255			1	2	20			1	1	20					255					255			1	1	20			5	8	0	xxx	xxx	1	0
Blade	knif		bld	dgr	bld	0		3	1	5	22									-10	75	75	46	66	31		37	0	1764	3411			dgr	bld	9bl	7bl	1ht	1ht	5	1ht	1	3					flpbld	invbld			1	3	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255			1	2	20	1	1	1	1	20					255					255	1	1	1	1	20			5	8	0	xxx	xxx	1	0
Throwing Knife	tkni		tkf	dgr	tkf	0		2	1	3	4					4	9				75	75	0	27	5		3	0	6	220			dgr	tkf	9tk	7tk	1ht	1ht	5	1ht	1	2	1	40	160	75	flptkn	invtkn			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	4	0	3	1	2			255	1	2			20					255					255					255					255					20					255					255	2	2			1					255					255					255					255					255					255			1	1	20			5	8	0	bkf	bkf	1	0
Throwing Axe	taxe		tax	hax	tax	0		2	1	5	11		0			8	12			10	75	75	0	52	8		11	0	11	380			hax	tax	9ta	7ta	1hs	1hs	5	1hsl	1	2	1	16	130	32	flptax	invtax			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			35	7	5	0	3	1	1			255	1	2			20					255	1	1			20					255					255					20					255					255	2	2			1					255					255					255					255					255					255			1	1	20			5	8	0	bal	bal	1	0
Balanced Knife	tkni		bkf	dgr	bkf	0		2	1	1	12		0			6	11			-20	75	75	0	66	10		21	0	15	575			dgr	bkf	9bk	7bk	1ht	1ht	5	1ht	1	2	1	30	160	60	flpbkf	invbkf			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	4	0	3					255					255					255	1	1	1	1	20					255					255					20					255					255					255	1	2			1	2	3			1	1	2	1	2	20					255					255					255			1	1	20			5	8	0	xxx	xxx	1	0
Balanced Axe	taxe		bal	hax	bal	0		2	1	8	15					12	15			-10	75	75	0	74	13		26	0	35	692			hax	bal	9b8	7b8	1hs	1hs	5	1hsl	2	3	1	16	130	24	flpbal	invbal			1	6	0	primarily thrown	0	item_sword	12	item_sword	0	0	5	0	0	0			35	7	5	0	3					255					255					255	1	1	1	1	20					255					255					20					255					255					255	1	2			1	2	3			1	1	2	1	2	20					255					255					255	1	1	1	1	20			5	8	0	xxx	xxx	1	0
Javelin	jave		jav	jav	jav	0		4	1	3	12		0			6	14	15	2	-10	75	75	0	0	3		2	0	12	189			jav	jav	9ja	7ja	1ht	1ht	5	1ht	1	3	1	30	60	60	flpjav	invjav			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			1	7	2	0	3	2	3			255	1	2			20					255					255					255					255					20					255					255	1	2			1	1	1			255					255					255	1	1			255					255			1	1	20	1	1	1	1	20			5	8	0	glv	glv	1	0
Pilum	jave		pil	pil	pil	0		4	1	5	14					7	20	15	2		75	75	0	59	4		16	0	18	480			jav	pil	9pi	7pi	1ht	1ht	5	1ht	1	3	1	25	50	50	flppil	invpil			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			371	7	2	0	3					255	1	1			20					255	1	1			20					255					255					20					255					255	1	2			1	1	1			255	1	1			255	1	1	1	2	20	1	1			255					255			1	1	20	1	1	1	1	20			5	8	0	tsp	tsp	1	0
Short Spear	jave		ssp	jav	ssp	0		4	1	3	19		0			10	22	15	2	10	75	75	52	52	5		24	0	24	648			jav	ssp	9s9	7s7	1ht	1ht	5	1ht	1	3	1	20	40	40	flpssp	invssp			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			1	7	2	0	3					255			1	2	30					255	1	1	1	1	20					255					255					20					255					255					255	1	1			255	1	2			255					255	1	1			255					255			1	1	20	1	1	1	1	20			5	8	0	tsp	tsp	1	0
Glaive	jave		glv	glv	glv	0		4	1	8	26		0			16	22	15	2	20	75	75	68	46	7		37	0	36	927			jav	glv	9gl	7gl	1ht	1ht	5	1ht	1	4	1	15	40	40	flpglv	invglv			1	4	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			37	7	2	0	3					255					255					255			2	2	30					255					255					20					255					255					255	1	1			255	1	2			255					255	1	1			255					255			1	1	20	1	1	1	1	20			5	8	0	xxx	xxx	1	0
Throwing Spear	jave		tsp	pil	tsp	0		4	1	8	22		0			12	30	15	2	-10	75	75	0	85	8		46	0	48	1150			jav	tsp	9ts	7ts	1ht	1ht	5	1ht	1	4	1	32	80	80	flptsp	invtsp			1	4	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			371	7	2	0	3					255					255					255					255					255					255					20					255					255					255					255					255	1	1	1	2	20	1	1			255					255			1	1	20	1	1	1	1	20			5	8	0	xxx	xxx	1	0
